Country	Growth	ID
Afghanistan	3.4	Q889
Albania	1.3	Q222
Algeria	2.8	Q262
American Samoa	-0.3	Q16641
Andorra	-0.1	Q228
Angola	4.3	Q916
Antigua and Barbuda	0.4	Q781
Argentina	1.1	Q414
Armenia	0.3	Q399
Aruba	0.7	Q21203
Australia	1.7	Q408
Austria	0.8	Q40
Azerbaijan	1.5	Q227
Bahamas, The	1.1	Q778
Bahrain	5	Q398
Bangladesh	3.2	Q902
Barbados	0.1	Q244
Belarus	0.4	Q184
Belgium	0.5	Q31
Belize	2.2	Q242
Benin	3.9	Q962
Bermuda	0.1	Q23635
Bhutan	3	Q917
Bolivia	1.9	Q750
Bosnia and Herzegovina	-0.1	Q225
Botswana	3.3	Q963
Brazil	1.1	Q155
Brunei Darussalam	1.5	Q921
Bulgaria	-0.3	Q219
Burkina Faso	5	Q965
Burundi	5.7	Q967
Cabo Verde	1.9	Q1011
Cambodia	3.3	Q424
Cameroon	3.7	Q1009
Canada	1.5	Q16
Cayman Islands	1.2	Q5785
Central African Republic	2.5	Q929
Chad	3.9	Q657
Channel Islands	1.1	Q42314
Chile	1.5	Q298
China	2.5	Q148
Hong Kong SAR, China	0.8	Q8646
Macao SAR, China	1.4	Q14773
Colombia	1.9	Q739
Comoros	2.9	Q970
Congo, Dem. Rep.	4.5	Q974
Congo, Rep.	3.3	Q971
Costa Rica	2	Q800
Cote d'Ivoire	3.4	Q1008
Croatia	-0.4	Q224
Cuba	0.1	Q241
Curacao	-0.3	Q25279
Cyprus	0.8	Q229
Czech Republic	0.5	Q213
Denmark	0.6	Q35
Djibouti	1.7	Q977
Dominica	0.7	Q784
Dominican Republic	2.1	Q786
Ecuador	2	Q736
Egypt, Arab Rep.	2	Q79
El Salvador	1.6	Q792
Equatorial Guinea	4.3	Q983
Estonia	0.6	Q191
Eswatini	1.7	Q1050
Ethiopia	4.8	Q115
Faroe Islands	0.7	Q4628
Fiji	1.6	Q712
Finland	0.2	Q33
France	0.5	Q142
French Polynesia	0.7	Q30971
Gabon	3	Q1000
Gambia, The	4	Q1005
Georgia	0.6	Q230
Germany	0.4	Q183
Ghana	3.4	Q117
Greece	0.2	Q41
Greenland	0	Q223
Grenada	0.8	Q769
Guam	1	Q16635
Guatemala	2.3	Q774
Guinea	3.8	Q1006
Guinea-Bissau	3.5	Q1007
Guyana	0.7	Q734
Haiti	3	Q790
Honduras	2.8	Q783
Hungary	0.3	Q28
Iceland	2.7	Q189
India	2.3	Q668
Indonesia	2.3	Q252
Iran, Islamic Rep.	2.1	Q794
Iraq	2.6	Q796
Ireland	1.6	Q27
Isle of Man	0.8	Q9676
Israel	2	Q801
Italy	0.2	Q38
Jamaica	1	Q766
Japan	-0.1	Q17
Jordan	2	Q810
Kazakhstan	1.5	Q232
Kenya	4.1	Q114
Kiribati	2.9	Q710
Korea, Dem. Peopleâ€™s Rep.	0.8	Q423
Korea, Rep.	0.4	Q884
Kuwait	2	Q817
Kyrgyz Republic	2.6	Q813
Lao PDR	3.4	Q819
Latvia	-0.7	Q211
Lebanon	0.7	Q822
Lesotho	2.3	Q1013
Liberia	3.3	Q1014
Libya	1.8	Q1016
Liechtenstein	0.5	Q347
Lithuania	-0.7	Q37
Luxembourg	2.2	Q32
North Macedonia	0.4	Q221
Madagascar	4.5	Q1019
Malawi	4	Q1020
Malaysia	2.1	Q833
Maldives	4.9	Q826
Mali	4.9	Q912
Malta	3.6	Q233
Marshall Islands	1.1	Q709
Mauritania	4.4	Q1025
Mauritius	-0.1	Q1027
Mexico	1.5	Q96
Micronesia, Fed. Sts.	1.5	Q702
Moldova	-1.6	Q217
Monaco	0.8	Q235
Mongolia	1.9	Q711
Montenegro	0.5	Q236
Morocco	2.1	Q1028
Mozambique	4.4	Q1029
Myanmar	1.5	Q836
Namibia	4	Q1030
Nepal	3.7	Q837
Netherlands	1	Q55
New Caledonia	1.9	Q33788
New Zealand	1.1	Q664
Nicaragua	1.6	Q811
Niger	4.3	Q1032
Nigeria	4.2	Q1033
Northern Mariana Islands	0.7	Q16644
Norway	1.1	Q20
