Country	Survey Year	Informality	ID
Afghanistan	2014	41.5	Q889
Albania	2019	44.7	Q222
Algeria	2007	66.8	Q262
Angola	2010	41.2	Q916
Antigua and Barbuda	2010	78.1	Q781
Argentina	2017	72.5	Q414
Armenia	2013	16.5	Q399
Azerbaijan	2013	19.6	Q227
Bahamas, The	2010	67.5	Q778
Bangladesh	2013	39.4	Q902
Barbados	2010	49.4	Q244
Belarus	2018	20.3	Q184
Belize	2010	58.5	Q242
Benin	2016	66.8	Q962
Bhutan	2015	7.2	Q917
Bolivia	2017	78.9	Q750
Bosnia and Herzegovina	2019	42.1	Q225
Botswana	2010	54.6	Q963
Brazil	2009	69.7	Q155
Bulgaria	2019	52.4	Q219
Burkina Faso	2009	75	Q965
Burundi	2014	51.3	Q967
Cambodia	2016	77.8	Q424
Cameroon	2016	80.3	Q1009
Cabo Verde	2009	44.5	Q1011
Central African Republic	2011	66.7	Q929
Chad	2018	80	Q657
Chile	2010	55.8	Q298
China	2012	57.7	Q148
Colombia	2017	66.1	Q739
Congo, Dem. Rep.	2013	78.4	Q974
Congo, Rep.	2009	69.7	Q971
Costa Rica	2010	70.4	Q800
Cote d'Ivoire	2016	75.6	Q1008
Croatia	2019	17.1	Q224
Cyprus	2019	44	Q229
Czech Republic	2019	24.6	Q213
Djibouti	2013	22.2	Q977
Dominica	2010	10.7	Q784
Dominican Republic	2016	61.1	Q786
Ecuador	2017	67.1	Q736
Egypt, Arab Rep.	2016	43	Q79
El Salvador	2016	67.7	Q792
Eritrea	2009	28.2	Q986
Estonia	2019	29.9	Q191
Ethiopia	2015	23.1	Q115
Fiji	2009	39.6	Q712
Gabon	2009	76	Q1000
Gambia, The	2018	71.1	Q1005
Georgia	2019	22.4	Q230
Ghana	2013	69.4	Q117
Greece	2018	41.9	Q41
Grenada	2010	72.5	Q769
Guatemala	2017	77.1	Q774
Guinea	2016	75.7	Q1006
Guinea-Bissau	2006	53.7	Q1007
Guyana	2010	59.8	Q734
Honduras	2016	72.5	Q783
Hungary	2019	13.7	Q28
India	2014	50.1	Q668
Indonesia	2015	65	Q252
Iraq	2011	49.3	Q796
Israel	2013	17.4	Q801
Italy	2019	22.2	Q38
Jamaica	2010	66.4	Q766
Jordan	2019	48.6	Q810
Kazakhstan	2019	39.2	Q232
Kenya	2018	68.8	Q114
Kosovo	2019	18.7	Q1246
Kyrgyz Republic	2019	51.4	Q813
Lao PDR	2018	39.9	Q819
Latvia	2019	37.4	Q211
Lebanon	2019	56.3	Q822
Lesotho	2016	68.1	Q1013
Liberia	2017	68.7	Q1014
Lithuania	2019	47.3	Q37
North Macedonia	2019	54.5	Q221
Madagascar	2013	71.7	Q1019
Malawi	2014	71.7	Q1020
Malaysia	2015	39.8	Q833
Mali	2016	79.5	Q912
Malta	2019	26.8	Q233
Mauritania	2014	78.5	Q1025
Mauritius	2009	51	Q1027
Mexico	2010	70.3	Q96
Micronesia, Fed. Sts.	2009	41.1	Q702
Moldova	2019	41	Q217
Mongolia	2019	22.3	Q711
Montenegro	2019	57.5	Q236
Morocco	2019	47.2	Q1028
Mozambique	2018	58	Q1029
Myanmar	2016	31.5	Q836
Namibia	2014	41.7	Q1030
Nepal	2013	55.7	Q837
Nicaragua	2016	72.9	Q811
Niger	2017	85.1	Q1032
Nigeria	2014	46.2	Q1033
Pakistan	2013	46.5	Q843
Panama	2010	51.4	Q804
Papua New Guinea	2015	72.3	Q691
Paraguay	2017	72.3	Q733
Peru	2017	75.9	Q419
Philippines	2015	30.9	Q928
Poland	2019	27.4	Q36
Portugal	2019	47	Q45
Romania	2013	34.6	Q218
Russian Federation	2019	28.2	Q159
Rwanda	2019	29.6	Q1037
Samoa	2009	63.6	Q683
Senegal	2014	76.4	Q1041
Serbia	2019	49.7	Q403
Sierra Leone	2017	62.5	Q1044
Slovak Republic	2019	39.5	Q214
Slovenia	2019	18.2	Q215
Solomon Islands	2015	59.7	Q685
South Africa	2007	45.3	Q258
South Sudan	2014	69.8	Q958
Sri Lanka	2011	47.4	Q854
St. Kitts and Nevis	2010	65.4	Q763
St. Lucia	2010	18.2	Q760
St. Vincent and the Grenadines	2010	65	Q757
Sudan	2014	90.5	Q1049
Suriname	2018	54.6	Q730
Eswatini	2016	73.5	Q1050
Sweden	2014	29.7	Q34
Syrian Arab Republic	2009	52.6	Q858
Tajikistan	2019	11.8	Q863
Tanzania	2013	72.6	Q924
Thailand	2016	25.1	Q869
Timor-Leste	2015	56.8	Q574
Togo	2016	68.7	Q945
Tonga	2009	86.8	Q678
Trinidad and Tobago	2010	69.2	Q754
Tunisia	2013	45.2	Q948
Turkey	2019	50.2	Q43
Uganda	2013	95.2	Q1036
Ukraine	2019	50.3	Q212
Uruguay	2017	67.9	Q77
Uzbekistan	2019	21.5	Q265
Vanuatu	2009	39.9	Q686
Venezuela, RB	2010	29.8	Q717
Vietnam	2015	49.5	Q881
West Bank and Gaza	2019	63.9	Q407199
Yemen, Rep.	2013	43	Q805
Zambia	2019	65.4	Q953
Zimbabwe	2016	73.9	Q954
