Country	exports (2010)	exports (2019)	ID
Albania	18	1.7	Q222
Algeria	97.3	94.5	Q262
Andorra	0	0	Q228
Angola	96.5	92.1	Q916
Antigua and Barbuda	0	0	Q781
Argentina	8.1	3.7	Q414
Armenia	3.1	3.2	Q399
Aruba	0.1	0.1	Q21203
Australia	30.8	24.4	Q408
Austria	3.2	2	Q40
Azerbaijan	94.5	91.2	Q227
Bahrain	74.3	53.4	Q398
Barbados	0	4.7	Q244
Belarus	27.5	24.4	Q184
Belgium	8.8	7.7	Q31
Belize	36.2	4.9	Q242
Benin	0	0	Q962
Bermuda	6.3	0.1	Q23635
Bolivia	43.9	40.3	Q750
Bosnia and Herzegovina	15	7.9	Q225
Botswana	0.4	0.3	Q963
Brazil	9.9	13.7	Q155
Brunei Darussalam	95.2	95.6	Q921
Bulgaria	13.3	8.1	Q219
Burkina Faso	0.1	2.4	Q965
Burundi	2.3	0	Q967
Cambodia	0	0	Q424
Cameroon	49.5	42.9	Q1009
Canada	26.3	25	Q16
Central African Republic	0.6	0	Q929
Chile	1	0.9	Q298
China	1.7	1.9	Q148
Hong Kong SAR, China	3.3	0.1	Q8646
Macao SAR, China	0	0	Q14773
Colombia	60.4	60	Q739
Comoros	0.1	0	Q970
Congo, Rep.	67.7	84	Q971
Costa Rica	0.6	0	Q800
Cote d'Ivoire	24.1	18.4	Q1008
Croatia	12.3	10.4	Q224
Cyprus	0	26.8	Q229
Czech Republic	3.7	1.7	Q213
Denmark	8.1	4.2	Q35
Dominican Republic	0.1	0.3	Q786
Ecuador	55.3	41.1	Q736
Egypt, Arab Rep.	29.8	28.4	Q79
El Salvador	3	3.4	Q792
Estonia	15.6	7.9	Q191
Eswatini	1.2	0.8	Q1050
Ethiopia	0	0	Q115
Fiji	0.1	0	Q712
Finland	8.2	8.3	Q33
France	3.7	3.2	Q142
Gambia, The	0	0	Q1005
Georgia	5.5	0.7	Q230
Germany	2	2.2	Q183
Ghana	0.3	47.5	Q117
Greece	26.1	31.6	Q41
Greenland	0	0	Q223
Guatemala	4.5	4.6	Q774
Guyana	0	0	Q734
Honduras	8.6	0.8	Q783
Hungary	2.6	2.6	Q28
Iceland	1	1.6	Q189
India	16.9	13.6	Q668
Indonesia	29.7	23.2	Q252
Iran, Islamic Rep.	70.8	70.8	Q794
Ireland	1.1	0.9	Q27
Israel	0.9	2.1	Q801
Italy	4.7	3	Q38
Jamaica	22.7	19.3	Q766
Japan	1.7	1.9	Q17
Jordan	1.1	1.7	Q810
Kazakhstan	72.8	67.1	Q232
Kenya	4.3	0.9	Q114
Korea, Rep.	6.9	7.6	Q884
Kuwait	92.8	90.9	Q817
Kyrgyz Republic	15.3	12	Q813
Lao PDR	0.9	24.9	Q819
Latvia	5.3	4.6	Q211
Lebanon	0.2	0.9	Q822
Lesotho	0.1	0.1	Q1013
Lithuania	23.4	14.6	Q37
Luxembourg	1	0.1	Q32
Madagascar	6.7	3.1	Q1019
Malawi	0.2	0.1	Q1020
Malaysia	15.9	15.3	Q833
Maldives	0	0	Q826
Mali	0.1	0.1	Q912
Malta	25.7	28.1	Q233
Mauritius	0	0.9	Q1027
Mexico	14	5.3	Q96
Moldova	0.3	0	Q217
Montenegro	10.8	20.8	Q236
Morocco	1.1	1.5	Q1028
Mozambique	19.7	47	Q1029
Myanmar	35.2	21.6	Q836
Namibia	1.3	0.6	Q1030
Nepal	0	0	Q837
Netherlands	10	10.3	Q55
New Zealand	5	1.5	Q664
Nicaragua	1.4	0.3	Q811
Nigeria	87.1	94	Q1033
North Macedonia	7.7	2.1	Q221
Norway	63.8	62.3	Q20
Oman	77.8	75.2	Q842
Pakistan	5.7	1.6	Q843
Palau	0.1	0.5	Q695
Paraguay	30.5	23.3	Q733
Peru	11.9	10.4	Q419
Philippines	1.9	1.6	Q928
Poland	4.1	2.2	Q36
Portugal	6.1	5.8	Q45
Qatar	92.6	93.9	Q846
Romania	5.2	3.7	Q218
Russian Federation	65.6	52	Q159
Samoa	0	25.7	Q683
Sao Tome and Principe	0	0	Q1039
Senegal	23.2	23.7	Q1041
Seychelles	0	0	Q1042
Singapore	16.2	12.6	Q334
Slovak Republic	5.3	2.8	Q214
Slovenia	4.3	5.2	Q215
Solomon Islands	0	0	Q685
South Africa	10.6	11.1	Q258
Spain	4.9	5.8	Q29
Sri Lanka	0.2	2.6	Q854
St. Kitts and Nevis	0	0	Q763
St. Lucia	0	5.6	Q760
St. Vincent and the Grenadines	0	0	Q757
Sweden	6.9	6.3	Q34
Switzerland	2.9	1	Q39
Tanzania	2.5	0.9	Q924
Thailand	4.8	3.9	Q869
Togo	0.1	2.1	Q945
Tunisia	14.2	6	Q948
Turkey	3.9	4.3	Q43
Uganda	1.2	6.7	Q1036
Ukraine	6.9	1.5	Q212
United Arab Emirates	53.5	74.8	Q878
United Kingdom	12.4	8.9	Q145
United States	7.2	14.4	Q30
Uruguay	3.2	1.2	Q77
Vietnam	11.1	1.6	Q881
Zambia	0.6	1.1	Q953
Zimbabwe	2	1.5	Q954
