Country	Interest % (2010)	Interest % (2018)	ID
Afghanistan	0	0.1	Q889
Albania	13	8.6	Q222
Angola	4.3	16.5	Q916
Armenia	3.7	10.2	Q399
Australia	2.3	3.7	Q408
Austria	6.4	3.6	Q40
Azerbaijan	0.2	2.4	Q227
Bahamas, The	13.8	15.4	Q778
Bangladesh	18.3	18.5	Q902
Barbados	20.3	25.6	Q244
Belarus	1.8	5.2	Q184
Belgium	7.8	4.7	Q31
Belize	13.3	9.4	Q242
Bhutan	6.5	4.1	Q917
Bosnia and Herzegovina	1.1	1.7	Q225
Botswana	1.6	1.6	Q963
Brazil	24.2	29.9	Q155
Bulgaria	2.2	1.8	Q219
Burkina Faso	2.4	5.7	Q965
Cabo Verde	4.7	8	Q1011
Cambodia	1.4	1.6	Q424
Cameroon	2.1	5	Q1009
Canada	10	6	Q16
Central African Republic	6	1.3	Q929
Chile	2.1	4.1	Q298
China	3.3	3.1	Q148
Colombia	12.6	10.8	Q739
Congo, Rep.	1.5	8.6	Q971
Costa Rica	9	13.5	Q800
Cote d'Ivoire	9.3	10.5	Q1008
Croatia	6.6	5.8	Q224
Cyprus	5	6.3	Q229
Czech Republic	4.1	2.2	Q213
Denmark	4.4	2.6	Q35
Dominican Republic	12.5	17	Q786
Egypt, Arab Rep.	20.5	33.3	Q79
El Salvador	11.7	11	Q792
Equatorial Guinea	0.9	3.1	Q983
Estonia	0.2	0.2	Q191
Ethiopia	2.6	5	Q115
Fiji	15.2	9.9	Q712
Finland	3.6	2.2	Q33
France	5.7	3.8	Q142
Gabon	3.3	14.3	Q1000
Georgia	3.7	4.8	Q230
Germany	5.2	1.7	Q183
Ghana	16.2	33.2	Q117
Greece	15.3	7.5	Q41
Guatemala	13	13.6	Q774
Honduras	3.9	7.7	Q783
Hungary	10.1	6	Q28
Iceland	12.6	6	Q189
India	22.8	23.7	Q668
Indonesia	8.9	13.3	Q252
Ireland	9.1	6.7	Q27
Israel	12	7.2	Q801
Italy	10.5	9	Q38
Jamaica	40.6	20.5	Q766
Japan	16.7	11	Q17
Jordan	8.5	12.4	Q810
Kazakhstan	1.7	5.7	Q232
Kiribati	3.5	0.1	Q710
Korea, Rep.	5	3.6	Q884
Latvia	5.6	2.5	Q211
Lebanon	50.5	50	Q822
Lesotho	1	2.8	Q1013
Lithuania	5.4	3.3	Q37
Luxembourg	0.9	0.7	Q32
Madagascar	6.1	5.4	Q1019
Malawi	8.4	18.9	Q1020
Malaysia	9.8	13.1	Q833
Mali	2	6.4	Q912
Malta	8.3	4.1	Q233
Marshall Islands	0.9	0.5	Q709
Mauritius	10.6	6.8	Q1027
Mexico	13	14.5	Q96
Micronesia, Fed. Sts.	0.6	0.3	Q702
Moldova	2.2	2.8	Q217
Mongolia	1.4	10.9	Q711
Morocco	8.3	9.4	Q1028
Mozambique	3	12.1	Q1029
Myanmar	6.7	10.4	Q836
Namibia	4.1	9.8	Q1030
Nepal	4.6	1.6	Q837
Netherlands	4.3	2.2	Q55
New Zealand	3.8	3.6	Q664
Nicaragua	6.5	6.3	Q811
North Macedonia	2.5	4.3	Q221
Norway	1.8	0.8	Q20
Palau	0.8	0.3	Q695
Paraguay	1.8	4.1	Q733
Peru	5.8	6.6	Q419
Philippines	25.1	12.3	Q928
Poland	7.4	3.9	Q36
Portugal	8.7	8.9	Q45
Romania	4.4	4.2	Q218
Russian Federation	1.6	2.4	Q159
Samoa	2.7	2.3	Q683
San Marino	0.9	0.9	Q238
Saudi Arabia	1.5	1.7	Q851
Seychelles	15.8	8.3	Q1042
Singapore	0	0	Q334
Slovak Republic	3.8	3.5	Q214
Slovenia	4.1	5	Q215
Solomon Islands	0.8	0.2	Q685
South Africa	8.7	12.1	Q258
Spain	10.7	12.4	Q29
Sri Lanka	42.3	44.1	Q854
St. Kitts and Nevis	23.3	4.9	Q763
St. Lucia	11	13.6	Q760
St. Vincent and the Grenadines	10.5	8.1	Q757
Sudan	8	5.1	Q1049
Sweden	2.7	1.4	Q34
Switzerland	2.7	1	Q39
Tanzania	4.5	10.3	Q924
Thailand	6.1	5.2	Q869
Timor-Leste	0	0	Q574
Togo	4.2	9.9	Q945
Tonga	2.8	1.9	Q678
Trinidad and Tobago	7.1	8.1	Q754
Turkey	12.1	9.1	Q43
Ukraine	4.4	10.1	Q212
United Kingdom	8.2	6.9	Q145
United States	15.4	15.3	Q30
Uruguay	7.9	8.2	Q77
Uzbekistan	0.1	0.3	Q265
Vanuatu	2	2.5	Q686
West Bank and Gaza	1.3	1.7	Q407199
Zambia	9.5	33.2	Q953
Zimbabwe	1.3	13.5	Q954
