Country	ECI	ECI Rank	Change Over 5 Years	ID
Japan	2.4265	1	0	Q17
Switzerland	2.1664	2	1	Q39
South Korea	2.1058	3	4	Q884
Germany	2.0865	4	-2	Q183
Singapore	1.8512	5	0	Q334
Austria	1.8062	6	-2	Q40
Czechia	1.8032	7	-1	Q213
Sweden	1.6976	8	0	Q34
Hungary	1.6623	9	0	Q28
Slovenia	1.6167	10	3	Q215
United States of America	1.5483	11	1	Q30
Finland	1.5458	12	-2	Q33
United Kingdom	1.5073	13	-2	Q145
Italy	1.44	14	2	Q38
Slovakia	1.4125	15	0	Q214
France	1.3726	16	-2	Q142
Ireland	1.3597	17	0	Q27
China	1.3409	18	0	Q148
Mexico	1.2881	19	0	Q96
Israel	1.2009	20	6	Q801
Belgium	1.1768	21	-1	Q31
Thailand	1.1691	22	2	Q869
Poland	1.0986	23	0	Q36
Denmark	1.094	24	-3	Q35
Romania	1.0879	25	0	Q218
Malaysia	1.0289	26	3	Q833
Netherlands	9.801	27	0	Q55
Estonia	9.636000000000001	28	2	Q191
Belarus	8.875	29	-7	Q184
Croatia	8.702	30	1	Q224
Lithuania	8.571	31	5	Q37
Spain	8.289	32	-4	Q29
Portugal	8.011000000000001	33	1	Q45
Latvia	7.046	34	3	Q211
Philippines	6.747000000000001	35	3	Q928
Saudi Arabia	6.731	36	33	Q851
Bosnia and Herzegovina	6.704	37	-4	Q225
Serbia	6.667999999999999	38	1	Q403
Canada	6.462000000000001	39	2	Q16
Turkey	6.397	40	2	Q43
Bulgaria	5.545	41	-1	Q219
India	5.385	42	10	Q668
Norway	4.362	43	-8	Q20
Ukraine	3.677	44	-1	Q212
Lebanon	3.5380000000000003	45	0	Q822
Tunisia	3.3510000000000004	46	-2	Q948
Costa Rica	3.342	47	4	Q800
Bahrain	3.0460000000000003	48	10	Q398
Brazil	2.137	49	-2	Q155
Cyprus	1.827	50	-4	Q229
Jordan	1.699	51	-1	Q810
Vietnam	145.0	52	11	Q881
El Salvador	1.341	53	2	Q792
New Zealand	1.287	54	-5	Q664
Greece	1.075	55	2	Q41
Colombia	0.1	56	4	Q739
North Macedonia	683.0	57	11	Q221
Trinidad and Tobago	527.0	58	24	Q754
Kyrgyzstan	372.0	59	-11	Q813
Uruguay	247.0	60	-6	Q77
Indonesia	157.0	61	1	Q252
United Arab Emirates	-121.0	62	18	Q878
South Africa	-233.0	63	-7	Q258
Russia	-378.0	64	1	Q159
Georgia	-39.0	65	-1	Q230
Egypt	-611.0	66	1	Q79
Eswatini	-785.0	67	-6	Q1050
Tanzania	-931.0	68	25	Q924
Mauritius	-1.7309999999999999	69	-3	Q1027
Dominican Republic	-1.798	70	4	Q786
Moldova	-1.8119999999999998	71	-18	Q217
Chile	-1.824	72	0	Q298
Argentina	-2.105	73	-14	Q414
Panama	-2.404	74	-42	Q804
Qatar	-3.0869999999999997	75	14	Q846
Albania	-3.181	76	7	Q222
Kenya	-3.389	77	-2	Q114
Sri Lanka	-3.5580000000000003	78	-1	Q854
Armenia	-3.918	79	-8	Q399
Uzbekistan	-4.112	80	18	Q265
Namibia	-4.305	81	-3	Q1030
Guatemala	-4.546	82	-9	Q774
Oman	-4.812	83	14	Q842
Botswana	-4.815	84	11	Q963
Mali	-4.897	85	33	Q912
Uganda	-4.954	86	-2	Q1036
Australia	-531.0	87	3	Q408
Burkina Faso	-5.465	88	12	Q965
Paraguay	-5.504	89	-2	Q733
Cambodia	-5.606	90	1	Q424
Morocco	-5.627000000000001	91	-6	Q1028
Jamaica	-5.794	92	-11	Q766
Kazakhstan	-5.931	93	16	Q232
Zambia	-6.181	94	-15	Q953
Senegal	-6.269	95	-7	Q1041
Laos	-6.275	96	12	Q819
Ethiopia	-6.577000000000001	97	19	Q115
Honduras	-6.654	98	-4	Q783
Pakistan	-6.795	99	-3	Q843
Kuwait	-7.0329999999999995	100	19	Q817
Iran	-7.058	101	-31	Q794
Togo	-7.837000000000001	102	-16	Q945
Ghana	-7.978	103	-4	Q117
Peru	-8.057	104	-12	Q419
Nicaragua	-8.361	105	-3	Q811
Turkmenistan	-8.439	106	11	Q874
Mongolia	-8.781	107	13	Q711
Bangladesh	-8.826	108	-2	Q902
Zimbabwe	-9.291	109	-2	Q954
Côte d'Ivoire	-961.0	110	1	Q1008
Myanmar	-9.735	111	4	Q836
Ecuador	-974.0	112	-7	Q736
Madagascar	-10.062999999999999	113	-12	Q1019
Mauritania	-1.026	114	18	Q1025
Bolivia	-10.425	115	-1	Q750
Tajikistan	-10.877	116	-4	Q863
Cuba	-11.058	117	-41	Q241
Malawi	-11.208	118	-15	Q1020
Venezuela	-11.399000000000001	119	2	Q717
Liberia	-11.532	120	-16	Q1014
Mozambique	-12.491	121	-8	Q1029
Algeria	-13.072000000000001	122	7	Q262
Yemen	-13.106	123	-1	Q805
Azerbaijan	-13.669	124	1	Q227
Republic of the Congo	-14.196	125	3	Q971
Gabon	-1.4280000000000002	126	4	Q1000
Guinea	-14.315999999999999	127	-4	Q1006
Libya	-14.634	128	5	Q1016
Cameroon	-16.012	129	-19	Q1009
Papua New Guinea	-16.783	130	-3	Q691
Angola	-17.052	131	-7	Q916
Democratic Republic of the Congo	-18.038	132	-6	Q974
Nigeria	-18.971	133	-2	Q1033
