Country	Prime lending rate minus treasury bill rate	ID
Albania	4.6	Q222
Algeria	5.1	Q262
Angola	6.2	Q916
Antigua and Barbuda	7	Q781
Armenia	6.1	Q399
Azerbaijan	2.2	Q227
Bahamas, The	2.6	Q778
Bangladesh	3.8	Q902
Barbados	4.9	Q244
Belize	7.8	Q242
Bolivia	7.8	Q750
Brazil	31.3	Q155
Canada	2.2	Q16
Cabo Verde	8	Q1011
Hong Kong SAR, China	3.7	Q8646
Czech Republic	3.1	Q213
Dominica	6	Q784
Egypt, Arab Rep.	-0.7	Q79
Fiji	4.3	Q712
Gambia, The	19.1	Q1005
Georgia	3.6	Q230
Grenada	4.2	Q769
Guyana	8.9	Q734
Hungary	1.8	Q28
Iceland	2.6	Q189
Israel	3.3	Q801
Italy	2.7	Q38
Jamaica	11.1	Q766
Japan	1.2	Q17
Kenya	5.3	Q114
Kosovo	6.2	Q1246
Kyrgyz Republic	13.9	Q813
Lebanon	6.1	Q822
Lesotho	4.9	Q1013
Madagascar	42.4	Q1019
Malawi	18.7	Q1020
Maldives	8	Q826
Mauritania	12.3	Q1025
Mauritius	5.4	Q1027
Mexico	0.6	Q96
Moldova	2	Q217
Mongolia	6.2	Q711
Mozambique	6.2	Q1029
Namibia	2.6	Q1030
New Zealand	3	Q664
Nigeria	5.7	Q1033
Pakistan	-1.1	Q843
Papua New Guinea	2.5	Q691
Philippines	2.8	Q928
Romania	3	Q218
Rwanda	11.3	Q1037
Seychelles	7.1	Q1042
Sierra Leone	9.5	Q1044
Solomon Islands	10.3	Q685
South Africa	3	Q258
South Sudan	-4.8	Q958
Sri Lanka	2.2	Q854
St. Lucia	6.1	Q760
St. Vincent and the Grenadines	5.9	Q757
Eswatini	2.4	Q1050
Tajikistan	28.7	Q863
Tanzania	8.8	Q924
Thailand	2.5	Q869
Trinidad and Tobago	7.4	Q754
Uganda	10	Q1036
United States	3.2	Q30
Uruguay	2.3	Q77
Uzbekistan	10.4	Q265
Zambia	-10.8	Q953
