Country	Reference Year	Gini Index	ID
Albania	2017	33.2	Q222
Algeria	2011	27.6	Q262
Angola	2018	51.3	Q916
Argentina	2018	41.4	Q414
Armenia	2018	34.4	Q399
Australia	2014	34.4	Q408
Austria	2017	29.7	Q40
Azerbaijan	2005	26.6	Q227
Bangladesh	2016	32.4	Q902
Belarus	2018	25.2	Q184
Belgium	2017	27.4	Q31
Belize	1999	53.3	Q242
Benin	2015	47.8	Q962
Bhutan	2017	37.4	Q917
Bolivia	2018	42.2	Q750
Bosnia and Herzegovina	2011	33	Q225
Botswana	2015	53.3	Q963
Brazil	2018	53.9	Q155
Bulgaria	2017	40.4	Q219
Burkina Faso	2014	35.3	Q965
Burundi	2013	38.6	Q967
Cameroon	2014	46.6	Q1009
Canada	2013	33.8	Q16
Cabo Verde	2015	42.4	Q1011
Central African Republic	2008	56.2	Q929
Chad	2011	43.3	Q657
Chile	2017	44.4	Q298
China	2016	38.5	Q148
Colombia	2018	50.4	Q739
Comoros	2014	45.3	Q970
Congo, Dem. Rep.	2012	42.1	Q974
Congo, Rep.	2011	48.9	Q971
Costa Rica	2018	48	Q800
Cote d'Ivoire	2015	41.5	Q1008
Croatia	2017	30.4	Q224
Cyprus	2017	31.4	Q229
Czech Republic	2017	24.9	Q213
Denmark	2017	28.7	Q35
Djibouti	2017	41.6	Q977
Dominican Republic	2018	43.7	Q786
Ecuador	2018	45.4	Q736
Egypt, Arab Rep.	2017	31.5	Q79
El Salvador	2018	38.6	Q792
Estonia	2017	30.4	Q191
Ethiopia	2015	35	Q115
Fiji	2013	36.7	Q712
Finland	2017	27.4	Q33
France	2017	31.6	Q142
Gabon	2017	38	Q1000
Gambia, The	2015	35.9	Q1005
Georgia	2018	36.4	Q230
Germany	2016	31.9	Q183
Ghana	2016	43.5	Q117
Greece	2017	34.4	Q41
Guatemala	2014	48.3	Q774
Guinea	2012	33.7	Q1006
Guinea-Bissau	2010	50.7	Q1007
Guyana	1998	44.6	Q734
Haiti	2012	41.1	Q790
Honduras	2018	52.1	Q783
Hungary	2017	30.6	Q28
Iceland	2015	26.8	Q189
India	2011	37.8	Q668
Indonesia	2018	39	Q252
Iran, Islamic Rep.	2017	40.8	Q794
Iraq	2012	29.5	Q796
Ireland	2016	32.8	Q27
Israel	2016	39	Q801
Italy	2017	35.9	Q38
Jamaica	2004	45.5	Q766
Japan	2013	32.9	Q17
Jordan	2010	33.7	Q810
Kazakhstan	2017	27.5	Q232
Kenya	2015	40.8	Q114
Kiribati	2006	37	Q710
Korea, Rep.	2012	31.6	Q884
Kosovo	2017	29	Q1246
Kyrgyz Republic	2018	27.7	Q813
Lao PDR	2012	36.4	Q819
Latvia	2017	35.6	Q211
Lebanon	2011	31.8	Q822
Lesotho	2017	44.9	Q1013
Liberia	2016	35.3	Q1014
Lithuania	2017	37.3	Q37
Luxembourg	2017	34.9	Q32
North Macedonia	2017	34.2	Q221
Madagascar	2012	42.6	Q1019
Malawi	2016	44.7	Q1020
Malaysia	2015	41	Q833
Maldives	2016	31.3	Q826
Mali	2009	33	Q912
Malta	2017	29.2	Q233
Mauritania	2014	32.6	Q1025
Mauritius	2017	36.8	Q1027
Mexico	2018	45.4	Q96
Micronesia, Fed. Sts.	2013	40.1	Q702
Moldova	2018	25.7	Q217
Mongolia	2018	32.7	Q711
Montenegro	2015	39	Q236
Morocco	2013	39.5	Q1028
Mozambique	2014	54	Q1029
Myanmar	2017	30.7	Q836
Namibia	2015	59.1	Q1030
Nepal	2010	32.8	Q837
Netherlands	2017	28.5	Q55
Nicaragua	2014	46.2	Q811
Niger	2014	34.3	Q1032
Nigeria	2009	43	Q1033
Norway	2017	27	Q20
Pakistan	2015	33.5	Q843
Panama	2018	49.2	Q804
Papua New Guinea	2009	41.9	Q691
Paraguay	2018	46.2	Q733
Peru	2018	42.8	Q419
Philippines	2015	44.4	Q928
Poland	2017	29.7	Q36
Portugal	2017	33.8	Q45
Romania	2017	36	Q218
Russian Federation	2018	37.5	Q159
Rwanda	2016	43.7	Q1037
Samoa	2013	38.7	Q683
Sao Tome and Principe	2017	56.3	Q1039
Senegal	2011	40.3	Q1041
Serbia	2017	36.2	Q403
Seychelles	2013	46.8	Q1042
Sierra Leone	2018	35.7	Q1044
Slovak Republic	2016	25.2	Q214
Slovenia	2017	24.2	Q215
Solomon Islands	2013	37.1	Q685
South Africa	2014	63	Q258
South Sudan	2009	46.3	Q958
Spain	2017	34.7	Q29
Sri Lanka	2016	39.8	Q854
St. Lucia	2016	51.2	Q760
Sudan	2014	34.2	Q1049
Suriname	1999	57.6	Q730
Eswatini	2016	54.6	Q1050
Sweden	2017	28.8	Q34
Switzerland	2017	32.7	Q39
Syrian Arab Republic	2004	35.8	Q858
Tajikistan	2015	34	Q863
Tanzania	2017	40.5	Q924
Thailand	2018	36.4	Q869
Timor-Leste	2014	28.7	Q574
Togo	2015	43.1	Q945
Tonga	2015	37.6	Q678
Tunisia	2015	32.8	Q948
Turkey	2018	41.9	Q43
Turkmenistan	1998	40.8	Q874
Tuvalu	2010	39.1	Q672
Uganda	2016	42.8	Q1036
Ukraine	2018	26.1	Q212
United Arab Emirates	2014	32.5	Q878
United Kingdom	2016	34.8	Q145
United States	2016	41.4	Q30
Uruguay	2018	39.7	Q77
Uzbekistan	2003	35.3	Q265
Vanuatu	2010	37.6	Q686
Venezuela, RB	2006	46.9	Q717
Vietnam	2018	35.7	Q881
West Bank and Gaza	2016	33.7	Q407199
Yemen, Rep.	2014	36.7	Q805
Zambia	2015	57.1	Q953
Zimbabwe	2017	44.3	Q954
