Country	Imports (2007)	Imports (2017)	ID
American Samoa	2.0	7.8	Q16641
Cambodia	1.8	1.2	Q424
China	14.4	16.1	Q148
Fiji	2.8	3.4	Q712
Indonesia	9.5	10.0	Q252
Kiribati	0.7	0.7	Q710
Korea, Dem. Peopleâ€™s Rep.	42.0	5.2	Q423
Lao PDR	0.4	0.7	Q819
Malaysia	5.1	8.0	Q833
Marshall Islands	4.6	4.3	Q709
Micronesia, Fed. Sts.	0.5	0.5	Q702
Mongolia	40.9	33.0	Q711
Myanmar	6.3	8.8	Q836
Palau	12.3	16.1	Q695
Papua New Guinea	1.1	2.0	Q691
Philippines	3.1	4.2	Q928
Samoa	0.1	0.9	Q683
Solomon Islands	10.2	0.5	Q685
Thailand	6.9	6.5	Q869
Timor-Leste	1.3	3.8	Q574
Tonga	0.3	1.3	Q678
Tuvalu	0.1	5.2	Q672
Vanuatu	1.8	35.0	Q686
Vietnam	5.0	7.1	Q881
Albania	10.8	13.8	Q222
Armenia	15.0	23.4	Q399
Azerbaijan	11.4	19.4	Q227
Belarus	4.9	12.2	Q184
Bosnia and Herzegovina	7.4	11.1	Q225
Bulgaria	5.9	8.7	Q219
Georgia	8.4	14.0	Q230
Kazakhstan	13.2	20.8	Q232
Kosovo	21.7	14.3	Q1246
Kyrgyz Republic	16.8	35.1	Q813
Lithuania	27.2	24.4	Q37
North Macedonia	11.3	13.6	Q221
Moldova	8.0	13.9	Q217
Montenegro	7.3	13.2	Q236
Romania	7.0	7.9	Q218
Russian Federation	19.6	32.0	Q159
Serbia	11.2	15.3	Q403
Tajikistan	18.6	19.0	Q863
Turkey	22.2	27.1	Q43
Turkmenistan	15.4	12.7	Q874
Ukraine	10.0	18.1	Q212
Uzbekistan	27.4	29.4	Q265
Antigua and Barbuda	25.6	14.8	Q781
Argentina	17.2	26.4	Q414
Belize	7.5	14.2	Q242
Bolivia	10.4	26.2	Q750
Brazil	28.4	31.3	Q155
Chile	50.0	53.3	Q298
Colombia	15.2	26.4	Q739
Costa Rica	8.8	17.7	Q800
Cuba	27.4	32.4	Q241
Dominica	4.0	3.4	Q784
Dominican Republic	5.0	17.9	Q786
Ecuador	13.4	20.3	Q736
El Salvador	7.3	11.5	Q792
Grenada	3.8	12.4	Q769
Guatemala	8.5	14.5	Q774
Guyana	12.0	12.7	Q734
Haiti	14.9	24.7	Q790
Honduras	5.3	11.6	Q783
Jamaica	6.2	10.6	Q766
Mexico	15.3	25.4	Q96
Nicaragua	11.1	18.1	Q811
Panama	30.5	33.4	Q804
Paraguay	30.8	35.5	Q733
Peru	21.0	30.4	Q419
St. Kitts and Nevis	9.6	11.7	Q763
St. Lucia	3.6	4.2	Q760
St. Vincent and the Grenadines	5.4	8.7	Q757
Suriname	9.5	11.0	Q730
Uruguay	74.6	66.7	Q77
Venezuela, RB	8.9	18.1	Q717
Algeria	26.3	45.1	Q262
Djibouti	20.3	26.0	Q977
Egypt, Arab Rep.	26.4	30.2	Q79
Iran, Islamic Rep.	24.1	44.1	Q794
Iraq	35.0	69.4	Q796
Jordan	25.6	33.8	Q810
Lebanon	27.4	32.3	Q822
Libya	24.2	40.1	Q1016
Morocco	23.1	26.0	Q1028
Syrian Arab Republic	34.1	24.4	Q858
Tunisia	18.2	27.9	Q948
West Bank and Gaza	10.0	21.5	Q407199
Yemen, Rep.	33.3	53.7	Q805
Afghanistan	45.0	63.1	Q889
Bangladesh	28.8	41.8	Q902
Bhutan	11.9	2.2	Q917
India	36.8	47.0	Q668
Maldives	19.3	30.2	Q826
Nepal	18.4	21.0	Q837
Pakistan	29.5	44.4	Q843
Sri Lanka	18.0	33.2	Q854
Angola	39.9	32.5	Q916
Benin	25.3	54.1	Q962
Botswana	3.0	5.3	Q963
Burkina Faso	25.4	29.7	Q965
Burundi	9.9	34.6	Q967
Cabo Verde	11.5	13.8	Q1011
Cameroon	28.3	40.1	Q1009
Central African Republic	13.3	16.7	Q929
Chad	18.0	31.5	Q657
Comoros	12.2	30.7	Q970
Congo, Dem. Rep.	31.7	31.7	Q974
Congo, Rep.	5.0	13.9	Q971
Cote d'Ivoire	23.3	32.7	Q1008
Eritrea	32.7	31.5	Q986
Ethiopia	40.2	45.5	Q115
Gabon	13.5	28.3	Q1000
Gambia, The	19.5	29.3	Q1005
Ghana	28.5	37.7	Q117
Guinea	22.7	35.2	Q1006
Guinea-Bissau	13.0	26.2	Q1007
Kenya	29.2	50.2	Q114
Lesotho	0.5	20.8	Q1013
Liberia	52.2	52.2	Q1014
Madagascar	33.0	47.0	Q1019
Malawi	12.5	32.4	Q1020
Mali	15.5	27.9	Q912
Mauritania	20.1	22.1	Q1025
Mauritius	43.7	44.3	Q1027
Mozambique	15.5	25.3	Q1029
Namibia	4.5	18.3	Q1030
Niger	22.2	33.1	Q1032
Nigeria	19.1	31.4	Q1033
Rwanda	14.6	40.5	Q1037
Sao Tome and Principe	3.3	9.9	Q1039
Senegal	30.8	36.8	Q1041
Seychelles	19.3	22.9	Q1042
Sierra Leone	18.0	48.7	Q1044
Somalia	34.9	56.9	Q1045
South Africa	27.2	35.3	Q258
Sudan	22.7	34.0	Q1049
Eswatini	11.9	11.1	Q1050
Tanzania	27.8	34.2	Q924
Togo	26.9	38.5	Q945
Uganda	25.8	44.2	Q1036
Zambia	11.6	17.4	Q953
Zimbabwe	3.4	6.3	Q954
