Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Afghanistan	15.6	14.8	Q889
Albania	12.8	6.3	Q222
Algeria	8	8	Q262
Angola	22.5	19.3	Q916
Antigua and Barbuda	11	8.6	Q781
Argentina	10.6	67.3	Q414
Armenia	19.2	12.1	Q399
Aruba	10.3	5.7	Q21203
Australia	7.3	5.1	Q408
Azerbaijan	20.7	17.3	Q227
Bahamas, The	5.5	4.3	Q778
Bangladesh	12.2	9.6	Q902
Barbados	8.7	8.1	Q244
Belarus	9.2	9	Q184
Belize	13.9	9.1	Q242
Benin	5.1	5.1	Q962
Bhutan	13.9	14	Q917
Bolivia	9.9	8.4	Q750
Bosnia and Herzegovina	7.9	3.3	Q225
Botswana	11.5	6.4	Q963
Brazil	40	37.5	Q155
Brunei Darussalam	5.5	5.5	Q921
Bulgaria	11.1	4.5	Q219
Burkina Faso	5.1	5.1	Q965
Burundi	12.4	14.5	Q967
Cabo Verde	11	9.1	Q1011
Canada	2.6	2.7	Q16
Chile	4.8	4.2	Q298
China	5.8	4.4	Q148
Hong Kong SAR, China	5	5	Q8646
Macao SAR, China	5.3	5.4	Q14773
Colombia	9.4	11.8	Q739
Comoros	10.5	10.5	Q970
Congo, Dem. Rep.	56.5	26.7	Q974
Costa Rica	17.1	8.7	Q800
Cote d'Ivoire	5.1	5.1	Q1008
Czech Republic	5.9	3.7	Q213
Dominica	9.5	7.5	Q784
Dominican Republic	12.1	15.4	Q786
Egypt, Arab Rep.	11	16.1	Q79
Eswatini	9.8	10.1	Q1050
Fiji	7.5	5.7	Q712
Gambia, The	27	28	Q1005
Georgia	15.8	10.8	Q230
Grenada	10.6	7.6	Q769
Guatemala	13.3	12.7	Q774
Guinea-Bissau	5.1	5.1	Q1007
Guyana	14.5	10.5	Q734
Haiti	17.5	13.8	Q790
Honduras	18.9	17.3	Q783
Hungary	7.6	1.8	Q28
Iceland	10.3	7	Q189
India	8.3	9.5	Q668
Indonesia	13.3	10.4	Q252
Iran, Islamic Rep.	12	18	Q794
Iraq	14.3	12.4	Q796
Israel	5	3.5	Q801
Italy	4	2.6	Q38
Jamaica	20.5	13	Q766
Japan	1.6	1	Q17
Jordan	9	8.7	Q810
Kenya	14.4	13.1	Q114
Korea, Rep.	5.5	3.4	Q884
Kosovo	14.4	6.7	Q1246
Kuwait	5.4	4.8	Q817
Kyrgyz Republic	23.7	19	Q813
Lebanon	8.3	10.5	Q822
Lesotho	11.2	11.3	Q1013
Liberia	14.2	13.3	Q1014
Madagascar	46	49	Q1019
Malawi	24.6	32.3	Q1020
Malaysia	5	4.9	Q833
Maldives	10.4	11.5	Q826
Mali	5.1	5.1	Q912
Mauritania	17	17	Q1025
Mauritius	8.9	8.5	Q1027
Mexico	5.3	8.5	Q96
Micronesia, Fed. Sts.	15.1	15.7	Q702
Moldova	16.4	8.3	Q217
Mongolia	20.1	16.9	Q711
Mozambique	16.3	19	Q1029
Myanmar	17	15.8	Q836
Namibia	9.7	9.9	Q1030
New Zealand	6.3	4.8	Q664
Nicaragua	13.3	12.5	Q811
Niger	5.1	5.1	Q1032
Nigeria	17.6	15.4	Q1033
North Macedonia	10.7	5.6	Q221
Oman	7.1	5.2	Q842
Pakistan	14	12.2	Q843
Panama	7.7	7.5	Q804
Papua New Guinea	10.4	8.7	Q691
Paraguay	26	18.1	Q733
Peru	19	17	Q419
Philippines	7.7	7.1	Q928
Qatar	7.3	5	Q846
Romania	14.1	7.2	Q218
Russian Federation	10.8	8.8	Q159
Rwanda	17	16.5	Q1037
Samoa	10.7	8.9	Q683
San Marino	5.4	2	Q238
Sao Tome and Principe	28.9	19.9	Q1039
Senegal	5.1	5.1	Q1041
Seychelles	12.7	12.6	Q1042
Sierra Leone	21.3	17.9	Q1044
Singapore	5.4	5.3	Q334
Solomon Islands	14.4	10.7	Q685
South Africa	9.8	10.1	Q258
South Sudan	12	15.7	Q958
Sri Lanka	10.2	11.2	Q854
St. Kitts and Nevis	8.6	8.5	Q763
St. Lucia	10.6	7.7	Q760
St. Vincent and the Grenadines	9.2	8.4	Q757
Suriname	11.6	15	Q730
Switzerland	2.7	2.6	Q39
Tajikistan	23.4	27.2	Q863
Tanzania	14.5	17	Q924
Thailand	4.3	4.1	Q869
Timor-Leste	11	15.4	Q574
Togo	5.1	5.1	Q945
Tonga	11.5	8.1	Q678
Trinidad and Tobago	9.3	9.3	Q754
Uganda	20.2	19.8	Q1036
Ukraine	15.9	19.8	Q212
United States	3.3	5.3	Q30
Uruguay	10.3	11.6	Q77
Uzbekistan	16.2	23.6	Q265
Vanuatu	5.5	2	Q686
Venezuela, RB	18.3	21.1	Q717
Vietnam	13.1	7.7	Q881
West Bank and Gaza	6.3	5.8	Q407199
Zambia	20.9	10.3	Q953
Zimbabwe	11.6	16.2	Q954
