Country	exports (2010)	exports (2019)	ID
Afghanistan	19.6	3.5	Q889
Albania	62.1	41.6	Q222
Algeria	1.8	4.3	Q262
Andorra	92.3	94.2	Q228
Angola	1.4	4.4	Q916
Antigua and Barbuda	47.6	22	Q781
Argentina	33.2	17.4	Q414
Armenia	24.2	21.3	Q399
Aruba	13.7	44.1	Q21203
Australia	16.6	13.2	Q408
Austria	80.3	81.4	Q40
Azerbaijan	2.5	3.1	Q227
Bahrain	5.6	20.3	Q398
Barbados	64	59.7	Q244
Belarus	53	53.4	Q184
Belgium	75	77.3	Q31
Belize	1.4	3.6	Q242
Benin	4.7	6.1	Q962
Bermuda	69.8	75.2	Q23635
Bolivia	6.4	5.2	Q750
Bosnia and Herzegovina	57	73.1	Q225
Botswana	79.5	97	Q963
Brazil	36.6	33.4	Q155
Brunei Darussalam	4.5	4.3	Q921
Bulgaria	49.2	58.1	Q219
Burkina Faso	9.1	9.7	Q965
Burundi	6	10.3	Q967
Cabo Verde	17.5	16.5	Q1011
Cambodia	96.1	92.6	Q424
Cameroon	7.5	9.4	Q1009
Canada	49	49.4	Q16
Central African Republic	3.2	65.1	Q929
Chile	12.6	14.1	Q298
China	93.6	93.4	Q148
Hong Kong SAR, China	76.8	96.4	Q8646
Macao SAR, China	43.3	35.3	Q14773
Colombia	22.5	20.7	Q739
Comoros	32.6	56.1	Q970
Congo, Rep.	30.5	8.3	Q971
Costa Rica	60.9	55.4	Q800
Cote d'Ivoire	16.2	10.4	Q1008
Croatia	67.8	66.3	Q224
Cyprus	50.2	32.7	Q229
Czech Republic	86.4	91.3	Q213
Denmark	60.5	69.8	Q35
Dominican Republic	67.7	69.2	Q786
Ecuador	9.8	6.1	Q736
Egypt, Arab Rep.	43.4	48.5	Q79
El Salvador	73.4	75.7	Q792
Estonia	62.5	71.8	Q191
Eswatini	65.6	65.2	Q1050
Ethiopia	16.1	5.9	Q115
Fiji	30	32.4	Q712
Finland	76.6	67.4	Q33
France	78.4	80.1	Q142
Gambia, The	1	44.2	Q1005
Georgia	48.4	33.3	Q230
Germany	84.2	85.1	Q183
Ghana	20.7	5.5	Q117
Greece	40.8	37.8	Q41
Greenland	7.2	4.5	Q223
Guatemala	42.7	43.6	Q774
Guyana	7.2	26.7	Q734
Honduras	25.3	30.4	Q783
Hungary	82.6	86.9	Q28
Iceland	14.6	15.3	Q189
India	63.8	71.5	Q668
Indonesia	37.5	44.7	Q252
Iran, Islamic Rep.	15.6	19.7	Q794
Ireland	84.8	88.5	Q27
Israel	93.3	91.8	Q801
Italy	82.4	82.3	Q38
Jamaica	40.4	51.1	Q766
Japan	89	87.7	Q17
Jordan	73.6	74.9	Q810
Kazakhstan	12.2	13.8	Q232
Kenya	34.7	28.4	Q114
Korea, Rep.	89	87.7	Q884
Kuwait	6.6	7.8	Q817
Kyrgyz Republic	38.4	42.7	Q813
Lao PDR	16	22.3	Q819
Latvia	58.6	59.9	Q211
Lebanon	63.6	63.1	Q822
Lesotho	62.1	89.3	Q1013
Lithuania	53.9	62.3	Q37
Luxembourg	79.5	82	Q32
Madagascar	48.2	32.4	Q1019
Malawi	9	8.3	Q1020
Malaysia	67.2	69.5	Q833
Maldives	0.1	0.4	Q826
Mali	20.2	37.4	Q912
Malta	67.8	62.2	Q233
Mauritania	0	0.6	Q1025
Mauritius	60.2	60.5	Q1027
Mexico	76	76.9	Q96
Moldova	22.6	40.4	Q217
Montenegro	20	28.8	Q236
Morocco	66.3	71.4	Q1028
Mozambique	2	9.4	Q1029
Myanmar	26	43.2	Q836
Namibia	44.3	34.5	Q1030
Nepal	71.9	68.3	Q837
Netherlands	56.9	68	Q55
New Zealand	21.6	15.6	Q664
Nicaragua	7.1	47.6	Q811
Nigeria	6.7	3.6	Q1033
North Macedonia	68.1	83.3	Q221
Norway	18.2	16.5	Q20
Oman	10.5	15.7	Q842
Pakistan	74.1	74.1	Q843
Palau	9.6	9	Q695
Paraguay	7.4	11.7	Q733
Peru	13.7	11.3	Q419
Philippines	56.8	83.8	Q928
Poland	79.1	80.1	Q36
Portugal	75.3	77.7	Q45
Qatar	2	3.7	Q846
Romania	78.5	81.7	Q218
Russian Federation	14.1	20.6	Q159
Samoa	78.3	10	Q683
Sao Tome and Principe	4.7	24	Q1039
Saudi Arabia	11.1	16.3	Q851
Senegal	41.7	28.7	Q1041
Seychelles	11	20.8	Q1042
Singapore	72.5	76.8	Q334
Slovak Republic	85.8	90.7	Q214
Slovenia	85.2	84.2	Q215
Solomon Islands	0.6	2.2	Q685
South Africa	48.7	47.9	Q258
Spain	72.5	67.5	Q29
Sri Lanka	66.5	67.9	Q854
St. Kitts and Nevis	87.2	86.4	Q763
St. Lucia	47.9	60.6	Q760
St. Vincent and the Grenadines	15.7	26.2	Q757
Suriname	1.9	3.3	Q730
Sweden	74.9	75.1	Q34
Switzerland	86.6	91.6	Q39
Tanzania	24.1	74.4	Q924
Thailand	75.3	77.5	Q869
Togo	64.9	51.3	Q945
Tunisia	76	81.1	Q948
Turkey	79.2	79.2	Q43
Uganda	22.8	22.5	Q1036
Ukraine	64.6	48.8	Q212
United Arab Emirates	6.2	14	Q878
United Kingdom	68.4	75.8	Q145
United States	66.2	59.5	Q30
Uruguay	26	22.3	Q77
Vietnam	64.7	84.4	Q881
Zambia	6.7	14.4	Q953
Zimbabwe	21.1	17.6	Q954
