Country	Most recent year	Tariff	ID
Albania	2017	6.8	Q222
Angola	2016	59.1	Q916
Antigua and Barbuda	2017	58.8	Q781
Argentina	2017	31.7	Q414
Armenia	2017	8.7	Q399
Australia	2017	9.6	Q408
Austria	2017	4.4	Q40
Bahrain	2017	34.7	Q398
Bangladesh	2016	158.1	Q902
Barbados	2013	78.2	Q244
Belgium	2017	4.4	Q31
Belize	2017	59.3	Q242
Benin	2017	29.5	Q962
Bolivia	2017	40	Q750
Botswana	2017	19	Q963
Brazil	2017	31.5	Q155
Brunei Darussalam	2017	24.3	Q921
Bulgaria	2017	4.4	Q219
Burkina Faso	2017	44.3	Q965
Burundi	2016	69	Q967
Cabo Verde	2015	16	Q1011
Cambodia	2016	19.4	Q424
Cameroon	2014	79.9	Q1009
Canada	2017	4.9	Q16
Central African Republic	2017	35.9	Q929
Chad	2016	79.9	Q657
Chile	2017	25.2	Q298
China	2017	10	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	42.8	Q739
Congo, Dem. Rep.	2014	96.1	Q974
Congo, Rep.	2015	27.5	Q971
Costa Rica	2016	43	Q800
Cote d'Ivoire	2017	11.2	Q1008
Croatia	2017	4.4	Q224
Cuba	2017	21.6	Q241
Czech Republic	2017	4.4	Q213
Denmark	2017	4.4	Q35
Djibouti	2014	41.3	Q977
Dominica	2017	58.7	Q784
Dominican Republic	2017	34.6	Q786
Ecuador	2017	21.8	Q736
Egypt, Arab Rep.	2017	36.5	Q79
El Salvador	2017	36.9	Q792
Estonia	2017	4.4	Q191
Fiji	2017	40.1	Q712
Finland	2017	4.4	Q33
France	2017	4.4	Q142
Gabon	2016	22.8	Q1000
Gambia, The	2013	102	Q1005
Georgia	2016	7.1	Q230
Germany	2017	4.4	Q183
Ghana	2017	92.5	Q117
Greece	2017	4.4	Q41
Grenada	2016	57.3	Q769
Guatemala	2015	41.6	Q774
Guinea	2017	20.9	Q1006
Guinea-Bissau	2017	48.5	Q1007
Guyana	2017	56.6	Q734
Haiti	2016	17.7	Q790
Honduras	2015	32.1	Q783
Hungary	2017	4.4	Q28
Iceland	2017	13.8	Q189
India	2017	52	Q668
Indonesia	2017	37.3	Q252
Ireland	2017	4.4	Q27
Israel	2017	23.2	Q801
Italy	2017	4.4	Q38
Jamaica	2016	50.4	Q766
Japan	2017	3.1	Q17
Jordan	2017	16.4	Q810
Kazakhstan	2017	6	Q232
Kenya	2016	94.5	Q114
Korea, Rep.	2017	16.6	Q884
Kuwait	2017	98.3	Q817
Kyrgyz Republic	2017	7.6	Q813
Lao PDR	2017	19	Q819
Latvia	2017	4.4	Q211
Lesotho	2017	80.2	Q1013
Lithuania	2017	4.4	Q37
Luxembourg	2017	4.4	Q32
North Macedonia	2017	6.9	Q221
Madagascar	2017	27.5	Q1019
Malawi	2016	75.1	Q1020
Malaysia	2016	14.6	Q833
Maldives	2017	36.6	Q826
Mali	2017	29.7	Q912
Malta	2017	4.4	Q233
Mauritania	2015	20.8	Q1025
Mauritius	2017	85.9	Q1027
Mexico	2017	35	Q96
Moldova	2016	6.8	Q217
Mongolia	2017	17.6	Q711
Montenegro	2017	5.3	Q236
Morocco	2017	41.3	Q1028
Mozambique	2016	97.5	Q1029
Myanmar	2015	83.8	Q836
Namibia	2017	19.4	Q1030
Nepal	2016	26.3	Q837
Netherlands	2017	4.4	Q55
New Zealand	2017	9.4	Q664
Nicaragua	2017	41.2	Q811
Niger	2017	45.2	Q1032
Nigeria	2016	120.9	Q1033
Norway	2017	2.8	Q20
Oman	2017	14.1	Q842
Pakistan	2016	60.8	Q843
Panama	2015	22.9	Q804
Papua New Guinea	2013	33.8	Q691
Paraguay	2017	33.5	Q733
Peru	2017	29.5	Q419
Philippines	2017	25.8	Q928
Poland	2017	4.4	Q36
Portugal	2017	4.4	Q45
Qatar	2017	15.8	Q846
Romania	2017	4.4	Q218
Russian Federation	2017	7.4	Q159
Rwanda	2016	89.2	Q1037
Samoa	2017	21.3	Q683
Saudi Arabia	2017	10.7	Q851
Senegal	2017	30	Q1041
Seychelles	2017	9.4	Q1042
Sierra Leone	2012	47.4	Q1044
Singapore	2017	6.9	Q334
Slovak Republic	2017	4.4	Q214
Slovenia	2017	4.4	Q215
Solomon Islands	2017	79.1	Q685
South Africa	2017	19.4	Q258
Spain	2017	4.4	Q29
Sri Lanka	2017	31.7	Q854
St. Kitts and Nevis	2017	76	Q763
St. Lucia	2016	64.6	Q760
St. Vincent and the Grenadines	2017	63	Q757
Suriname	2013	18.2	Q730
Eswatini	2017	19.2	Q1050
Sweden	2017	4.4	Q34
Switzerland	2017	0	Q39
Tajikistan	2017	7.9	Q863
Tanzania	2016	120	Q924
Thailand	2015	25.3	Q869
Togo	2017	80	Q945
Tonga	2017	17.6	Q678
Trinidad and Tobago	2013	55.7	Q754
Tunisia	2016	58.9	Q948
Turkey	2017	30.1	Q43
Uganda	2016	73	Q1036
Ukraine	2017	5.8	Q212
United Arab Emirates	2017	14.7	Q878
United Kingdom	2017	4.4	Q145
United States	2017	3.6	Q30
Uruguay	2017	31.7	Q77
Vanuatu	2017	40.1	Q686
Venezuela, RB	2017	36.7	Q717
Vietnam	2017	11.4	Q881
Yemen, Rep.	2017	21.6	Q805
Zambia	2016	107.3	Q953
Zimbabwe	2016	88.4	Q954
