Country	Depletion (2000-2018)	Depletion (2017-2018)	ID
Afghanistan	0.7	-6.3	Q889
Albania	12.8	48.3	Q222
Angola	-4.8	56.1	Q916
Argentina	-5.6	79.7	Q414
Armenia	18.4	10.2	Q399
Australia	3.9	38.4	Q408
Austria	-0.1	29.2	Q40
Azerbaijan	-1.2	38.9	Q227
Bahrain	0	23	Q398
Bangladesh	2.8	3.5	Q902
Barbados	-8.1	-20	Q244
Belarus	-3.8	20.6	Q184
Belgium	12.6	-59.4	Q31
Belize	75.9	26.9	Q242
Benin	6.6	-38.9	Q962
Bhutan	0.8	-43.2	Q917
Bolivia	3.9	9.5	Q750
Bosnia and Herzegovina	1.4	-8.1	Q225
Botswana	-0.4	64.4	Q963
Brazil	-0.4	47.8	Q155
Brunei Darussalam	-2.5	51.1	Q921
Bulgaria	2	-2.8	Q219
Burkina Faso	15.7	-21.6	Q965
Burundi	-3.3	-31.2	Q967
Cabo Verde	1.3	-48.4	Q1011
Cambodia	-2.8	-56.6	Q424
Cameroon	-3	23.7	Q1009
Canada	-7.8	55.9	Q16
Central African Republic	47.1	-5.9	Q929
Chad	5.7	11	Q657
Chile	2.1	7.6	Q298
China	-4	15.7	Q148
Colombia	-0.1	42	Q739
Comoros	5.4	-40.2	Q970
Congo, Dem. Rep.	17.9	16.3	Q974
Congo, Rep.	-3.2	57.1	Q971
Costa Rica	-1.8	-22.8	Q800
Croatia	-2.8	27.2	Q224
Cyprus	4.9	5.5	Q229
Czech Republic	-4	77	Q213
Denmark	-5.4	19.8	Q35
Dominican Republic	3.4	7	Q786
Ecuador	-2.1	43.6	Q736
Egypt, Arab Rep.	-2.5	27.3	Q79
El Salvador	4.8	-28.1	Q792
Equatorial Guinea	-8	28.1	Q983
Estonia	9.7	71.8	Q191
Eswatini	2.6	-35.5	Q1050
Ethiopia	-5.3	-39.4	Q115
Fiji	9.8	6.3	Q712
Finland	25.1	10.4	Q33
France	-5	55.7	Q142
Gabon	-3.8	31	Q1000
Gambia, The	3.7	-60.8	Q1005
Georgia	4.5	-2.5	Q230
Germany	-4.7	20.9	Q183
Ghana	3.3	-3.2	Q117
Greece	2.9	35.5	Q41
Guatemala	3.9	-12.2	Q774
Guinea	2.5	-22.6	Q1006
Guinea-Bissau	4.9	-41.7	Q1007
Guyana	31.4	4.3	Q734
Haiti	2.9	-38.5	Q790
Honduras	4.8	-25.1	Q783
Hungary	-2.3	54.1	Q28
India	-2.1	16.8	Q668
Indonesia	-6.5	37.8	Q252
Iraq	1.3	24.9	Q796
Ireland	8.7	-13.1	Q27
Israel	47	43.7	Q801
Italy	-0.9	67	Q38
Jamaica	-2.1	-13	Q766
Japan	8.5	30.1	Q17
Jordan	9.6	1.8	Q810
Kazakhstan	-4.3	44.5	Q232
Kenya	-3.2	-45.9	Q114
Korea, Rep.	5.8	42.2	Q884
Kuwait	1.4	22.4	Q817
Kyrgyz Republic	18.1	3.4	Q813
Lao PDR	3.7	-18.3	Q819
Lesotho	3.1	-45.7	Q1013
Liberia	22.8	-17.7	Q1014
Libya	-10.4	38.9	Q1016
Lithuania	-14.6	26	Q37
Madagascar	126.2	334.9	Q1019
Malawi	0.6	-36.6	Q1020
Malaysia	-2.3	41.1	Q833
Maldives	-0.3	-51.6	Q826
Mali	9.5	-16.2	Q912
Mauritania	5.4	-35.9	Q1025
Mexico	-0.1	24	Q96
Moldova	16.5	0.6	Q217
Mongolia	10.1	2.2	Q711
Montenegro	14.1	23.1	Q236
Morocco	11.2	-27.8	Q1028
Mozambique	46.7	18.5	Q1029
Myanmar	0.6	9	Q836
Namibia	18.8	10.9	Q1030
Nepal	-2.6	-48.9	Q837
Netherlands	-0.6	10.1	Q55
New Zealand	1.6	30.7	Q664
Nicaragua	9.5	-15	Q811
Niger	2.2	-40	Q1032
Nigeria	-5.3	25.3	Q1033
Norway	-3.6	34.6	Q20
Oman	-2.2	24.8	Q842
Pakistan	-1.4	21.2	Q843
Panama	16.4	127.6	Q804
Papua New Guinea	-3.6	18.4	Q691
Paraguay	-2	-15.7	Q733
Peru	10.7	0.5	Q419
Philippines	5.6	20.1	Q928
Poland	3.7	9.1	Q36
Portugal	-0.1	24.7	Q45
Qatar	-5.1	17.7	Q846
Romania	-6.7	29.4	Q218
Russian Federation	-2.1	50.2	Q159
Rwanda	-1.9	-31.6	Q1037
Saudi Arabia	-1.9	28.3	Q851
Senegal	27.1	-3.5	Q1041
Serbia	-1.5	0.5	Q403
Sierra Leone	0.7	-41.2	Q1044
Slovak Republic	7.5	-10	Q214
Slovenia	1.7	62.2	Q215
Solomon Islands	14.9	-5.1	Q685
South Africa	2.1	9.9	Q258
Spain	11.9	10	Q29
Sri Lanka	-4	-40.6	Q854
Suriname	9.4	-9.6	Q730
Sweden	19.1	16.1	Q34
Switzerland	-7.7	6.1	Q39
Tajikistan	29.9	20.3	Q863
Tanzania	41.4	4.4	Q924
Thailand	2.2	20.7	Q869
Togo	6.1	-32.1	Q945
Tonga	3.3	-30.7	Q678
Trinidad and Tobago	-2	52.6	Q754
Tunisia	0.3	29.8	Q948
Turkey	5.2	31.8	Q43
Uganda	-1.1	-37.2	Q1036
Ukraine	-2.3	51.8	Q212
United Arab Emirates	1.2	29.3	Q878
United Kingdom	-4.4	56.3	Q145
United States	-6.7	85.6	Q30
Uruguay	23.9	3.6	Q77
Uzbekistan	-4.5	64.8	Q265
Vietnam	-6.2	8	Q881
Zambia	32.9	23.8	Q953
Zimbabwe	7.7	-23.8	Q954
