Country	Population	ID
Afghanistan	38.0	Q889
Albania	2.9	Q222
Algeria	43.1	Q262
American Samoa	0.1	Q16641
Andorra	0.1	Q228
Angola	31.8	Q916
Antigua and Barbuda	0.1	Q781
Argentina	44.9	Q414
Armenia	3.0	Q399
Aruba	0.1	Q21203
Australia	25.4	Q408
Austria	8.9	Q40
Azerbaijan	10.0	Q227
Bahamas, The	0.4	Q778
Bahrain	1.6	Q398
Bangladesh	163.0	Q902
Barbados	0.3	Q244
Belarus	9.5	Q184
Belgium	11.5	Q31
Belize	0.4	Q242
Benin	11.8	Q962
Bermuda	0.1	Q23635
Bhutan	0.8	Q917
Bolivia	11.5	Q750
Bosnia and Herzegovina	3.3	Q225
Botswana	2.3	Q963
Brazil	211.0	Q155
Brunei Darussalam	0.4	Q921
Bulgaria	7.0	Q219
Burkina Faso	20.3	Q965
Burundi	11.5	Q967
Cambodia	16.5	Q424
Cameroon	25.9	Q1009
Canada	37.6	Q16
Cabo Verde	0.5	Q1011
Cayman Islands	0.1	Q5785
Central African Republic	4.7	Q929
Chad	15.9	Q657
Channel Islands	0.2	Q42314
Chile	19.0	Q298
China	1,397.7	Q148
Hong Kong SAR, China	7.5	Q8646
Macao SAR, China	0.6	Q14773
Colombia	50.3	Q739
Comoros	0.9	Q970
Congo, Dem. Rep.	86.8	Q974
Congo, Rep.	5.4	Q971
Costa Rica	5.0	Q800
Cote d'Ivoire	25.7	Q1008
Croatia	4.1	Q224
Cuba	11.3	Q241
Curacao	0.2	Q25279
Cyprus	1.2	Q229
Czech Republic	10.7	Q213
Denmark	5.8	Q35
Djibouti	1.0	Q977
Dominica	0.1	Q784
Dominican Republic	10.7	Q786
Ecuador	17.4	Q736
Egypt, Arab Rep.	100.4	Q79
El Salvador	6.5	Q792
Equatorial Guinea	1.4	Q983
Estonia	1.3	Q191
Eswatini	1.1	Q1050
Ethiopia	112.1	Q115
Faroe Islands	0.0	Q4628
Fiji	0.9	Q712
Finland	5.5	Q33
France	67.1	Q142
French Polynesia	0.3	Q30971
Gabon	2.2	Q1000
Gambia, The	2.3	Q1005
Georgia	3.7	Q230
Germany	83.1	Q183
Ghana	30.4	Q117
Greece	10.7	Q41
Greenland	0.1	Q223
Grenada	0.1	Q769
Guam	0.2	Q16635
Guatemala	16.6	Q774
Guinea	12.8	Q1006
Guinea-Bissau	1.9	Q1007
Guyana	0.8	Q734
Haiti	11.3	Q790
Honduras	9.7	Q783
Hungary	9.8	Q28
