Country	Data year	Homeless population (per night)	Homeless (per 10,000)	ID
Australia	2.016	116	47	Q408
Austria	2.0140000000000002	15	17	Q40
Bosnia and Herzegovina	2.015	7	20	Q225
Brazil	2.016	102	4	Q155
Canada	2.016	129	36	Q16
Chile	2.011	12	7	Q298
China	2.011	2,579,000	18	Q148
Congo DR	2.017	1,500,000	56	Q974
Croatia	2.0180000000000002	3	7	Q224
Czech Republic	2.019	24	22	Q213
Denmark	2.017	7	11	Q35
Egypt	2.013	12,000,000	1.200	Q79
Estonia	2.011	864	6	Q191
Finland	2.0180000000000002	5	9	Q33
France	2.012	142	21	Q142
Germany	2.017	650	79	Q183
Greece	2.013	20	18	Q41
Grenada	2.004	60	5.644	Q769
Guatemala	2.012	475	315	Q774
Haiti	2.01	2,300,000	2.324	Q790
Honduras	2.013	1,000,000	1.235	Q783
Hong Kong	2.013	1	2	Q8646
Hungary	2.0140000000000002	10	10	Q28
India	2.011	1,770,000	15	Q668
Indonesia	2.004	3,000,000	136	Q252
Ireland	2.019	10	21	Q27
Israel	2.019	25	29	Q801
Italy	2.0140000000000002	48	8	Q38
Japan	2.019	5	0.3	Q17
Jordan	2.017	0	0	Q810
Latvia	2.011	2	11	Q211
Liechtenstein	2.004	0	0	Q347
Luxembourg	2.013	2	28	Q32
Mexico	2.01	41	4	Q96
Netherlands	2.0180000000000002	39	23	Q55
New Zealand	2.015	41	94	Q664
Nigeria	2.0069999999999997	24,400,000	1.658	Q1033
Norway	2.016	4	7	Q20
Poland	2.017	33,400 pp	8	Q36
Portugal	2.012	3	3	Q45
Romania	2.004	15	7	Q218
Russia	2.01	64	4	Q159
Slovenia	2.015	3	13	Q215
South Africa	2.015	200	36	Q258
South Korea	2.016	11	2	Q884
Spain	2.012	40	9	Q29
Sweden	2.011	34	36	Q34
Switzerland	2.016	3,000 – 8,000	3–9	Q39
Togo	1.999	100	211	Q945
Uganda	2.0140000000000002	500	143	Q1036
Ukraine	2.016	30	75	Q212
United Kingdom	2.016	307	46	Q145
United States	2.019	568	17	Q30
Wales	2.011	15	48	Q25
Zimbabwe	2.013	1,200,000	848	Q954
