Country	Gender equality	Equity of public resource use	Building human resources	Social protection and labor	Policies and institutions for environmental sustainability	Average	ID
Afghanistan	1.5	3.5	3.5	2.5	2.5	2.7	Q889
Bangladesh	3.0	3.5	4.0	3.0	3.0	3.3	Q902
Benin	3.5	3.5	4.0	3.0	3.5	3.5	Q962
Bhutan	4.0	4.5	4.5	3.0	4.0	4.0	Q917
Burkina Faso	3.5	4.0	3.5	3.0	4.0	3.6	Q965
Burundi	4.0	3.5	4.0	3.0	3.0	3.5	Q967
Cabo Verde	4.0	3.5	4.5	4.0	3.5	3.9	Q1011
Cambodia	4.0	3.5	4.5	2.5	3.0	3.5	Q424
Cameroon	3.0	3.0	3.5	3.0	3.5	3.2	Q1009
Central African Republic	2.5	2.0	2.5	2.0	2.5	2.3	Q929
Chad	2.5	3.0	3.5	3.0	3.0	3.0	Q657
Comoros	3.0	2.5	3.0	2.0	3.0	2.7	Q970
Congo, Dem. Rep.	3.0	3.5	3.5	2.5	3.0	3.1	Q974
Congo, Rep.	3.0	3.0	3.0	2.5	2.5	2.8	Q971
Cote d'Ivoire	3.0	3.5	4.0	3.0	4.0	3.5	Q1008
Djibouti	3.0	3.5	4.0	3.0	2.5	3.2	Q977
Dominica	3.0	3.0	4.5	3.0	3.5	3.4	Q784
Eritrea	3.0	2.5	3.5	2.0	2.0	2.6	Q986
Ethiopia	3.5	4.0	4.5	3.5	3.5	3.8	Q115
Gambia, The	3.5	3.0	4.5	2.5	3.5	3.4	Q1005
Ghana	4.0	3.0	4.0	3.5	4.0	3.7	Q117
Grenada	3.5	3.0	4.5	4.0	4.0	3.8	Q769
Guinea	3.0	3.5	3.5	2.5	4.0	3.3	Q1006
Guinea-Bissau	2.0	2.0	2.5	2.5	2.5	2.3	Q1007
Guyana	3.0	3.0	4.0	3.0	3.0	3.2	Q734
Haiti	2.5	2.5	3.5	2.0	2.5	2.6	Q790
Honduras	3.5	4.0	3.5	3.5	3.5	3.6	Q783
Kenya	3.5	4.0	4.0	3.5	3.5	3.7	Q114
Kiribati	3.0	3.5	3.0	3.0	3.0	3.1	Q710
Kosovo	3.5	3.0	3.5	3.5	3.5	3.4	Q1246
Kyrgyz Republic	4.5	4.0	4.0	3.5	3.0	3.8	Q813
Lao PDR	4.0	3.5	3.5	2.5	3.5	3.4	Q819
Lesotho	4.0	3.0	3.5	3.0	3.5	3.4	Q1013
Liberia	3.0	3.5	3.0	3.0	3.0	3.1	Q1014
Madagascar	4.0	3.0	3.5	3.0	3.0	3.3	Q1019
Malawi	3.5	4.0	3.5	3.5	3.5	3.6	Q1020
Maldives	3.5	3.0	4.5	3.5	4.0	3.7	Q826
Mali	2.5	4.0	3.0	3.0	3.5	3.2	Q912
Marshall Islands	3.0	2.0	3.0	2.0	3.0	2.6	Q709
Mauritania	3.5	4.0	4.0	3.0	3.0	3.5	Q1025
Micronesia, Fed. Sts.	3.0	2.5	3.0	2.0	2.5	2.6	Q702
Moldova	4.5	3.5	4.0	3.5	4.0	3.9	Q217
Mongolia	4.0	4.0	4.0	3.5	3.5	3.8	Q711
Mozambique	3.5	3.0	3.5	3.0	3.5	3.3	Q1029
Myanmar	3.0	2.5	3.0	2.0	2.5	2.6	Q836
Nepal	3.5	4.0	4.5	3.0	3.5	3.7	Q837
Nicaragua	4.0	4.0	3.5	3.5	3.0	3.6	Q811
Niger	2.5	4.0	3.5	3.0	3.5	3.3	Q1032
Nigeria	3.0	3.5	3.5	4.0	3.5	3.5	Q1033
Pakistan	2.5	3.5	3.5	3.5	3.0	3.2	Q843
Papua New Guinea	2.5	3.5	2.5	2.5	2.0	2.6	Q691
Rwanda	4.5	4.0	4.0	4.0	4.5	4.2	Q1037
Samoa	4.0	4.5	4.0	3.5	3.5	3.9	Q683
Sao Tome and Principe	3.0	3.0	3.5	2.5	3.5	3.1	Q1039
Senegal	3.5	4.0	4.5	3.0	3.5	3.7	Q1041
Sierra Leone	3.0	3.5	3.0	3.0	3.0	3.1	Q1044
Solomon Islands	3.0	2.5	3.0	2.5	2.5	2.7	Q685
Somalia	2.0	3.0	2.5	2.5	2.0	2.4	Q1045
South Sudan	1.5	2.0	2.0	1.0	1.0	1.5	Q958
St. Lucia	4.0	4.0	4.5	3.5	3.5	3.9	Q760
St. Vincent and the Grenadines	3.5	3.5	4.5	3.5	3.5	3.7	Q757
Sudan	2.5	2.5	3.0	2.5	2.0	2.5	Q1049
Tajikistan	4.0	3.5	3.5	3.0	3.0	3.4	Q863
Tanzania	3.0	4.0	4.0	4.0	3.0	3.6	Q924
Timor-Leste	3.5	3.5	3.0	2.5	2.0	2.9	Q574
Togo	3.5	4.0	3.5	3.0	4.0	3.6	Q945
Tonga	3.0	4.5	3.0	3.0	3.0	3.3	Q678
Tuvalu	3.0	3.0	3.0	2.5	3.0	2.9	Q672
Uganda	3.0	4.0	3.5	3.5	3.5	3.5	Q1036
Uzbekistan	4.0	4.0	4.0	3.5	3.5	3.8	Q265
Vanuatu	3.5	3.0	3.0	2.5	3.5	3.1	Q686
Yemen, Rep.	1.5	2.5	2.0	3.0	2.5	2.3	Q805
Zambia	3.0	3.0	3.5	2.5	3.5	3.1	Q953
Zimbabwe	4.0	3.5	4.0	3.0	4.0	3.7	Q954
