Country	Survey Year	Total	Male	Female	Work only	Study and work	ID
Afghanistan	2011	9.3	13.1	5.1	50	50	Q889
Albania	2010	5.5	6.4	4.6	5.1	94.9	Q222
Algeria	2013	7.5	8.5	6.5	4.5	95.5	Q262
Angola	2001	30.1	30	30.1	26.6	73.4	Q916
Argentina	2012	5	6.4	3.5	4.8	95.2	Q414
Armenia	2010	9.9	12	7.5	0	100	Q399
Azerbaijan	2005	5.2	5.8	4.5	6.3	93.7	Q227
Bangladesh	2013	5	5.7	4.2	58.1	41.9	Q902
Belarus	2012	2.3	2	2.6	0	100	Q184
Benin	2012	24.1	24.4	23.7	32.4	67.6	Q962
Bolivia	2015	13.9	15.2	12.6	6.7	93.3	Q750
Bosnia and Herzegovina	2006	10.6	11.7	9.5	0.1	99.9	Q225
Brazil	2015	2.5	3.5	1.5	4	96	Q155
Burkina Faso	2010	50.3	55.6	44.8	56.8	43.2	Q965
Burundi	2010	31.9	31.3	32.4	18.3	81.7	Q967
Cambodia	2012	11.5	11	12.1	21.1	78.9	Q424
Cameroon	2011	62	63.6	60.4	15	85	Q1009
Central African Republic	2010	37.2	36.6	37.9	24.8	75.2	Q929
Chad	2015	55.9	56.7	55.1	49.3	50.7	Q657
Chile	2012	4.5	6.2	2.8	0.9	99.1	Q298
Colombia	2015	5.6	6.9	4.1	13.4	86.6	Q739
Congo, Dem. Rep.	2014	41.4	39.2	43.6	10.5	89.5	Q974
Congo, Rep.	2012	31.5	31.4	31.6	5	95	Q971
Costa Rica	2016	1.3	1.9	0.6	14.7	85.3	Q800
Cote d'Ivoire	2012	36.5	36.6	36.4	41.2	58.8	Q1008
Dominican Republic	2014	13.2	15.7	10.3	4.8	95.2	Q786
Ecuador	2015	5.6	5.9	5.2	8.2	91.8	Q736
Egypt, Arab Rep.	2009	2.9	4.8	0.9	55	45	Q79
El Salvador	2013	7.8	10.9	4.6	15.7	84.3	Q792
Eswatini	2010	13.3	14.5	12.1	2.4	97.6	Q1050
Ethiopia	2011	26.1	32.5	19.5	35.1	64.9	Q115
Gabon	2012	24	25.6	22.6	2.9	97.1	Q1000
Gambia, The	2015	23.8	26.2	21.2	56.6	43.4	Q1005
Georgia	2006	31.8	33.6	29.9	1	99	Q230
Ghana	2012	28.8	28.8	28.7	12	88	Q117
Guatemala	2015	7.2	10	4.2	39	61	Q774
Guinea	2012	38.1	40.3	35.9	49.5	50.5	Q1006
Guinea-Bissau	2014	63.9	65.3	62.5	24.2	75.8	Q1007
Haiti	2012	37.8	40.3	35.2	7.6	92.4	Q790
Honduras	2014	10.5	15.1	5.8	41.8	58.2	Q783
India	2012	1.7	1.9	1.6	82.5	17.5	Q668
Indonesia	2010	3.7	4.2	3.2	44.4	55.6	Q252
Iraq	2011	6.4	8.3	4.3	33.6	66.4	Q796
Jamaica	2011	6.2	6.4	6	0	100	Q766
Jordan	2016	1.2	2	0.4	20	80	Q810
Kazakhstan	2006	3.6	4.4	2.8	1.6	98.4	Q232
Kenya	2009	34.4	34.9	33.9	32.5	67.5	Q114
Kyrgyz Republic	2014	41.1	47.2	33.7	0.3	99.7	Q813
Lao PDR	2010	8.6	7.6	9.7	89.3	10.7	Q819
Lesotho	2002	2.6	4	1.3	74.4	25.6	Q1013
Liberia	2010	18.4	21.7	15	23.9	76.1	Q1014
Madagascar	2007	26	27.7	24.2	40.9	59.1	Q1019
Malawi	2015	48.9	50.8	47	7.3	92.7	Q1020
Mali	2013	29.7	32.3	27	54.8	45.2	Q912
Mauritania	2011	14.5	16.4	12.8	43.7	56.3	Q1025
Mexico	2013	5.6	7.4	3.8	14.5	85.5	Q96
Moldova	2009	29	34.5	23	0	100	Q217
Mongolia	2013	14.7	17.2	12.2	3.8	96.2	Q711
Morocco	2004	4.5	6	3	84.5	15.5	Q1028
Mozambique	2008	27.4	27.2	27.7	18.2	81.8	Q1029
Nepal	2014	42.8	41.5	44.1	8.8	91.2	Q837
Nicaragua	2012	47.7	56.2	39	15.6	84.4	Q811
Niger	2012	48.5	50.3	46.7	54.5	45.5	Q1032
Nigeria	2011	35.1	34.1	36	23.4	76.6	Q1033
North Macedonia	2011	19.8	20.3	19.2	1.4	98.6	Q221
Pakistan	2011	13	12.5	13.5	87.4	12.6	Q843
Panama	2014	5.6	7	4.1	13.1	86.9	Q804
Paraguay	2014	10.4	15.7	4.7	9.3	90.7	Q733
Peru	2015	22.6	23.1	22	24.1	75.9	Q419
Philippines	2011	9	10.9	7.2	13.9	86.1	Q928
Portugal	2001	3.6	4.6	2.6	3.6	96.4	Q45
Romania	2000	1.4	1.7	1.1	20.7	79.3	Q218
Rwanda	2014	5.9	6	5.7	20.8	79.2	Q1037
Senegal	2015	25.1	37.3	13.1	44.7	55.3	Q1041
Serbia	2014	17.9	23.4	12.9	0.8	99.2	Q403
