Country	Total	ID
Afghanistan	0.1	Q889
Albania	13.5	Q222
Algeria	7.1	Q262
American Samoa	8.7	Q16641
Andorra	26.7	Q228
Angola	5	Q916
Antigua and Barbuda	0.3	Q781
Argentina	7.4	Q414
Armenia	23.1	Q399
Aruba	0.1	Q21203
Australia	29.7	Q408
Austria	28.4	Q40
Azerbaijan	5.5	Q227
Bahamas, The	8.6	Q778
Bahrain	1.7	Q398
Bangladesh	4.9	Q902
Barbados	0	Q244
Belarus	9.4	Q184
Belgium	24.6	Q31
Belize	20.6	Q242
Benin	23.5	Q962
Bermuda	0	Q23635
Bhutan	48	Q917
Bolivia	30.9	Q750
Bosnia and Herzegovina	1.4	Q225
Botswana	29.1	Q963
Brazil	28.6	Q155
Brunei Darussalam	9	Q921
Bulgaria	28.3	Q219
Burkina Faso	14.9	Q965
Burundi	7.6	Q967
Cabo Verde	0	Q1011
Cambodia	20.6	Q424
Cameroon	10.4	Q1009
Canada	6.5	Q16
Cayman Islands	0.1	Q5785
Central African Republic	18.1	Q929
Chad	20.4	Q657
Chile	27	Q298
China	14.6	Q148
Hong Kong SAR, China	48.9	Q8646
Colombia	15.7	Q739
Comoros	0.1	Q970
Congo, Dem. Rep.	13.8	Q974
Congo, Rep.	36.8	Q971
Costa Rica	3	Q800
Cote d'Ivoire	14.9	Q1008
Croatia	23.6	Q224
Cuba	7.2	Q241
Curacao	0.3	Q25279
Cyprus	1.7	Q229
Czech Republic	22.2	Q213
Denmark	17.9	Q35
Djibouti	1.2	Q977
Dominica	0.7	Q784
Dominican Republic	19.2	Q786
Ecuador	15	Q736
Egypt, Arab Rep.	11.6	Q79
El Salvador	2.2	Q792
Equatorial Guinea	1.8	Q983
Eritrea	3	Q986
Estonia	19.5	Q191
Eswatini	4.2	Q1050
Ethiopia	18.5	Q115
Faroe Islands	0	Q4628
Fiji	1	Q712
Finland	14.2	Q33
France	33.2	Q142
French Polynesia	0	Q30971
Gabon	25.1	Q1000
Gambia, The	1.4	Q1005
Georgia	6.4	Q230
Germany	38.8	Q183
Ghana	7.8	Q117
Greece	11	Q41
Greenland	22.4	Q223
Grenada	0.2	Q769
Guam	0.1	Q16635
Guatemala	10.1	Q774
Guinea	24.8	Q1006
Guinea-Bissau	11.6	Q1007
Guyana	5.3	Q734
Haiti	0.4	Q790
Honduras	10.9	Q783
Hungary	22.6	Q28
Iceland	2.5	Q189
India	3.5	Q668
Indonesia	5.3	Q252
Iran, Islamic Rep.	7.7	Q794
Iraq	1.5	Q796
Ireland	4	Q27
Isle of Man	4.2	Q9676
Israel	8.6	Q801
Italy	13.4	Q38
Jamaica	1.4	Q766
Japan	10	Q17
Jordan	1.8	Q810
Kazakhstan	3.2	Q232
Kenya	10.5	Q114
Kiribati	11.8	Q710
Korea, Dem. People’s Rep.	1.3	Q423
Korea, Rep.	4	Q884
Kuwait	11	Q817
Kyrgyz Republic	6.7	Q813
Lao PDR	16.7	Q819
Latvia	17.5	Q211
Lebanon	1	Q822
Lesotho	0.3	Q1013
Liberia	1.2	Q1014
Libya	0.3	Q1016
Liechtenstein	11.9	Q347
Lithuania	17.8	Q37
Luxembourg	40.9	Q32
Madagascar	9.7	Q1019
Malawi	2.3	Q1020
Malaysia	22.9	Q833
Maldives	9	Q826
Mali	0.1	Q912
Malta	8.2	Q233
Marshall Islands	6.4	Q709
Mauritania	0.3	Q1025
Mauritius	1.1	Q1027
Mexico	0	Q96
Micronesia, Fed. Sts.	19.1	Q702
Moldova	0	Q217
Monaco	4.2	Q235
Mongolia	99.5	Q711
Montenegro	17.7	Q236
Morocco	4.2	Q1028
Mozambique	18.4	Q1029
Myanmar	13.4	Q836
Namibia	4.6	Q1030
Nepal	23.2	Q837
Netherlands	23.6	Q55
New Caledonia	21.2	Q33788
New Zealand	96	Q664
Nicaragua	30.5	Q811
Niger	15.5	Q1032
Nigeria	17.3	Q1033
North Macedonia	11.6	Q221
Northern Mariana Islands	33.2	Q16644
Norway	5.1	Q20
Oman	1	Q842
Pakistan	9.8	Q843
Palau	82.9	Q695
Panama	5.2	Q804
Papua New Guinea	0.7	Q691
Paraguay	14.3	Q733
Peru	13.1	Q419
Philippines	3.1	Q928
Poland	38.1	Q36
Portugal	16.9	Q45
Puerto Rico	2	Q1183
Qatar	4.7	Q846
Romania	24.3	Q218
Russian Federation	7.6	Q159
Rwanda	9.1	Q1037
Samoa	0.2	Q683
Sao Tome and Principe	0.2	Q1039
Saudi Arabia	4.5	Q851
Senegal	14.6	Q1041
Serbia	6.6	Q403
Seychelles	0.1	Q1042
Sierra Leone	3.3	Q1044
Singapore	2.5	Q334
Sint Maarten (Dutch part)	8.1	Q26273
Slovak Republic	37.6	Q214
Slovenia	55.1	Q215
Solomon Islands	0.2	Q685
Somalia	0.8	Q1045
South Africa	10.3	Q258
South Sudan	15.5	Q958
Spain	15	Q29
Sri Lanka	3.4	Q854
St. Kitts and Nevis	0.3	Q763
St. Lucia	0.9	Q760
St. Martin (French part)	92	Q126125
St. Vincent and the Grenadines	0.5	Q757
Sudan	2.8	Q1049
Suriname	8.5	Q730
Sweden	15	Q34
Switzerland	9.7	Q39
Syrian Arab Republic	0.7	Q858
Tajikistan	22.3	Q863
Tanzania	31	Q924
Thailand	12.5	Q869
Timor-Leste	4.4	Q574
Togo	21.8	Q945
