Country	Revenue % (2010)	Revenue % (2010).1	ID
Afghanistan	9.2	9.3	Q889
Albania	18	18.6	Q222
Angola	16.6	9.2	Q916
Argentina	12.9	10.1	Q414
Armenia	17.1	20.9	Q399
Australia	20.5	23	Q408
Austria	25.3	25.4	Q40
Azerbaijan	12.2	13	Q227
Bahamas, The	10.9	14.8	Q778
Bangladesh	7.8	8.8	Q902
Barbados	24.7	27.5	Q244
Belarus	16.3	14.7	Q184
Belgium	24.5	24	Q31
Belize	23.9	26.3	Q242
Bhutan	13.5	16	Q917
Bosnia and Herzegovina	19.7	20.4	Q225
Botswana	23.6	19.5	Q963
Brazil	14.3	14.2	Q155
Bulgaria	18.5	20.2	Q219
Burkina Faso	11.3	15	Q965
Cabo Verde	18.4	20.1	Q1011
Cambodia	10	17.1	Q424
Cameroon	11.8	12.8	Q1009
Canada	11.8	12.9	Q16
Central African Republic	8.4	8.6	Q929
Chile	17.4	18.2	Q298
China	10.2	9.4	Q148
Macao SAR, China	34.5	28.8	Q14773
Colombia	12.1	14.4	Q739
Congo, Rep.	7.6	9	Q971
Costa Rica	13.1	13.6	Q800
Cote d'Ivoire	14.3	11.8	Q1008
Croatia	19.8	22	Q224
Cyprus	23.1	24.5	Q229
Czech Republic	13.4	14.9	Q213
Denmark	32.7	32.4	Q35
Dominican Republic	12.2	13	Q786
El Salvador	15.8	18.1	Q792
Equatorial Guinea	7.6	6.1	Q983
Estonia	19.7	20.9	Q191
Ethiopia	8.2	7.5	Q115
Fiji	21.8	24.2	Q712
Finland	18.6	20.8	Q33
France	22.1	24.2	Q142
Gabon	14.1	10.2	Q1000
Georgia	21	21.7	Q230
Germany	11.2	11.5	Q183
Ghana	13.4	12.6	Q117
Greece	20.2	26.2	Q41
Guatemala	10.4	10.6	Q774
Hungary	22.8	23	Q28
Iceland	20.1	23.4	Q189
India	10.4	11.2	Q668
Indonesia	10.5	10.2	Q252
Ireland	21.8	18.3	Q27
Israel	22.5	23.1	Q801
Italy	23.7	24.3	Q38
Jamaica	24.3	26.8	Q766
Japan	8.8	11.9	Q17
Jordan	15.7	15.1	Q810
Kazakhstan	15.7	11.7	Q232
Kiribati	17.6	22	Q710
Korea, Rep.	13.4	15.6	Q884
Latvia	19.8	22.9	Q211
Lebanon	16.8	15.3	Q822
Lesotho	29.8	31.6	Q1013
Lithuania	16	16.9	Q37
Luxembourg	25	26.5	Q32
North Macedonia	16.9	17.7	Q221
Madagascar	8.5	10.2	Q1019
Malawi	15.4	17.4	Q1020
Malaysia	13.3	12	Q833
Mali	12.9	11.6	Q912
Malta	26.1	26.2	Q233
Marshall Islands	17.6	17.8	Q709
Mauritius	18	19.1	Q1027
Mexico	10.1	13.1	Q96
Micronesia, Fed. Sts.	4.7	25.2	Q702
Moldova	15.2	17.7	Q217
Mongolia	19.6	16.8	Q711
Morocco	22.8	21.9	Q1028
Mozambique	14.8	21.6	Q1029
Myanmar	4.5	5.4	Q836
Namibia	25.9	29.3	Q1030
Nepal	13.4	20.7	Q837
Netherlands	21	23	Q55
New Zealand	26.1	28	Q664
Nicaragua	13.7	15.7	Q811
Norway	26.9	23.9	Q20
Palau	17	21.3	Q695
Paraguay	8.9	10	Q733
Peru	15.5	14.3	Q419
Philippines	11.6	14	Q928
Poland	16.5	17.4	Q36
Portugal	19.6	22.8	Q45
Romania	16.6	14.6	Q218
Russian Federation	13	11.4	Q159
Samoa	20.9	25.5	Q683
San Marino	15.6	18.1	Q238
Saudi Arabia	2.5	8.9	Q851
Seychelles	27.9	34.1	Q1042
Singapore	12.8	13.1	Q334
Slovak Republic	15.2	18.7	Q214
Slovenia	18.1	18.6	Q215
Solomon Islands	28.7	29.5	Q685
South Africa	25	27.5	Q258
Spain	12.4	14.2	Q29
Sri Lanka	11.3	11.9	Q854
St. Kitts and Nevis	16.7	18.5	Q763
St. Lucia	18.2	18.2	Q760
St. Vincent and the Grenadines	22.9	25.4	Q757
Sudan	6.2	8	Q1049
Sweden	27.4	27.9	Q34
Switzerland	9.7	10.1	Q39
Tanzania	9.9	11.5	Q924
Thailand	14.9	14.9	Q869
Timor-Leste	110.2	25	Q574
Togo	14.5	16.9	Q945
Trinidad and Tobago	26.2	19.5	Q754
Turkey	19.4	17.9	Q43
Ukraine	15.6	20.1	Q212
United Arab Emirates	0.3	0.1	Q878
United Kingdom	25.3	25.5	Q145
United States	8.6	9.6	Q30
Uruguay	18.9	20.1	Q77
Uzbekistan	13.2	14.8	Q265
Vanuatu	15.5	18	Q686
West Bank and Gaza	5.5	6.4	Q407199
Zambia	12.8	16.2	Q953
Zimbabwe	17.4	20.7	Q954
