Country	% 1990	% 2014	ID
Albania	31.4	6.6	Q222
Algeria	0	2.4	Q262
Angola	0.8	0.4	Q916
Argentina	4.6	6.5	Q414
Armenia	3	0.4	Q399
Australia	1.3	1.7	Q408
Austria	2.2	1.2	Q40
Azerbaijan	8	3.6	Q227
Bahrain	0	0	Q398
Bangladesh	6.8	5.2	Q902
Belarus	3.9	4.1	Q184
Belgium	1.4	1.9	Q31
Benin	0	0	Q962
Bolivia	1.4	14.9	Q750
Bosnia and Herzegovina	20.3	3.1	Q225
Botswana	1.4	0.7	Q963
Brazil	6	4	Q155
Brunei Darussalam	0	1.3	Q921
Bulgaria	6.3	1.1	Q219
Cameroon	0	0	Q1009
Canada	1.7	2.9	Q16
Chile	1.4	0.8	Q298
China	6.1	2.1	Q148
Colombia	3.1	5.7	Q739
Congo, Dem. Rep.	37.8	0	Q974
Congo, Rep.	0	0	Q971
Costa Rica	0.8	2.8	Q800
Cote d'Ivoire	4.8	3.5	Q1008
Croatia	6.3	4.4	Q224
Cuba	9.1	10.8	Q241
Curacao	0	0	Q25279
Cyprus	0	1.7	Q229
Czech Republic	3.8	1.4	Q213
Denmark	4.5	4.4	Q35
Dominican Republic	1.1	0.8	Q786
Ecuador	1.6	9.4	Q736
Egypt, Arab Rep.	0	3.5	Q79
El Salvador	0	-0.2	Q792
Eritrea	0	-1.8	Q986
Estonia	2.8	1.9	Q191
Ethiopia	12.4	7.9	Q115
Finland	3.9	4.3	Q33
France	3.2	4.7	Q142
Gabon	2.2	1.7	Q1000
Georgia	1.6	0.4	Q230
Germany	1.7	0.1	Q183
Ghana	4.7	1.8	Q117
Gibraltar	0	0	Q1410
Greece	4.1	1.3	Q41
Guatemala	2.5	0	Q774
Haiti	0	0	Q790
Honduras	0	4.8	Q783
Hong Kong SAR, China	0	0	Q8646
Hungary	4.4	3.5	Q28
Iceland	34.7	30.4	Q189
India	5.4	3	Q668
Indonesia	2.9	1.4	Q252
Iran, Islamic Rep.	7.1	2.1	Q794
Iraq	0	0	Q796
Ireland	2.2	1.6	Q27
Israel	1.3	0.3	Q801
Italy	2.3	2.2	Q38
Jamaica	1.5	1	Q766
Japan	0.6	0.2	Q17
Jordan	7	2	Q810
Kazakhstan	11	1.3	Q232
Kenya	7.1	1.6	Q114
Korea, Dem. Peopleâ€™s Rep.	14.1	18.5	Q423
Korea, Rep.	3.4	1.5	Q884
Kuwait	0	0	Q817
Kyrgyz Republic	19.2	9.3	Q813
Latvia	4.1	5.4	Q211
Lebanon	0	0	Q822
Libya	0	0	Q1016
Lithuania	4.7	2.5	Q37
Luxembourg	0.2	0.6	Q32
North Macedonia	1.5	0.5	Q221
Malaysia	0	1.4	Q833
Malta	0	0.9	Q233
Mauritius	0	0.3	Q1027
Mexico	2	2.1	Q96
Moldova	37.7	2.5	Q217
Mongolia	8.2	6.4	Q711
Morocco	3.6	4.5	Q1028
Mozambique	13.9	0.8	Q1029
Myanmar	0	14.6	Q836
Namibia	49.6	34.8	Q1030
Nepal	11.2	7.6	Q837
Netherlands	5.2	4.5	Q55
New Zealand	5.5	5.1	Q664
Nicaragua	4.3	0.9	Q811
Nigeria	0	10.8	Q1033
Norway	5.1	5.3	Q20
Oman	4.7	2.6	Q842
Pakistan	1.7	0.3	Q843
Panama	0	0.6	Q804
Paraguay	0	0	Q733
Peru	3.6	0.8	Q419
Philippines	2.1	0.6	Q928
Poland	2.3	3.4	Q36
Portugal	3.9	2.7	Q45
Qatar	0	0	Q846
Romania	4.8	2	Q218
Russian Federation	4.3	1.2	Q159
Saudi Arabia	0	0	Q851
Senegal	8	0.6	Q1041
Serbia	8.3	0.9	Q403
Singapore	0.3	0	Q334
Slovak Republic	3.3	1.1	Q214
Slovenia	0.1	2.1	Q215
South Africa	1.2	2.4	Q258
Spain	2.1	3.3	Q29
Sri Lanka	14.4	2.1	Q854
Sudan	0.2	4.7	Q1049
Sweden	2.7	1	Q34
Switzerland	1.4	1.2	Q39
Syrian Arab Republic	22.6	7.3	Q858
Tajikistan	79.4	60.5	Q863
Tanzania	0	0.7	Q924
Thailand	6.9	5	Q869
Togo	0	0	Q945
Trinidad and Tobago	0	0	Q754
Tunisia	5.6	4.4	Q948
Turkey	4.6	3.7	Q43
Turkmenistan	27.7	17.3	Q874
Ukraine	3.9	1.9	Q212
United Arab Emirates	0	0	Q878
United Kingdom	2.5	1	Q145
United States	1.4	0.9	Q30
Uruguay	11.7	8	Q77
Uzbekistan	53.9	3.5	Q265
Venezuela, RB	0	0	Q717
Vietnam	4.1	1.1	Q881
Yemen, Rep.	0	4.1	Q805
Zambia	4.7	5.3	Q953
Zimbabwe	9	7.6	Q954
