Country	Survey Year	Regulations and tax	ID
Afghanistan	2014	13.7	Q889
Albania	2019	10.9	Q222
Algeria	2007	19.3	Q262
Angola	2010	34.7	Q916
Antigua and Barbuda	2010	2.9	Q781
Argentina	2017	88.2	Q414
Armenia	2013	20	Q399
Azerbaijan	2013	5	Q227
Bahamas, The	2010	17.4	Q778
Bangladesh	2013	33.5	Q902
Barbados	2010	49.3	Q244
Belarus	2018	38	Q184
Belize	2010	1.9	Q242
Benin	2016	30.7	Q962
Bhutan	2015	1.2	Q917
Bolivia	2017	26.6	Q750
Bosnia and Herzegovina	2019	15.9	Q225
Botswana	2010	27.2	Q963
Brazil	2009	79.7	Q155
Bulgaria	2019	20.8	Q219
Burkina Faso	2009	35.8	Q965
Burundi	2014	10.1	Q967
Cambodia	2016	33	Q424
Cameroon	2016	35.4	Q1009
Cabo Verde	2009	39.2	Q1011
Central African Republic	2011	14.5	Q929
Chad	2018	34.1	Q657
Chile	2010	68.5	Q298
China	2012	27.5	Q148
Colombia	2017	45.1	Q739
Congo, Dem. Rep.	2013	24.1	Q974
Costa Rica	2010	35.6	Q800
Cote d'Ivoire	2016	43.9	Q1008
Croatia	2019	35.6	Q224
Cyprus	2019	35.3	Q229
Czech Republic	2019	33.1	Q213
Djibouti	2013	8.8	Q977
Dominica	2010	2.6	Q784
Dominican Republic	2016	41.3	Q786
Ecuador	2017	29.2	Q736
Egypt, Arab Rep.	2016	31.9	Q79
El Salvador	2016	30.9	Q792
Estonia	2019	25.4	Q191
Ethiopia	2015	5.4	Q115
Fiji	2009	6.5	Q712
Gabon	2009	12.1	Q1000
Gambia, The	2018	5.4	Q1005
Georgia	2019	4.5	Q230
Ghana	2013	24.5	Q117
Greece	2018	35.5	Q41
Grenada	2010	22.2	Q769
Guatemala	2017	37.5	Q774
Guinea	2016	13	Q1006
Guinea-Bissau	2006	30.4	Q1007
Guyana	2010	22.4	Q734
Honduras	2016	48.9	Q783
Hungary	2019	13.1	Q28
India	2014	17.8	Q668
Indonesia	2015	6	Q252
Iraq	2011	19.4	Q796
Italy	2019	32.7	Q38
Jamaica	2010	9.3	Q766
Jordan	2019	2.8	Q810
Kazakhstan	2019	26	Q232
Kenya	2018	11.4	Q114
Kosovo	2019	19.4	Q1246
Kyrgyz Republic	2019	23.9	Q813
Lao PDR	2018	27	Q819
Latvia	2019	18.1	Q211
Lebanon	2019	7.3	Q822
Lesotho	2016	1.9	Q1013
Liberia	2017	10.4	Q1014
Lithuania	2019	14.8	Q37
North Macedonia	2019	6.4	Q221
Madagascar	2013	14.3	Q1019
Malawi	2014	19	Q1020
Malaysia	2015	3.8	Q833
Mali	2016	44.2	Q912
Malta	2019	98.8	Q233
Mauritania	2014	64.6	Q1025
Mauritius	2009	19.1	Q1027
Mexico	2010	54	Q96
Micronesia, Fed. Sts.	2009	7.3	Q702
Moldova	2019	11.1	Q217
Mongolia	2019	42	Q711
Montenegro	2019	6	Q236
Morocco	2019	7.5	Q1028
Mozambique	2018	24.9	Q1029
Myanmar	2016	39.2	Q836
Namibia	2014	24.4	Q1030
Nepal	2013	9.8	Q837
Nicaragua	2016	27.3	Q811
Niger	2017	39.7	Q1032
Nigeria	2014	14.4	Q1033
Pakistan	2013	10.4	Q843
Panama	2010	66.3	Q804
Papua New Guinea	2015	20.9	Q691
Paraguay	2017	32.4	Q733
Peru	2017	91.9	Q419
Philippines	2015	17.8	Q928
Poland	2019	1.2	Q36
Romania	2013	23.2	Q218
Russian Federation	2019	22.5	Q159
Rwanda	2019	11.8	Q1037
Samoa	2009	4.8	Q683
Senegal	2014	27.8	Q1041
Serbia	2019	92.8	Q403
Sierra Leone	2017	15.3	Q1044
Slovak Republic	2019	23.5	Q214
Slovenia	2019	78.5	Q215
Solomon Islands	2015	11.7	Q685
South Africa	2007	36.2	Q258
South Sudan	2014	9.2	Q958
Sri Lanka	2011	16.7	Q854
St. Kitts and Nevis	2010	1.9	Q763
St. Lucia	2010	1.9	Q760
St. Vincent and the Grenadines	2010	7.3	Q757
Sudan	2014	4.7	Q1049
Suriname	2018	125.2	Q730
Eswatini	2016	5.3	Q1050
Sweden	2014	26.2	Q34
Syrian Arab Republic	2009	169.2	Q858
Tajikistan	2019	15.9	Q863
Tanzania	2013	18.8	Q924
Thailand	2016	2.5	Q869
Timor-Leste	2015	17.1	Q574
Togo	2016	78.4	Q945
Tonga	2009	3.2	Q678
Trinidad and Tobago	2010	28.7	Q754
Tunisia	2013	39.2	Q948
Turkey	2019	17.9	Q43
Uganda	2013	10.4	Q1036
Ukraine	2019	21.5	Q212
Uruguay	2017	176	Q77
Uzbekistan	2019	15.7	Q265
Vanuatu	2009	17.8	Q686
Venezuela, RB	2010	117.2	Q717
Vietnam	2015	11.4	Q881
West Bank and Gaza	2019	16.4	Q407199
Yemen, Rep.	2013	7	Q805
Zambia	2019	20	Q953
Zimbabwe	2016	8.1	Q954
