Country	Growth %	ID
Albania	1.8	Q222
Algeria	3.5	Q262
Angola	4	Q916
Argentina	2.5	Q414
Armenia	-0.7	Q399
Australia	1.9	Q408
Austria	1.3	Q40
Azerbaijan	-1.3	Q227
Bahrain	4.5	Q398
Bangladesh	4.5	Q902
Belarus	-0.8	Q184
Belgium	0.5	Q31
Benin	4.1	Q962
Bolivia	4.4	Q750
Bosnia and Herzegovina	3.7	Q225
Botswana	2.8	Q963
Brazil	3.2	Q155
Brunei Darussalam	2.9	Q921
Bulgaria	-1.1	Q219
Cambodia	3.9	Q424
Cameroon	1.6	Q1009
Canada	1.1	Q16
Chile	4	Q298
China	6.1	Q148
Hong Kong SAR, China	1.9	Q8646
Colombia	1.1	Q739
Congo, Dem. Rep.	3.5	Q974
Congo, Rep.	5.6	Q971
Costa Rica	4.6	Q800
Cote d'Ivoire	4.9	Q1008
Croatia	0.6	Q224
Cuba	-0.6	Q241
Curacao	1.9	Q25279
Cyprus	1.8	Q229
Czech Republic	0	Q213
Denmark	-0.3	Q35
Dominican Republic	2.7	Q786
Ecuador	3.1	Q736
Egypt, Arab Rep.	4.5	Q79
El Salvador	2.1	Q792
Eritrea	-1.1	Q986
Estonia	-0.9	Q191
Ethiopia	3.1	Q115
Finland	1	Q33
France	0.5	Q142
Gabon	7.3	Q1000
Georgia	-3.3	Q230
Germany	-0.4	Q183
Ghana	1.4	Q117
Greece	1	Q41
Guatemala	4.3	Q774
Haiti	5.1	Q790
Honduras	3.6	Q783
Hungary	-0.4	Q28
Iceland	5.2	Q189
India	4.2	Q668
Indonesia	3.4	Q252
Iran, Islamic Rep.	5.2	Q794
Iraq	2.3	Q796
Ireland	1.5	Q27
Israel	2.9	Q801
Italy	0.5	Q38
Jamaica	0	Q766
Japan	0	Q17
Jordan	3.9	Q810
Kazakhstan	1.1	Q232
Kenya	3.1	Q114
Korea, Dem. Peopleâ€™s Rep.	-2.8	Q423
Korea, Rep.	4.1	Q884
Kosovo	2.6	Q1246
Kuwait	7.1	Q817
Kyrgyz Republic	-1.1	Q813
Latvia	-1.3	Q211
Lebanon	4	Q822
Libya	2	Q1016
Lithuania	-2	Q37
Luxembourg	1.1	Q32
North Macedonia	0.5	Q221
Malaysia	5.5	Q833
Malta	0.8	Q233
Mauritius	3.4	Q1027
Mexico	1.9	Q96
Moldova	-3.3	Q217
Mongolia	2.2	Q711
Morocco	4	Q1028
Mozambique	3	Q1029
Myanmar	2	Q836
Namibia	3.8	Q1030
Nepal	2.8	Q837
Netherlands	0.6	Q55
New Zealand	1.6	Q664
Nicaragua	2.1	Q811
Niger	4.5	Q1032
Nigeria	3.1	Q1033
Norway	1.6	Q20
Oman	7.5	Q842
Pakistan	3.2	Q843
Panama	3.9	Q804
Paraguay	1.8	Q733
Peru	3.5	Q419
Philippines	1.7	Q928
Poland	-0.2	Q36
Portugal	1.2	Q45
Qatar	8.2	Q846
Romania	-1.8	Q218
Russian Federation	-0.2	Q159
Saudi Arabia	5	Q851
Senegal	4.1	Q1041
Serbia	-0.1	Q403
Singapore	2.6	Q334
Slovak Republic	-0.4	Q214
Slovenia	1.3	Q215
South Africa	2.2	Q258
Spain	1.6	Q29
Sri Lanka	3	Q854
Sudan	1.9	Q1049
Suriname	1.9	Q730
Sweden	0.1	Q34
Switzerland	0.3	Q39
Syrian Arab Republic	2.1	Q858
Tajikistan	-1.8	Q863
Tanzania	4.3	Q924
Thailand	4.8	Q869
Togo	4.3	Q945
Trinidad and Tobago	6.5	Q754
Tunisia	3.4	Q948
Turkey	3.7	Q43
Turkmenistan	3.5	Q874
Ukraine	-2.5	Q212
United Arab Emirates	5.5	Q878
United Kingdom	-0.5	Q145
United States	0.6	Q30
Uruguay	2.8	Q77
Uzbekistan	0	Q265
Venezuela, RB	2.4	Q717
Vietnam	6	Q881
Yemen, Rep.	5.1	Q805
Zambia	2.4	Q953
Zimbabwe	0.1	Q954
