Country	Survey Year	Trade	ID
Afghanistan	2014	8.1	Q889
Albania	2019	1.1	Q222
Algeria	2007	14.1	Q262
Angola	2010	6.7	Q916
Antigua and Barbuda	2010	6.4	Q781
Argentina	2017	6.5	Q414
Armenia	2013	7.3	Q399
Azerbaijan	2013	1.9	Q227
Bahamas, The	2010	6.1	Q778
Bangladesh	2013	7	Q902
Barbados	2010	6.5	Q244
Belarus	2018	1.4	Q184
Belize	2010	6.2	Q242
Benin	2016	17.9	Q962
Bhutan	2015	12.7	Q917
Bolivia	2017	9.7	Q750
Bosnia and Herzegovina	2019	1.3	Q225
Botswana	2010	6.2	Q963
Brazil	2009	16.4	Q155
Bulgaria	2019	4.8	Q219
Burkina Faso	2009	7.4	Q965
Burundi	2014	20.6	Q967
Cambodia	2016	4.9	Q424
Cameroon	2016	6.7	Q1009
Central African Republic	2011	9.5	Q929
Chad	2018	11.9	Q657
Chile	2010	10.8	Q298
China	2012	7.6	Q148
Colombia	2017	12.5	Q739
Congo, Dem. Rep.	2013	6.3	Q974
Costa Rica	2010	10	Q800
Cote d'Ivoire	2016	19.6	Q1008
Croatia	2019	2.1	Q224
Cyprus	2019	14.1	Q229
Czech Republic	2019	3.8	Q213
Djibouti	2013	10.4	Q977
Dominica	2010	4.8	Q784
Dominican Republic	2016	9.4	Q786
Ecuador	2017	9.2	Q736
Egypt, Arab Rep.	2016	7.5	Q79
El Salvador	2016	2.9	Q792
Eritrea	2009	9.6	Q986
Estonia	2019	1.8	Q191
Ethiopia	2015	7.7	Q115
Fiji	2009	11.6	Q712
Gabon	2009	3.8	Q1000
Gambia, The	2018	4.8	Q1005
Georgia	2019	2.5	Q230
Germany	2005	4.7	Q183
Ghana	2013	7.8	Q117
Greece	2018	2.4	Q41
Grenada	2010	9.3	Q769
Guatemala	2017	4.5	Q774
Guinea	2016	4.3	Q1006
Guinea-Bissau	2006	5.6	Q1007
Guyana	2010	11.5	Q734
Honduras	2016	3.8	Q783
Hungary	2019	1.9	Q28
India	2014	5.8	Q668
Indonesia	2015	8.3	Q252
Iraq	2011	11.8	Q796
Ireland	2005	2.6	Q27
Israel	2013	4.6	Q801
Italy	2019	5.5	Q38
Jamaica	2010	13.1	Q766
Jordan	2019	4.7	Q810
Kazakhstan	2019	9	Q232
Kenya	2018	9.7	Q114
Korea, Rep.	2005	7.2	Q884
Kosovo	2019	2.8	Q1246
Kyrgyz Republic	2019	1.8	Q813
Lao PDR	2018	7.2	Q819
Latvia	2019	2.1	Q211
Lebanon	2019	12.3	Q822
Lesotho	2016	4	Q1013
Liberia	2017	10	Q1014
Lithuania	2019	4	Q37
North Macedonia	2019	4.4	Q221
Madagascar	2013	8.6	Q1019
Malawi	2014	11.4	Q1020
Malaysia	2015	6.3	Q833
Mali	2016	16.5	Q912
Malta	2019	3.5	Q233
Mauritania	2014	26	Q1025
Mauritius	2009	10.3	Q1027
Mexico	2010	7	Q96
Micronesia, Fed. Sts.	2009	18.3	Q702
Moldova	2019	2.3	Q217
Mongolia	2019	4.6	Q711
Montenegro	2019	1.3	Q236
Morocco	2019	6.7	Q1028
Mozambique	2018	39.3	Q1029
Myanmar	2016	10.2	Q836
Namibia	2014	8.2	Q1030
Nepal	2013	8.5	Q837
Nicaragua	2016	5.2	Q811
Niger	2017	2.6	Q1032
Nigeria	2014	6	Q1033
Pakistan	2013	11.4	Q843
Panama	2010	7.6	Q804
Paraguay	2017	8.6	Q733
Peru	2017	8.4	Q419
Philippines	2015	14.5	Q928
Poland	2019	3.1	Q36
Portugal	2019	13.7	Q45
Romania	2013	1.1	Q218
Russian Federation	2019	15.6	Q159
Rwanda	2019	8	Q1037
Samoa	2009	10.4	Q683
Senegal	2014	7.1	Q1041
Serbia	2019	1.6	Q403
Slovak Republic	2019	2.5	Q214
Slovenia	2019	4.7	Q215
Solomon Islands	2015	6.3	Q685
South Africa	2007	4.5	Q258
Spain	2005	4.9	Q29
Sri Lanka	2011	7.6	Q854
St. Kitts and Nevis	2010	6.7	Q763
St. Lucia	2010	4.9	Q760
St. Vincent and the Grenadines	2010	4.2	Q757
Suriname	2018	17.7	Q730
Eswatini	2016	4.1	Q1050
Sweden	2014	2.4	Q34
Syrian Arab Republic	2009	5.1	Q858
Tajikistan	2019	2.1	Q863
Tanzania	2013	12.4	Q924
Thailand	2016	1.9	Q869
Timor-Leste	2015	6.3	Q574
Togo	2016	8.2	Q945
Tonga	2009	2.3	Q678
Trinidad and Tobago	2010	7.3	Q754
Tunisia	2013	3	Q948
Turkey	2019	2.6	Q43
Uganda	2013	10	Q1036
Ukraine	2019	3.9	Q212
Uruguay	2017	2.1	Q77
Uzbekistan	2019	3.7	Q265
Venezuela, RB	2010	18.4	Q717
Vietnam	2015	6.9	Q881
West Bank and Gaza	2019	5.3	Q407199
Yemen, Rep.	2013	11.2	Q805
Zambia	2019	10.8	Q953
Zimbabwe	2016	5.9	Q954
