Country	% (2000)	% (2018)	ID
Afghanistan	78	75	Q889
Albania	58	40	Q222
Algeria	40	27	Q262
American Samoa	11	13	Q16641
Andorra	8	12	Q228
Angola	50	34	Q916
Antigua and Barbuda	68	75	Q781
Argentina	11	8	Q414
Armenia	35	37	Q399
Aruba	53	57	Q21203
Australia	16	14	Q408
Austria	40	42	Q40
Azerbaijan	49	44	Q227
Bahamas, The	18	17	Q778
Bahrain	12	11	Q398
Bangladesh	76	63	Q902
Barbados	66	69	Q244
Belarus	30	21	Q184
Belgium	3	2	Q31
Belize	55	54	Q242
Benin	62	53	Q962
Bermuda	0	0	Q23635
Bhutan	75	59	Q917
Bolivia	38	31	Q750
Bosnia and Herzegovina	58	52	Q225
Botswana	47	31	Q963
Brazil	19	13	Q155
Brunei Darussalam	29	22	Q921
Bulgaria	31	25	Q219
Burkina Faso	82	71	Q965
Burundi	92	87	Q967
Cabo Verde	47	34	Q1011
Cambodia	81	77	Q424
Cameroon	54	44	Q1009
Canada	21	19	Q16
Cayman Islands	0	0	Q5785
Central African Republic	62	59	Q929
Chad	78	77	Q657
Channel Islands	70	69	Q42314
Chile	14	12	Q298
China	64	41	Q148
Hong Kong SAR, China	0	0	Q8646
Macao SAR, China	0	0	Q14773
Colombia	26	19	Q739
Comoros	72	71	Q970
Congo, Dem. Rep.	65	56	Q974
Congo, Rep.	41	33	Q971
Costa Rica	41	21	Q800
Cote d'Ivoire	57	49	Q1008
Croatia	47	43	Q224
Cuba	25	23	Q241
Curacao	9	11	Q25279
Cyprus	31	33	Q229
Czech Republic	26	26	Q213
Denmark	15	12	Q35
Djibouti	23	22	Q977
Dominica	35	30	Q784
Dominican Republic	38	19	Q786
Ecuador	40	36	Q736
Egypt, Arab Rep.	57	57	Q79
El Salvador	41	28	Q792
Equatorial Guinea	51	28	Q983
Estonia	31	31	Q191
Eswatini	77	76	Q1050
Ethiopia	85	79	Q115
Faroe Islands	64	58	Q4628
Fiji	52	44	Q712
Finland	18	15	Q33
France	24	20	Q142
French Polynesia	44	38	Q30971
Gabon	21	11	Q1000
Gambia, The	52	39	Q1005
Georgia	47	41	Q230
Germany	25	23	Q183
Ghana	56	44	Q117
Greece	27	21	Q41
Greenland	18	13	Q223
Grenada	64	64	Q769
Guam	7	5	Q16635
Guatemala	55	49	Q774
Guinea	69	64	Q1006
Guinea-Bissau	64	57	Q1007
Guyana	71	73	Q734
Haiti	64	45	Q790
Honduras	55	43	Q783
Hungary	35	29	Q28
Iceland	8	6	Q189
India	72	66	Q668
Indonesia	58	45	Q252
Iran, Islamic Rep.	36	25	Q794
Iraq	32	30	Q796
Ireland	41	37	Q27
Isle of Man	48	47	Q9676
Israel	9	8	Q801
Italy	33	30	Q38
Jamaica	48	44	Q766
Japan	21	8	Q17
Jordan	22	9	Q810
Kazakhstan	44	43	Q232
Kenya	80	73	Q114
Kiribati	57	46	Q710
Korea, Dem. Peopleâ€™s Rep.	41	38	Q423
Korea, Rep.	20	19	Q884
Kuwait	1	0	Q817
Kyrgyz Republic	65	64	Q813
Lao PDR	78	65	Q819
Latvia	32	32	Q211
Lebanon	14	11	Q822
Lesotho	80	72	Q1013
Liberia	56	49	Q1014
Libya	24	20	Q1016
Liechtenstein	85	86	Q347
Lithuania	33	32	Q37
Luxembourg	16	9	Q32
North Macedonia	41	42	Q221
Madagascar	73	63	Q1019
Malawi	85	83	Q1020
Malaysia	38	24	Q833
Maldives	72	60	Q826
Mali	72	58	Q912
Malta	8	5	Q233
Marshall Islands	31	23	Q709
Mauritania	62	46	Q1025
Mauritius	57	59	Q1027
Mexico	25	20	Q96
Micronesia, Fed. Sts.	78	77	Q702
Moldova	55	57	Q217
Monaco	0	0	Q235
Mongolia	43	32	Q711
Montenegro	41	33	Q236
Morocco	47	38	Q1028
Mozambique	71	64	Q1029
Myanmar	73	69	Q836
Namibia	68	50	Q1030
Nepal	87	80	Q837
Netherlands	23	9	Q55
New Caledonia	38	29	Q33788
New Zealand	14	13	Q664
Nicaragua	45	41	Q811
Niger	84	84	Q1032
Nigeria	65	50	Q1033
Northern Mariana Islands	10	8	Q16644
Norway	24	18	Q20
Oman	28	15	Q842
Pakistan	67	63	Q843
Palau	30	20	Q695
Panama	38	32	Q804
Papua New Guinea	87	87	Q691
Paraguay	45	38	Q733
Peru	27	22	Q419
Philippines	54	53	Q928
Poland	38	40	Q36
Portugal	46	35	Q45
Puerto Rico	6	6	Q1183
Qatar	4	1	Q846
Romania	47	46	Q218
Russian Federation	27	26	Q159
Rwanda	85	83	Q1037
Samoa	78	82	Q683
San Marino	7	3	Q238
Sao Tome and Principe	47	27	Q1039
Saudi Arabia	20	16	Q851
Senegal	60	53	Q1041
Serbia	47	44	Q403
Seychelles	50	43	Q1042
Sierra Leone	64	58	Q1044
Singapore	0	0	Q334
Sint Maarten (Dutch part)	0	0	Q26273
Slovak Republic	44	46	Q214
Slovenia	49	45	Q215
Solomon Islands	84	76	Q685
Somalia	67	55	Q1045
South Africa	43	34	Q258
South Sudan	83	80	Q958
Spain	24	20	Q29
Sri Lanka	82	82	Q854
St. Kitts and Nevis	67	69	Q763
St. Lucia	72	81	Q760
St. Vincent and the Grenadines	55	48	Q757
Sudan	68	65	Q1049
Suriname	34	34	Q730
Sweden	16	13	Q34
Switzerland	27	26	Q39
Syrian Arab Republic	48	46	Q858
Tajikistan	73	73	Q863
Tanzania	78	66	Q924
Thailand	69	50	Q869
Timor-Leste	76	69	Q574
Togo	67	58	Q945
Tonga	77	77	Q678
Trinidad and Tobago	44	47	Q754
Tunisia	37	31	Q948
Turkey	35	25	Q43
Turkmenistan	54	48	Q874
Turks and Caicos Islands	15	7	Q18221
Tuvalu	54	38	Q672
Uganda	85	76	Q1036
Ukraine	33	31	Q212
United Arab Emirates	20	13	Q878
United Kingdom	21	17	Q145
United States	21	18	Q30
Uruguay	8	5	Q77
Uzbekistan	54	50	Q265
Vanuatu	78	75	Q686
Venezuela, RB	12	12	Q717
Vietnam	76	64	Q881
Virgin Islands (U.S.)	7	4	Q11703
West Bank and Gaza	28	24	Q407199
Yemen, Rep.	74	63	Q805
Zambia	65	56	Q953
Zimbabwe	66	68	Q954
