Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	62	35	Q889
Albania	2009	29	13	Q222
Algeria	2013	31	18	Q262
Angola	2016	62	25	Q916
Armenia	2016	13	5	Q399
Bangladesh	2014	52	29	Q902
Belize	2016	14	4	Q242
Benin	2018	63	39	Q962
Bolivia	2008	89	26	Q750
Burkina Faso	2010	89	54	Q965
Burundi	2017	67	36	Q967
Cambodia	2014	62	16	Q424
Cameroon	2014	93	46	Q1009
Central African Republic	2010	127	85	Q929
Chad	2015	85	81	Q657
Colombia	2015	22	5	Q739
Comoros	2012	37	34	Q970
Congo, Dem. Rep.	2014	65	50	Q974
Congo, Rep.	2016	52	32	Q971
Cote d'Ivoire	2016	83	39	Q1008
Dominican Republic	2014	33	21	Q786
Egypt, Arab Rep.	2014	36	18	Q79
El Salvador	2014	25	15	Q792
Eswatini	2014	71	40	Q1050
Ethiopia	2016	62	54	Q115
Gabon	2012	43	40	Q1000
Gambia, The	2018	49	27	Q1005
Ghana	2014	55	51	Q117
Guatemala	2015	41	17	Q774
Guinea	2018	77	34	Q1006
Guinea-Bissau	2014	42	54	Q1007
Guyana	2009	25	44	Q734
Haiti	2017	63	48	Q790
Honduras	2012	30	18	Q783
India	2016	58	21	Q668
Indonesia	2017	40	20	Q252
Iraq	2018	27	15	Q796
Jordan	2018	18	15	Q810
Kazakhstan	2011	34	24	Q232
Kenya	2014	40	38	Q114
Kyrgyz Republic	2018	13	7	Q813
Lao PDR	2017	56	19	Q819
Lesotho	2018	65	64	Q1013
Liberia	2013	79	62	Q1014
Madagascar	2009	61	37	Q1019
Malawi	2016	47	43	Q1020
Maldives	2017	11	21	Q826
Mali	2018	77	37	Q912
Mauritania	2015	49	30	Q1025
Mongolia	2018	20	13	Q711
Mozambique	2011	83	64	Q1029
Myanmar	2016	78	22	Q836
Namibia	2013	51	22	Q1030
Nepal	2016	50	20	Q837
Niger	2012	64	52	Q1032
Nigeria	2018	78	40	Q1033
Pakistan	2018	76	53	Q843
Papua New Guinea	2018	47	27	Q691
Paraguay	2016	26	1	Q733
Peru	2012	27	14	Q419
Philippines	2017	31	9	Q928
Rwanda	2015	50	25	Q1037
Sao Tome and Principe	2009	53	26	Q1039
Senegal	2017	46	27	Q1041
Sierra Leone	2017	52	60	Q1044
South Africa	2016	54	40	Q258
Sudan	2014	65	34	Q1049
Suriname	2018	15	4	Q730
Tajikistan	2017	40	18	Q863
Tanzania	2016	45	59	Q924
Timor-Leste	2016	36	20	Q574
Togo	2014	61	32	Q945
Turkey	2013	23	8	Q43
Turkmenistan	2016	33	14	Q874
Uganda	2016	56	39	Q1036
West Bank and Gaza	2014	18	12	Q407199
Yemen, Rep.	2013	53	33	Q805
Zambia	2014	55	39	Q953
Zimbabwe	2015	68	43	Q954
