Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Albania	6.4	0.5	Q222
Algeria	1.8	1.8	Q262
Angola	12.8	6.4	Q916
Antigua and Barbuda	3.4	1.6	Q781
Argentina	9.2	47.3	Q414
Armenia	9	8.5	Q399
Aruba	1.9	2.2	Q21203
Australia	4.2	1.6	Q408
Azerbaijan	11.6	9.7	Q227
Bahamas, The	3.4	0.6	Q778
Bangladesh	7.2	6.8	Q902
Barbados	2.7	0.2	Q244
Belarus	9.1	6.5	Q184
Belize	7.8	2	Q242
Benin	8.4	6.5	Q962
Bhutan	2.2	2.3	Q917
Bolivia	1	3.2	Q750
Bosnia and Herzegovina	3.2	0.9	Q225
Botswana	5.6	1.6	Q963
Brazil	8.9	5.4	Q155
Brunei Darussalam	0.5	0.4	Q921
Bulgaria	4.1	0	Q219
Burkina Faso	8.4	6.5	Q965
Cabo Verde	3.1	1.5	Q1011
Cambodia	1.3	1.4	Q424
Cameroon	3.3	2.5	Q1009
Canada	0.2	0.1	Q16
Central African Republic	3.3	2.5	Q929
Chad	3.3	2.5	Q657
Chile	1.8	2.5	Q298
China	2.8	1.5	Q148
Hong Kong SAR, China	0	0	Q8646
Macao SAR, China	0	0.2	Q14773
Colombia	3.7	4.5	Q739
Comoros	1.8	1.8	Q970
Congo, Dem. Rep.	16.8	5.5	Q974
Congo, Rep.	3.3	2.5	Q971
Costa Rica	5.3	4.6	Q800
Cote d'Ivoire	8.4	6.5	Q1008
Czech Republic	1.1	0.4	Q213
Dominica	3.3	1.8	Q784
Dominican Republic	4.9	7.6	Q786
Ecuador	3.9	4.4	Q736
Egypt, Arab Rep.	6.2	11	Q79
Equatorial Guinea	3.3	2.5	Q983
Eswatini	3.9	3.7	Q1050
Fiji	5.4	3.3	Q712
France	1.5	0.8	Q142
Gabon	3.3	2.5	Q1000
Gambia, The	14.6	9	Q1005
Georgia	10.1	8.7	Q230
Ghana	12.9	13.2	Q117
Grenada	3.1	1.3	Q769
Guatemala	5.5	5	Q774
Guinea	17.5	3.1	Q1006
Guinea-Bissau	8.4	6.5	Q1007
Guyana	2.3	0.9	Q734
Haiti	0.7	7.8	Q790
Honduras	9.8	8.4	Q783
Hungary	4.9	0.1	Q28
Indonesia	7	6.7	Q252
Iran, Islamic Rep.	11.9	12.8	Q794
Iraq	6.1	4.8	Q796
Israel	1.6	0.7	Q801
Jamaica	6.4	3.2	Q766
Japan	0.5	0.3	Q17
Jordan	3.5	4.9	Q810
Kenya	4.6	8.3	Q114
Korea, Rep.	3.9	1.9	Q884
Kosovo	3.7	1.3	Q1246
Kuwait	2.3	1.9	Q817
Kyrgyz Republic	2	1.5	Q813
Lebanon	6.2	9.7	Q822
Lesotho	3.7	1.6	Q1013
Liberia	3.5	5	Q1014
Madagascar	10.3	13	Q1019
Malaysia	2.5	3	Q833
Maldives	4	3.5	Q826
Mali	8.4	6.5	Q912
Mauritania	8	5.7	Q1025
Mauritius	8.4	3.7	Q1027
Mexico	1.2	3.5	Q96
Micronesia, Fed. Sts.	0.9	0.4	Q702
Moldova	7.7	4.6	Q217
Mongolia	11.9	11	Q711
Morocco	3.7	3	Q1028
Mozambique	9.7	9.1	Q1029
Myanmar	12	8	Q836
Namibia	5	5.7	Q1030
New Zealand	4.6	3	Q664
Nicaragua	3	3.1	Q811
Niger	8.4	6.5	Q1032
Nigeria	6.5	8.9	Q1033
North Macedonia	7.5	1.9	Q221
Oman	3.8	3.4	Q842
Pakistan	8.1	9.1	Q843
Panama	3	2.2	Q804
Papua New Guinea	1.4	0.9	Q691
Paraguay	1.2	3.9	Q733
Peru	2.1	4.8	Q419
Philippines	3.2	4.1	Q928
Qatar	2.9	3.6	Q846
Romania	7.3	1.8	Q218
Russian Federation	6	5.4	Q159
Rwanda	6.8	7.6	Q1037
Samoa	2.7	2.7	Q683
San Marino	0.7	1.4	Q238
Sao Tome and Principe	11.1	3.8	Q1039
Senegal	8.4	6.5	Q1041
Seychelles	2.9	3.6	Q1042
Sierra Leone	9.5	4.1	Q1044
Singapore	0.2	0.2	Q334
Solomon Islands	3.3	0.3	Q685
South Africa	6.5	7	Q258
South Sudan	2	0.1	Q958
Sri Lanka	6.9	8.7	Q854
St. Kitts and Nevis	4.6	2	Q763
St. Lucia	3.3	1.5	Q760
St. Vincent and the Grenadines	2.9	1.8	Q757
Suriname	6.2	9	Q730
Switzerland	0.1	-0.4	Q39
Tajikistan	8.6	3.8	Q863
Tanzania	6.6	7.3	Q924
Thailand	1.2	1.4	Q869
Timor-Leste	0.8	0.6	Q574
Togo	8.4	6.5	Q945
Tonga	4	2.6	Q678
Trinidad and Tobago	1.5	1.5	Q754
Turkey	15.3	25.6	Q43
Uganda	7.7	9.4	Q1036
Ukraine	10.6	12.9	Q212
Uruguay	4.2	5.1	Q77
Uzbekistan	15.4	16.2	Q265
Vanuatu	1.6	0.3	Q686
Venezuela, RB	14.8	14.7	Q717
Vietnam	11.2	5	Q881
West Bank and Gaza	0.3	1.4	Q407199
Zambia	7.4	8.3	Q953
