Country	Expenditure % (2010)	Expenditure % (2018)	ID
Afghanistan	0	0	Q889
Albania	14	10	Q222
Angola	6	16	Q916
Armenia	4	10	Q399
Australia	2	4	Q408
Austria	6	4	Q40
Azerbaijan	0	4	Q227
Bahamas, The	13	14	Q778
Bangladesh	20	20	Q902
Barbados	16	23	Q244
Belarus	2	6	Q184
Belgium	7	5	Q31
Belize	15	10	Q242
Bhutan	11	6	Q917
Bosnia and Herzegovina	1	2	Q225
Botswana	2	2	Q963
Brazil	23	24	Q155
Bulgaria	2	2	Q219
Burkina Faso	4	6	Q965
Cabo Verde	6	9	Q1011
Cambodia	2	2	Q424
Cameroon	3	7	Q1009
Canada	9	6	Q16
Central African Republic	5	2	Q929
Chile	2	4	Q298
Colombia	11	10	Q739
Congo, Rep.	8	12	Q971
Costa Rica	8	12	Q800
Cote d'Ivoire	11	9	Q1008
Croatia	6	6	Q224
Cyprus	5	6	Q229
Czech Republic	4	2	Q213
Denmark	4	3	Q35
Dominican Republic	13	16	Q786
Egypt, Arab Rep.	18	24	Q79
El Salvador	11	11	Q792
Equatorial Guinea	4	6	Q983
Estonia	0	0	Q191
Ethiopia	3	5	Q115
Fiji	16	10	Q712
Finland	3	2	Q33
France	5	4	Q142
Gabon	6	18	Q1000
Georgia	4	5	Q230
Germany	5	2	Q183
Ghana	16	29	Q117
Greece	12	7	Q41
Guatemala	11	12	Q774
Honduras	4	8	Q783
Hungary	9	6	Q28
Iceland	13	8	Q189
India	18	21	Q668
Indonesia	9	12	Q252
Ireland	5	7	Q27
Israel	11	6	Q801
Italy	10	8	Q38
Jamaica	39	24	Q766
Japan	10	9	Q17
Jordan	8	12	Q810
Kazakhstan	2	6	Q232
Kiribati	3	0	Q710
Korea, Rep.	6	4	Q884
Latvia	4	3	Q211
Lebanon	39	34	Q822
Lesotho	1	3	Q1013
Lithuania	5	3	Q37
Luxembourg	1	1	Q32
Madagascar	9	8	Q1019
Malawi	11	18	Q1020
Malaysia	10	13	Q833
Mali	3	7	Q912
Malta	8	4	Q233
Marshall Islands	1	0	Q709
Mauritius	11	7	Q1027
Mexico	11	13	Q96
Micronesia, Fed. Sts.	1	1	Q702
Moldova	2	3	Q217
Mongolia	2	14	Q711
Morocco	8	10	Q1028
Mozambique	4	15	Q1029
Myanmar	13	10	Q836
Namibia	4	10	Q1030
Nepal	5	2	Q837
Netherlands	4	2	Q55
New Zealand	4	4	Q664
Nicaragua	7	7	Q811
North Macedonia	2	4	Q221
Norway	2	1	Q20
Palau	1	0	Q695
Paraguay	2	4	Q733
Peru	7	6	Q419
Philippines	23	13	Q928
Poland	6	4	Q36
Portugal	7	9	Q45
Romania	4	4	Q218
Russian Federation	2	3	Q159
Samoa	3	3	Q683
San Marino	1	1	Q238
Saudi Arabia	2	2	Q851
Seychelles	19	9	Q1042
Singapore	0	0	Q334
Slovak Republic	3	3	Q214
Slovenia	4	5	Q215
Solomon Islands	1	0	Q685
South Africa	8	11	Q258
Spain	8	11	Q29
Sri Lanka	33	36	Q854
St. Kitts and Nevis	25	6	Q763
St. Lucia	13	16	Q760
St. Vincent and the Grenadines	11	9	Q757
Sudan	7	5	Q1049
Sweden	3	1	Q34
Switzerland	3	1	Q39
Tanzania	5	11	Q924
Thailand	7	5	Q869
Timor-Leste	0	0	Q574
Togo	6	13	Q945
Tonga	3	3	Q678
Trinidad and Tobago	8	7	Q754
Turkey	11	8	Q43
Ukraine	4	10	Q212
United Kingdom	7	7	Q145
United States	10	12	Q30
Uruguay	8	8	Q77
Uzbekistan	0	0	Q265
Vanuatu	2	4	Q686
West Bank and Gaza	1	2	Q407199
Zambia	11	34	Q953
Zimbabwe	2	10	Q954
