Country	GDP/water use	urban	Rural	ID
Albania	7	91.8	89.9	Q222
Algeria	22	95.4	88.7	Q262
Argentina	12	99.6	93	Q414
Armenia	4	99.9	100	Q399
Australia	78	100	100	Q408
Austria	112	100	100	Q40
Azerbaijan	4	99.3	81.6	Q227
Bangladesh	3	97.5	96.8	Q902
Belarus	41	96	98.3	Q184
Belgium	78	100	100	Q31
Bhutan	4	98	96.7	Q917
Bolivia	9	99.4	78.1	Q750
Bosnia and Herzegovina	54	94.8	97.3	Q225
Brazil	30	99.5	89.7	Q155
Bulgaria	10	99.5	98	Q219
Cambodia	4	97.3	72.9	Q424
Canada	40	99.6	98.9	Q16
Chile	5	99.8	100	Q298
China	15	97.7	86.2	Q148
Colombia	23	99.9	86.4	Q739
Costa Rica	18	99.7	99.5	Q800
Croatia	91	99.6	99.6	Q224
Cuba	10	96.8	90.3	Q241
Cyprus	105	99.5	99.7	Q229
Czech Republic	126	99.9	99.8	Q213
Denmark	513	100	100	Q35
Dominican Republic	8	98.3	90.3	Q786
Egypt, Arab Rep.	3	99.5	98.8	Q79
Estonia	13	100	99.2	Q191
Ethiopia	5	80.3	31.1	Q115
Finland	38	100	100	Q33
France	91	100	100	Q142
Georgia	7	100	96.2	Q230
Germany	103	100	100	Q183
Greece	35	100	100	Q41
Guatemala	11	97.9	90.4	Q774
Guyana	2	100	93.9	Q734
Haiti	5	84.6	42.6	Q790
Hungary	26	100	100	Q28
Iceland	57	100	100	Q189
India	3	96	91	Q668
Ireland	288	97	98.1	Q27
Italy	41	99.5	99.4	Q38
Jamaica	17	95.5	84.6	Q766
Jordan	28	99.1	97.7	Q810
Kazakhstan	7	98.1	92.3	Q232
Kenya	12	84.6	49.6	Q114
Kyrgyz Republic	1	97.1	82	Q813
Latvia	114	98.8	98.2	Q211
Lithuania	63	99.8	92.8	Q37
Luxembourg	1308	100	98.8	Q32
North Macedonia	16	90.6	96.6	Q221
Madagascar	1	85.8	36.3	Q1019
Maldives	553	98.3	99.9	Q826
Mali	2	92.2	68.3	Q912
Malta	427	100	100	Q233
Mexico	14	100	96.6	Q96
Moldova	6	97	83.2	Q217
Mongolia	12	96	55.9	Q711
Montenegro	26	95.9	99.3	Q236
Morocco	9	96.7	70.7	Q1028
Mozambique	11	84.3	40	Q1029
Nepal	1	89.1	88.7	Q837
Netherlands	79	100	100	Q55
New Zealand	28	100	100	Q664
Nicaragua	6	97.6	59.1	Q811
Nigeria	29	87.5	55.6	Q1033
Norway	142	100	100	Q20
Pakistan	1	94.2	89.9	Q843
Panama	28	98.1	92.9	Q804
Paraguay	12	99.9	99.2	Q733
Peru	10	95.6	75.6	Q419
Philippines	2	97.7	90	Q928
Poland	45	99.8	99.5	Q36
Portugal	26	100	99.7	Q45
Romania	28	100	100	Q218
Russian Federation	28	98.6	92.6	Q159
Serbia	11	83.3	88.4	Q403
Slovak Republic	175	99.6	100	Q214
Slovenia	40	99.7	99.4	Q215
South Africa	26	98.9	80.7	Q258
South Sudan	21	64.8	34.9	Q958
Spain	37	99.9	100	Q29
St. Lucia	33	97.8	98.2	Q760
Sudan	2	73.8	53.2	Q1049
Suriname	6	98.2	90	Q730
Sweden	184	100	100	Q34
Switzerland	299	100	100	Q39
Tajikistan	0	96.2	75.6	Q863
Thailand	5	99.9	100	Q869
Tunisia	13	99.7	88.7	Q948
Turkey	18	98.6	99.6	Q43
Uganda	37	75.1	41.3	Q1036
Ukraine	9	91.3	99.4	Q212
United Kingdom	318	100	100	Q145
United States	36	99.8	97	Q30
Zimbabwe	3	94	49.8	Q954
