Country	Total (1990)	Total (2014)	ID
Albania	2.5	2	Q222
Algeria	100.1	143.2	Q262
Angola	28.7	94.1	Q916
Argentina	48.4	75.3	Q414
Armenia	0.1	0.8	Q399
Australia	157.5	365.7	Q408
Austria	8.1	12.1	Q40
Azerbaijan	20.8	58.8	Q227
Bahrain	14.3	22.9	Q398
Bangladesh	10.8	29.5	Q902
Belarus	3.3	3.7	Q184
Belgium	13.1	12.5	Q31
Benin	1.8	2.3	Q962
Bolivia	4.9	23.2	Q750
Bosnia and Herzegovina	4.6	6	Q225
Botswana	0.9	1.5	Q963
Brazil	104.1	267.2	Q155
Brunei Darussalam	15.6	16.3	Q921
Bulgaria	9.6	11.4	Q219
Cameroon	11	9.8	Q1009
Canada	276.4	470	Q16
Chile	7.9	12.9	Q298
China	880.8	2593.1	Q148
Hong Kong SAR, China	0	0.2	Q8646
Colombia	48.2	127.2	Q739
Congo, Dem. Rep.	12	28.2	Q974
Congo, Rep.	8.7	15.7	Q971
Costa Rica	0.7	2.5	Q800
Cote d'Ivoire	3.4	12.9	Q1008
Croatia	5.7	4.4	Q224
Cuba	7.6	5.9	Q241
Curacao	0	0	Q25279
Cyprus	0	0.1	Q229
Czech Republic	40.9	29.3	Q213
Denmark	10.1	16.1	Q35
Dominican Republic	0.9	1	Q786
Ecuador	16.4	30.4	Q736
Egypt, Arab Rep.	54.9	80.4	Q79
El Salvador	1.7	2.1	Q792
Eritrea	0.7	0.6	Q986
Estonia	5.4	5.8	Q191
Ethiopia	22.1	45.5	Q115
Finland	12.1	18.3	Q33
France	111.9	137.1	Q142
Gabon	14.6	15.9	Q1000
Georgia	2	1.4	Q230
Germany	186.2	119.7	Q183
Ghana	4.4	9.8	Q117
Greece	9.2	8.8	Q41
Guatemala	3.4	8.9	Q774
Haiti	1.3	3.2	Q790
Honduras	1.7	2.5	Q783
Hungary	14.7	10.1	Q28
Iceland	1.6	5.2	Q189
India	280.5	541.8	Q668
Indonesia	168.6	458	Q252
Iran, Islamic Rep.	187.8	316.2	Q794
Iraq	110.3	163	Q796
Ireland	3.5	2	Q27
Israel	0.4	7.5	Q801
Italy	25.3	36.7	Q38
Jamaica	0.5	0.5	Q766
Japan	74.6	26.6	Q17
Jordan	0.2	0.3	Q810
Kazakhstan	91	166.3	Q232
Kenya	8.8	19.6	Q114
Korea, Dem. Peopleâ€™s Rep.	28.9	20.8	Q423
Korea, Rep.	22.6	49.1	Q884
Kuwait	50.4	166.4	Q817
Kyrgyz Republic	2.5	1.9	Q813
Latvia	1.1	2.4	Q211
Lebanon	0.1	0.2	Q822
Libya	73.2	36.3	Q1016
Lithuania	4.9	1.7	Q37
Luxembourg	0	0.2	Q32
North Macedonia	1.3	1.3	Q221
Malaysia	48.4	94.6	Q833
Malta	0	0	Q233
Mauritius	0.3	0.2	Q1027
Mexico	195.5	208.3	Q96
Moldova	0.1	0.3	Q217
Mongolia	2.7	14.4	Q711
Morocco	1.4	1.8	Q1028
Mozambique	5.6	18	Q1029
Myanmar	10.7	25.7	Q836
Namibia	0.3	0.5	Q1030
Nepal	5.5	9.7	Q837
Netherlands	60.6	58.5	Q55
New Zealand	11.5	17.1	Q664
Nicaragua	1.4	2.2	Q811
Nigeria	146.3	260	Q1033
Norway	119.5	196.3	Q20
Oman	38.3	74.5	Q842
Pakistan	34.2	68.2	Q843
Panama	0.6	0.8	Q804
Paraguay	4.6	7.1	Q733
Peru	10.6	27.3	Q419
Philippines	17.2	25.9	Q928
Poland	103.9	67.3	Q36
Portugal	3.4	6	Q45
Qatar	27.7	219.9	Q846
Romania	40.8	26.4	Q218
Russian Federation	1293.1	1305.7	Q159
Saudi Arabia	368.4	622.4	Q851
Senegal	1	1.9	Q1041
Serbia	13.8	9.4	Q403
Singapore	0.1	0.6	Q334
Slovak Republic	5.3	6.6	Q214
Slovenia	3.1	3.7	Q215
South Africa	114.5	168.3	Q258
Spain	34.6	35.1	Q29
Sri Lanka	4.2	5.3	Q854
Sudan	8.8	16.3	Q1049
Sweden	29.7	34.5	Q34
Switzerland	10.3	13.3	Q39
Syrian Arab Republic	22.3	5.6	Q858
Tajikistan	2	1.8	Q863
Tanzania	9.1	22.2	Q924
Thailand	26.6	78.7	Q869
Togo	1.1	2.6	Q945
Trinidad and Tobago	12.6	39.7	Q754
Tunisia	5.7	6.7	Q948
Turkey	25.8	31.3	Q43
Turkmenistan	73	78	Q874
Ukraine	135.8	76.9	Q212
United Arab Emirates	110.2	200	Q878
United Kingdom	208	108.2	Q145
United States	1652.5	2012	Q30
Uruguay	1.1	2.6	Q77
Uzbekistan	38.6	55.8	Q265
Venezuela, RB	144.8	185.7	Q717
Vietnam	18.3	71.2	Q881
Yemen, Rep.	9.4	16.1	Q805
Zambia	4.9	9.1	Q953
Zimbabwe	8.5	11.5	Q954
