Country	Tax	ID
Afghanistan	71.4	Q889
Albania	36.6	Q222
Algeria	66.1	Q262
Angola	49.1	Q916
Antigua and Barbuda	43	Q781
Argentina	106.3	Q414
Armenia	22.6	Q399
Australia	47.4	Q408
Austria	51.4	Q40
Azerbaijan	40.7	Q227
Bahamas, The	33.8	Q778
Bahrain	13.8	Q398
Bangladesh	33.4	Q902
Barbados	35.6	Q244
Belarus	53.3	Q184
Belgium	55.4	Q31
Belize	31.1	Q242
Benin	48.9	Q962
Bhutan	35.3	Q917
Bolivia	83.7	Q750
Bosnia and Herzegovina	23.7	Q225
Botswana	25.1	Q963
Brazil	65.1	Q155
Brunei Darussalam	8	Q921
Bulgaria	28.3	Q219
Burkina Faso	41.3	Q965
Burundi	41.2	Q967
Cabo Verde	37.5	Q1011
Cambodia	23.1	Q424
Cameroon	57.7	Q1009
Canada	24.5	Q16
Central African Republic	73.3	Q929
Chad	63.5	Q657
Chile	34	Q298
China	59.2	Q148
Hong Kong SAR, China	21.9	Q8646
Colombia	71.2	Q739
Comoros	219.6	Q970
Congo, Dem. Rep.	50.7	Q974
Congo, Rep.	54.3	Q971
Costa Rica	58.3	Q800
Cote d'Ivoire	50.1	Q1008
Croatia	20.5	Q224
Cyprus	22.4	Q229
Czech Republic	46.1	Q213
Denmark	23.8	Q35
Djibouti	37.9	Q977
Dominica	32.6	Q784
Dominican Republic	48.8	Q786
Ecuador	34.4	Q736
Egypt, Arab Rep.	44.4	Q79
El Salvador	36.4	Q792
Equatorial Guinea	79.4	Q983
Eritrea	83.7	Q986
Estonia	47.8	Q191
Ethiopia	37.7	Q115
Fiji	32.1	Q712
Finland	36.6	Q33
France	60.7	Q142
Gabon	47.1	Q1000
Gambia, The	48.4	Q1005
Georgia	9.9	Q230
Germany	48.8	Q183
Ghana	55.4	Q117
Greece	51.9	Q41
Grenada	47.8	Q769
Guatemala	35.2	Q774
Guinea	69.3	Q1006
Guinea-Bissau	45.5	Q1007
Guyana	30.6	Q734
Haiti	42.7	Q790
Honduras	39.1	Q783
Hungary	37.9	Q28
Iceland	31.9	Q189
India	49.7	Q668
Indonesia	30.1	Q252
Iran, Islamic Rep.	44.7	Q794
Iraq	30.8	Q796
Ireland	26.1	Q27
Israel	25.3	Q801
Italy	59.1	Q38
Jamaica	35.1	Q766
Japan	46.7	Q17
Jordan	28.6	Q810
Kazakhstan	28.4	Q232
Kenya	37.2	Q114
Kiribati	32.7	Q710
Korea, Rep.	33.2	Q884
Kosovo	15.2	Q1246
Kuwait	13	Q817
Kyrgyz Republic	29	Q813
Lao PDR	24.1	Q819
Latvia	38.1	Q211
Lebanon	32.2	Q822
Lesotho	13.6	Q1013
Liberia	46.2	Q1014
Libya	32.6	Q1016
Liechtenstein	21.6	Q347
Lithuania	42.6	Q37
Luxembourg	20.4	Q32
North Macedonia	13	Q221
Madagascar	38.3	Q1019
Malawi	34.5	Q1020
Malaysia	38.7	Q833
Maldives	30.2	Q826
Mali	54.5	Q912
Malta	44	Q233
Marshall Islands	65.9	Q709
Mauritania	67	Q1025
Mauritius	22.2	Q1027
Mexico	55.1	Q96
Micronesia, Fed. Sts.	60.5	Q702
Moldova	38.7	Q217
Mongolia	25.7	Q711
Montenegro	22.2	Q236
Morocco	45.8	Q1028
Mozambique	36.1	Q1029
Myanmar	31.2	Q836
Namibia	20.7	Q1030
Nepal	41.8	Q837
Netherlands	41.2	Q55
New Zealand	34.6	Q664
Nicaragua	60.6	Q811
Niger	47.2	Q1032
Nigeria	34.8	Q1033
Norway	36.2	Q20
Oman	27.4	Q842
Pakistan	33.9	Q843
Palau	76.6	Q695
Panama	37.2	Q804
Papua New Guinea	37.1	Q691
Paraguay	35	Q733
Peru	36.8	Q419
Philippines	43.1	Q928
Poland	40.8	Q36
Portugal	39.8	Q45
Puerto Rico	64.4	Q1183
Qatar	11.3	Q846
Romania	20	Q218
Russian Federation	46.2	Q159
Rwanda	33.2	Q1037
Samoa	19.3	Q683
San Marino	36.2	Q238
Sao Tome and Principe	37	Q1039
Saudi Arabia	15.7	Q851
Senegal	44.8	Q1041
Serbia	36.6	Q403
Seychelles	30.1	Q1042
Sierra Leone	30.7	Q1044
Singapore	21	Q334
Slovak Republic	49.7	Q214
Slovenia	31	Q215
Solomon Islands	32	Q685
South Africa	29.2	Q258
South Sudan	31.4	Q958
Spain	47	Q29
Sri Lanka	55.2	Q854
St. Kitts and Nevis	49.7	Q763
St. Lucia	34.7	Q760
St. Vincent and the Grenadines	37	Q757
Sudan	45.4	Q1049
Suriname	27.9	Q730
Eswatini	35.8	Q1050
Sweden	49.1	Q34
Switzerland	28.8	Q39
Syrian Arab Republic	42.7	Q858
Tajikistan	67.3	Q863
Tanzania	43.8	Q924
Thailand	29.5	Q869
Timor-Leste	17.3	Q574
Togo	48.2	Q945
Tonga	27.5	Q678
Trinidad and Tobago	40.5	Q754
Tunisia	60.7	Q948
Turkey	42.3	Q43
Uganda	33.7	Q1036
Ukraine	45.2	Q212
United Arab Emirates	15.9	Q878
United Kingdom	30.6	Q145
United States	36.6	Q30
Uruguay	41.8	Q77
Uzbekistan	31.6	Q265
Vanuatu	8.5	Q686
Venezuela, RB	73.3	Q717
Vietnam	37.6	Q881
West Bank and Gaza	15.3	Q407199
Yemen, Rep.	26.6	Q805
Zambia	15.6	Q953
Zimbabwe	31.6	Q954
