Country	Goveernment % (2010)	Goveernment % (2018)	ID
Afghanistan	1.5	0.3	Q889
Albania	-3.9	-1.3	Q222
Angola	0.8	-6.8	Q916
Armenia	-5	-1.8	Q399
Australia	-4	-0.4	Q408
Austria	-3.1	0	Q40
Azerbaijan	15.4	9.5	Q227
Bahamas, The	-2.6	-3.3	Q778
Bangladesh	-0.8	-1.5	Q902
Barbados	-7.8	-4.9	Q244
Belarus	-1.4	4.1	Q184
Belgium	-3.2	-0.2	Q31
Belize	-0.8	-1.4	Q242
Bhutan	2	-2.5	Q917
Bosnia and Herzegovina	-2.2	2	Q225
Botswana	-7.5	-2.4	Q963
Brazil	-2.1	-6.8	Q155
Bulgaria	-3.1	1.6	Q219
Burkina Faso	-4	-4.2	Q965
Cambodia	-3.5	0	Q424
Cameroon	-1.6	-2.2	Q1009
Canada	-2.2	0.7	Q16
Central African Republic	-8.4	0.3	Q929
Chile	-0.4	-1.7	Q298
Colombia	-4.6	-1.9	Q739
Congo, Rep.	39.8	6.3	Q971
Cote d'Ivoire	-0.6	-3.4	Q1008
Croatia	-6.6	0.3	Q224
Cyprus	-4.7	-5.3	Q229
Czech Republic	-3.8	0.7	Q213
Denmark	-2.6	0.4	Q35
Dominican Republic	-2.8	-2.2	Q786
Egypt, Arab Rep.	-7.7	-10.7	Q79
El Salvador	-3.1	-0.6	Q792
Equatorial Guinea	-4.5	0.1	Q983
Estonia	0	-0.8	Q191
Ethiopia	-2.7	-4	Q115
Fiji	-2.6	-4.4	Q712
Finland	-2.3	0	Q33
France	-6.8	-2.6	Q142
Gabon	1.7	0.4	Q1000
Georgia	-4.2	-1.7	Q230
Germany	-3.3	1.1	Q183
Ghana	-7.2	-3.8	Q117
Greece	-10.9	0.6	Q41
Guatemala	-3.3	-1.9	Q774
Honduras	-3	-0.9	Q783
Hungary	-3.5	-2.3	Q28
Iceland	0	10	Q189
India	-3.5	-1.9	Q668
Indonesia	-0.7	-1.8	Q252
Ireland	-32	0.1	Q27
Israel	-3.7	-3.5	Q801
Italy	-3.8	-2.3	Q38
Jamaica	-6.3	1.2	Q766
Japan	-7.5	-3.2	Q17
Jordan	-5	-1.5	Q810
Kazakhstan	4.6	1.3	Q232
Kiribati	-7.1	16.9	Q710
Korea, Rep.	1.5	2.4	Q884
Kuwait	16	-20.9	Q817
Latvia	-11.8	-0.2	Q211
Lebanon	-7.5	-11.8	Q822
Lesotho	-3	-4.2	Q1013
Lithuania	-7	0.4	Q37
Luxembourg	-0.8	2.3	Q32
Madagascar	-0.6	-1.1	Q1019
Malawi	0	-5.9	Q1020
Malaysia	-5	-3.6	Q833
Mali	-2.2	-4.6	Q912
Malta	-2.4	1.8	Q233
Marshall Islands	3.5	2.5	Q709
Mauritius	-2.3	-1.9	Q1027
Mexico	-4	-2.2	Q96
Micronesia, Fed. Sts.	1	24.4	Q702
Moldova	-2.1	-0.9	Q217
Mongolia	2.6	3.5	Q711
Morocco	-4	-3.7	Q1028
Mozambique	-3.2	-2.2	Q1029
Myanmar	1.6	-5.9	Q836
Namibia	-4.7	-2	Q1030
Nepal	-1.4	-3.1	Q837
Netherlands	-4.1	1.6	Q55
New Zealand	-2.6	1.2	Q664
Nicaragua	-0.7	-1.9	Q811
North Macedonia	-2.5	-1.8	Q221
Norway	11.8	8.6	Q20
Palau	-1	6.3	Q695
Paraguay	1.4	-1	Q733
Peru	0.5	-2.2	Q419
Philippines	-3.3	-3.1	Q928
Poland	-6.1	0.1	Q36
Portugal	-10.5	-0.6	Q45
Romania	-6.8	-2.9	Q218
Russian Federation	-1.9	3	Q159
Samoa	-8.1	1.3	Q683
Saudi Arabia	4.4	-5.9	Q851
Seychelles	1.1	3.2	Q1042
Singapore	7.5	4.8	Q334
Slovak Republic	-6.7	-1.2	Q214
Slovenia	-5.3	0.9	Q215
Solomon Islands	7	1.7	Q685
South Africa	-4	-5.1	Q258
Spain	-4.9	-1.3	Q29
Sri Lanka	-6.3	-5.4	Q854
St. Kitts and Nevis	-3.6	1.9	Q763
St. Lucia	-0.5	-0.9	Q760
St. Vincent and the Grenadines	-2.9	-1.6	Q757
Sudan	-4.6	-1.9	Q1049
Sweden	-0.2	1.5	Q34
Switzerland	0.2	0.9	Q39
Tanzania	0	-0.3	Q924
Thailand	-0.6	-0.5	Q869
Timor-Leste	186.4	-2.8	Q574
Togo	-0.3	-0.8	Q945
Tonga	-1.2	2.2	Q678
Trinidad and Tobago	-1.5	-6.8	Q754
Turkey	-3	-2.1	Q43
Ukraine	-6.5	-1.7	Q212
United Arab Emirates	0.1	0.3	Q878
United Kingdom	-9.1	-2	Q145
United States	-10	-5.2	Q30
Uruguay	-0.9	-2.1	Q77
Uzbekistan	7.5	2.8	Q265
Vanuatu	-2.5	6.4	Q686
Zambia	-1.1	-8.6	Q953
Zimbabwe	2.7	-10.4	Q954
