Country	Survey Year	Workforce	ID
Afghanistan	2014	31.7	Q889
Albania	2019	46.2	Q222
Algeria	2007	17.3	Q262
Angola	2010	23.5	Q916
Antigua and Barbuda	2010	24.9	Q781
Argentina	2017	40.2	Q414
Armenia	2013	19.9	Q399
Azerbaijan	2013	19.8	Q227
Bahamas, The	2010	37.1	Q778
Bangladesh	2013	21.9	Q902
Barbados	2010	35.5	Q244
Belarus	2018	31.5	Q184
Belize	2010	14.4	Q242
Benin	2016	20	Q962
Bhutan	2015	26	Q917
Bolivia	2017	49.9	Q750
Bosnia and Herzegovina	2019	37.9	Q225
Botswana	2010	51.9	Q963
Brazil	2009	42.2	Q155
Bulgaria	2019	20	Q219
Burkina Faso	2009	24.8	Q965
Burundi	2014	32	Q967
Cambodia	2016	22.2	Q424
Cameroon	2016	37.6	Q1009
Cabo Verde	2009	16.6	Q1011
Central African Republic	2011	49.7	Q929
Chad	2018	22.9	Q657
Chile	2010	57.5	Q298
China	2012	79.2	Q148
Colombia	2017	63	Q739
Congo, Dem. Rep.	2013	17	Q974
Congo, Rep.	2009	37.5	Q971
Costa Rica	2010	54.7	Q800
Cote d'Ivoire	2016	35.5	Q1008
Croatia	2019	26.2	Q224
Cyprus	2019	39.7	Q229
Czech Republic	2019	43.6	Q213
Djibouti	2013	21.8	Q977
Dominica	2010	18.9	Q784
Dominican Republic	2016	23.4	Q786
Ecuador	2017	73.7	Q736
Egypt, Arab Rep.	2016	10	Q79
El Salvador	2016	53.8	Q792
Eritrea	2009	26.1	Q986
Estonia	2019	40.7	Q191
Ethiopia	2015	20.8	Q115
Fiji	2009	61	Q712
Gabon	2009	30.9	Q1000
Gambia, The	2018	25.2	Q1005
Georgia	2019	32	Q230
Germany	2005	35.4	Q183
Ghana	2013	40.1	Q117
Greece	2018	21.6	Q41
Grenada	2010	46.2	Q769
Guatemala	2017	55.7	Q774
Guinea	2016	16	Q1006
Guinea-Bissau	2006	12.4	Q1007
Guyana	2010	63	Q734
Honduras	2016	47.7	Q783
Hungary	2019	29.3	Q28
India	2014	35.9	Q668
Indonesia	2015	7.7	Q252
Iraq	2011	22.2	Q796
Ireland	2005	73.2	Q27
Israel	2013	18.6	Q801
Italy	2019	12.6	Q38
Jamaica	2010	25.9	Q766
Jordan	2019	16.9	Q810
Kazakhstan	2019	21.8	Q232
Kenya	2018	37.4	Q114
Korea, Rep.	2005	39.5	Q884
Kosovo	2019	20.4	Q1246
Kyrgyz Republic	2019	41.4	Q813
Lao PDR	2018	24.4	Q819
Latvia	2019	52.9	Q211
Lebanon	2019	20.8	Q822
Lesotho	2016	31.2	Q1013
Liberia	2017	22.8	Q1014
Lithuania	2019	27.5	Q37
North Macedonia	2019	39	Q221
Madagascar	2013	12.7	Q1019
Malawi	2014	32.9	Q1020
Malaysia	2015	18.5	Q833
Mali	2016	17.7	Q912
Malta	2019	49.9	Q233
Mauritania	2014	52.7	Q1025
Mauritius	2009	25.6	Q1027
Mexico	2010	50.8	Q96
Moldova	2019	38.1	Q217
Mongolia	2019	66.2	Q711
Montenegro	2019	15.8	Q236
Morocco	2019	35.7	Q1028
Mozambique	2018	20.7	Q1029
Myanmar	2016	5.9	Q836
Namibia	2014	25.4	Q1030
Nepal	2013	31.9	Q837
Nicaragua	2016	57.3	Q811
Niger	2017	27.5	Q1032
Nigeria	2014	30.7	Q1033
Pakistan	2013	32	Q843
Panama	2010	11	Q804
Papua New Guinea	2015	73.7	Q691
Paraguay	2017	46.4	Q733
Peru	2017	65.9	Q419
Philippines	2015	59.8	Q928
Poland	2019	21.7	Q36
Portugal	2019	29	Q45
Romania	2013	40.7	Q218
Russian Federation	2019	11.8	Q159
Rwanda	2019	35.9	Q1037
Samoa	2009	79.1	Q683
Senegal	2014	17.4	Q1041
Serbia	2019	38.3	Q403
Sierra Leone	2017	21.6	Q1044
Slovak Republic	2019	43.3	Q214
Slovenia	2019	44	Q215
Solomon Islands	2015	42	Q685
South Africa	2007	36.8	Q258
South Sudan	2014	17.1	Q958
Spain	2005	51.3	Q29
Sri Lanka	2011	18.4	Q854
St. Kitts and Nevis	2010	49.5	Q763
St. Lucia	2010	13.6	Q760
St. Vincent and the Grenadines	2010	45.7	Q757
Sudan	2014	9.5	Q1049
Suriname	2018	34.8	Q730
Eswatini	2016	36.1	Q1050
Sweden	2014	70.3	Q34
Syrian Arab Republic	2009	38.3	Q858
Tajikistan	2019	24.3	Q863
Tanzania	2013	30.7	Q924
Thailand	2016	18	Q869
Timor-Leste	2015	1.9	Q574
Togo	2016	33.7	Q945
Tonga	2009	11.1	Q678
Trinidad and Tobago	2010	28	Q754
Tunisia	2013	28.9	Q948
Turkey	2019	30.7	Q43
Uganda	2013	34.7	Q1036
Ukraine	2019	24.3	Q212
Uruguay	2017	53.3	Q77
Uzbekistan	2019	16.9	Q265
Vanuatu	2009	47.5	Q686
Venezuela, RB	2010	56	Q717
Vietnam	2015	22.2	Q881
West Bank and Gaza	2019	9.6	Q407199
Yemen, Rep.	2013	14.3	Q805
Zambia	2019	36.6	Q953
Zimbabwe	2016	26.4	Q954
