Country	Electricity (2000)	Electricity (2015)	ID
Afghanistan	75.0	86.1	Q889
Albania	96.1	100.0	Q222
Algeria	0.2	0.3	Q262
American Samoa	0.0	0.9	Q16641
Andorra	100.0	86.1	Q228
Angola	63.1	53.2	Q916
Antigua and Barbuda	0.0	0.0	Q781
Argentina	33.2	28.1	Q414
Armenia	21.2	28.3	Q399
Aruba	0.0	14.9	Q21203
Australia	8.4	13.6	Q408
Austria	72.5	76.5	Q40
Azerbaijan	8.2	7.0	Q227
Bahamas, The	0.0	0.0	Q778
Bahrain	0.0	0.0	Q398
Bangladesh	4.7	1.2	Q902
Barbados	0.0	0.0	Q244
Belarus	0.1	0.8	Q184
Belgium	1.3	20.8	Q31
Belize	70.1	45.2	Q242
Benin	2.4	5.6	Q962
Bermuda	0.0	0.0	Q23635
Bhutan	100.0	100.0	Q917
Bolivia	51.5	31.4	Q750
Bosnia and Herzegovina	48.8	35.5	Q225
Botswana	0.0	0.0	Q963
Brazil	89.5	74.0	Q155
Brunei Darussalam	0.0	0.0	Q921
Bulgaria	6.6	18.0	Q219
Burkina Faso	25.2	9.4	Q965
Burundi	98.0	82.7	Q967
Cabo Verde	5.4	20.2	Q1011
Cambodia	0.2	46.4	Q424
Cameroon	98.9	76.1	Q1009
Canada	60.6	63.0	Q16
Cayman Islands	0.0	0.0	Q5785
Central African Republic	78.5	99.4	Q929
Chad	0.0	0.0	Q657
Channel Islands	0.0	0.0	Q42314
Chile	48.5	43.6	Q298
China	16.6	23.9	Q148
Hong Kong SAR, China	0.0	0.3	Q8646
Macao SAR, China	0.0	0.0	Q14773
Colombia	75.5	68.2	Q739
Comoros	0.0	0.0	Q970
Congo, Dem. Rep.	99.9	99.8	Q974
Congo, Rep.	99.7	53.3	Q971
Costa Rica	99.1	99.0	Q800
Cote d'Ivoire	36.8	16.7	Q1008
Croatia	57.3	66.8	Q224
Cuba	6.9	3.9	Q241
Curacao	0.7	3.7	Q25279
Cyprus	0.0	8.8	Q229
Czech Republic	3.1	11.4	Q213
Denmark	15.5	65.5	Q35
Djibouti	0.0	0.0	Q977
Dominica	41.6	16.2	Q784
Dominican Republic	9.1	11.6	Q786
Ecuador	71.7	52.8	Q736
Egypt, Arab Rep.	17.7	8.3	Q79
El Salvador	58.1	57.8	Q792
Equatorial Guinea	13.9	57.8	Q983
Eritrea	0.5	0.5	Q986
Estonia	0.2	14.4	Q191
Eswatini	40.9	46.6	Q1050
Ethiopia	98.6	100.0	Q115
Faroe Islands	36.2	60.1	Q4628
Fiji	60.2	45.0	Q712
Finland	33.4	44.5	Q33
France	13.0	15.9	Q142
French Polynesia	33.3	32.0	Q30971
Gabon	61.6	43.7	Q1000
Gambia, The	0.0	0.0	Q1005
Georgia	78.9	78.0	Q230
Germany	6.2	29.2	Q183
Ghana	91.5	50.9	Q117
Greece	7.8	28.7	Q41
Greenland	57.4	81.3	Q223
Grenada	0.0	0.0	Q769
Guam	0.0	0.0	Q16635
Guatemala	51.7	60.4	Q774
Guinea	56.0	78.8	Q1006
Guinea-Bissau	0.0	0.0	Q1007
Guyana	0.0	0.0	Q734
Haiti	51.7	8.0	Q790
Honduras	61.9	42.3	Q783
Hungary	0.7	10.6	Q28
Iceland	99.9	100.0	Q189
India	13.6	15.3	Q668
Indonesia	16.0	10.7	Q252
