Country	Institution	ID
Afghanistan	-10.2	Q889
Albania	0,00	Q222
Algeria	0,00	Q262
Angola	7.7	Q916
Argentina	-3.9	Q414
Armenia	-4.5	Q399
Azerbaijan	-4.1	Q227
Bangladesh	168.7	Q902
Belarus	0,00	Q184
Belize	0,00	Q242
Benin	24.2	Q962
Bhutan	4.2	Q917
Bolivia	-21,00	Q750
Bosnia and Herzegovina	0,00	Q225
Botswana	-3,00	Q963
Brazil	-5.7	Q155
Bulgaria	0,00	Q219
Burkina Faso	25.1	Q965
Burundi	-0.5	Q967
Cabo Verde	-0.9	Q1011
Cambodia	50.9	Q424
Cameroon	48.9	Q1009
Central African Republic	0,00	Q929
Chad	3.5	Q657
China	0,00	Q148
Colombia	-5.3	Q739
Comoros	0.8	Q970
Congo, Dem. Rep.	-0.3	Q974
Congo, Rep.	2,00	Q971
Costa Rica	-0.9	Q800
Cote d'Ivoire	17.1	Q1008
Djibouti	-2.4	Q977
Dominica	0,00	Q784
Dominican Republic	-16.8	Q786
Ecuador	-24.1	Q736
Egypt, Arab Rep.	-7.3	Q79
El Salvador	-19.5	Q792
Eritrea	-2,00	Q986
Ethiopia	163.9	Q115
Fiji	0,00	Q712
Gabon	-0.1	Q1000
Gambia, The	1.1	Q1005
Georgia	3.1	Q230
Ghana	29.7	Q117
Grenada	0,00	Q769
Guatemala	-11.4	Q774
Guinea	13.2	Q1006
Guinea-Bissau	-0.5	Q1007
Guyana	-11.4	Q734
Haiti	0,00	Q790
Honduras	-20.9	Q783
India	0,00	Q668
Indonesia	-124,00	Q252
Iran, Islamic Rep.	0,00	Q794
Jamaica	0.3	Q766
Jordan	0,00	Q810
Kazakhstan	-0.6	Q232
Kenya	172.3	Q114
Kosovo	0,00	Q1246
Kyrgyz Republic	-4.4	Q813
Lao PDR	3.1	Q819
Lebanon	0,00	Q822
Lesotho	1.2	Q1013
Liberia	31.3	Q1014
North Macedonia	0,00	Q221
Madagascar	12.3	Q1019
Malawi	42.4	Q1020
Maldives	-5.4	Q826
Mali	23.6	Q912
Mauritania	5.5	Q1025
Mauritius	-0.1	Q1027
Mexico	2.7	Q96
Moldova	0,00	Q217
Mongolia	25.1	Q711
Montenegro	0,00	Q236
Morocco	-1.6	Q1028
Mozambique	38.1	Q1029
Myanmar	24,00	Q836
Nepal	136.3	Q837
Nicaragua	-21.3	Q811
Niger	23.4	Q1032
Nigeria	62.1	Q1033
Pakistan	-297.4	Q843
Papua New Guinea	9.6	Q691
Paraguay	-13.8	Q733
Peru	-1.1	Q419
Philippines	-82.6	Q928
Romania	-10.5	Q218
Russian Federation	0,00	Q159
Rwanda	115.4	Q1037
Samoa	-5.8	Q683
Sao Tome and Principe	5.2	Q1039
Senegal	28.6	Q1041
Serbia	0,00	Q403
Sierra Leone	3.2	Q1044
Solomon Islands	0.8	Q685
Somalia	0,00	Q1045
South Africa	0,00	Q258
Sri Lanka	-39.8	Q854
St. Lucia	0,00	Q760
St. Vincent and the Grenadines	0,00	Q757
Sudan	0.8	Q1049
Eswatini	-2.2	Q1050
Syrian Arab Republic	0,00	Q858
Tajikistan	-10.1	Q863
Tanzania	143,00	Q924
Thailand	0,00	Q869
Timor-Leste	13.2	Q574
Togo	1.7	Q945
Tonga	1.4	Q678
Tunisia	0,00	Q948
Turkey	0,00	Q43
Turkmenistan	0,00	Q874
Uganda	106.9	Q1036
Ukraine	0,00	Q212
Uzbekistan	44.8	Q265
Vanuatu	0.4	Q686
Venezuela, RB	0,00	Q717
Vietnam	180.9	Q881
Yemen, Rep.	0,00	Q805
Zambia	17.4	Q953
Zimbabwe	0,00	Q954
