Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Afghanistan	-6.5	-0.1	Q889
Albania	0.2	3	Q222
Algeria	-0.9	3.7	Q262
Angola	-24.4	0	Q916
Antigua and Barbuda	-4.2	-0.2	Q781
Argentina	13.1	18.3	Q414
Armenia	8.6	-3.1	Q399
Aruba	4.2	-0.8	Q21203
Australia	1.1	1.9	Q408
Azerbaijan	8.2	-5.4	Q227
Bahamas, The	7	2.3	Q778
Bangladesh	2.8	6.3	Q902
Barbados	1.6	0	Q244
Belarus	-4.7	-4.7	Q184
Belize	1	1.5	Q242
Benin	-4.1	-14.4	Q962
Bhutan	-2.5	-5.4	Q917
Bolivia	-6.2	2.7	Q750
Bosnia and Herzegovina	2.3	-0.9	Q225
Botswana	20.2	3.3	Q963
Brazil	3.1	7	Q155
Brunei Darussalam	-6.4	1.7	Q921
Bulgaria	3.6	1	Q219
Burkina Faso	2.9	2.5	Q965
Burundi	5	15.5	Q967
Cabo Verde	-1.3	-4.5	Q1011
Cambodia	0.4	-4.7	Q424
Cameroon	2.8	8.3	Q1009
Central African Republic	10.4	11.4	Q929
Chad	9.2	-3.3	Q657
Chile	-0.5	0.5	Q298
China	0.3	2.2	Q148
Hong Kong SAR, China	0.6	-1.6	Q8646
Macao SAR, China	-23.3	-1.1	Q14773
Colombia	-0.7	2.2	Q739
Comoros	-2.6	5.4	Q970
Congo, Dem. Rep.	-40.1	8	Q974
Congo, Rep.	-37.2	3	Q971
Costa Rica	0	-2.6	Q800
Cote d'Ivoire	4.5	4.9	Q1008
Croatia	7.7	-1.8	Q224
Czech Republic	1.9	-0.2	Q213
Denmark	0	4.2	Q35
Djibouti	0.2	1	Q977
Dominica	-1	8.9	Q784
Dominican Republic	0.1	5.5	Q786
Ecuador	4.3	0.3	Q736
Egypt, Arab Rep.	2.5	6.3	Q79
El Salvador	2	1.1	Q792
Equatorial Guinea	85.2	-1	Q983
Eswatini	26	-0.4	Q1050
Fiji	-2.8	0.6	Q712
Gabon	23.6	12	Q1000
Gambia, The	19.3	7.7	Q1005
Georgia	-1.7	-0.5	Q230
Ghana	11.7	6.1	Q117
Grenada	0.6	-0.8	Q769
Guatemala	2.3	2.2	Q774
Guinea	84.1	5.7	Q1006
Guinea-Bissau	11.4	2	Q1007
Guyana	0.3	5	Q734
Haiti	-6.8	3.9	Q790
Honduras	1.4	-1.3	Q783
Hungary	0.1	0.8	Q28
Iceland	0.3	-1.5	Q189
India	5.4	4.7	Q668
Indonesia	-3.7	1.6	Q252
Iran, Islamic Rep.	7.8	5.7	Q794
Iraq	14.4	-21.4	Q796
Israel	0.7	0.1	Q801
Jamaica	-9.8	-3.6	Q766
Japan	2.7	1	Q17
Jordan	0.4	3.9	Q810
Kazakhstan	1.2	2.1	Q232
Kenya	12.8	1.7	Q114
Korea, Rep.	0.4	0.2	Q884
Kosovo	2.8	1.5	Q1246
Kuwait	-12.9	-2.5	Q817
Kyrgyz Republic	3.1	-1.8	Q813
Lebanon	1.1	-21.3	Q822
Lesotho	15.2	-11.1	Q1013
Liberia	-5.9	4.3	Q1014
Libya	-19.6	-11.7	Q1016
Madagascar	-5.4	-0.2	Q1019
Malawi	-10.6	26	Q1020
Malaysia	-0.2	0.1	Q833
Maldives	9.5	0.8	Q826
Mali	4.9	-7.1	Q912
Mauritania	3.3	-7	Q1025
Mauritius	-0.1	-0.5	Q1027
Mexico	0.8	5.1	Q96
Micronesia, Fed. Sts.	18.5	-10.6	Q702
Moldova	-4	1.9	Q217
Mongolia	-4	-8.8	Q711
Montenegro	3.1	12.7	Q236
Morocco	-0.8	0.7	Q1028
Mozambique	-0.8	-5.2	Q1029
Myanmar	32.5	7.3	Q836
Namibia	7.5	7.1	Q1030
Nepal	6.2	1.2	Q837
New Zealand	2.1	1.6	Q664
Nicaragua	3.9	1.7	Q811
Niger	0.1	-22	Q1032
Nigeria	19.7	13.9	Q1033
North Macedonia	6.9	3	Q221
Norway	-3.2	-1.9	Q20
Oman	-4.1	-2.8	Q842
Pakistan	8.5	13.1	Q843
Papua New Guinea	-6.6	1.6	Q691
Paraguay	-6.3	0.8	Q733
Peru	-5.9	1.9	Q419
Philippines	2.9	2.2	Q928
Poland	1.2	2.4	Q36
Qatar	4.2	2.9	Q846
Romania	8	6.4	Q218
Russian Federation	9.7	-5.4	Q159
Rwanda	3.9	-4.8	Q1037
Samoa	-5.6	-2.1	Q683
Sao Tome and Principe	19.4	-4.4	Q1039
Saudi Arabia	-5.4	10.6	Q851
Senegal	4.2	1.7	Q1041
Serbia	5.8	-4.7	Q403
Seychelles	5.1	1.1	Q1042
Sierra Leone	25.7	14.1	Q1044
Singapore	-4.9	-1.6	Q334
Solomon Islands	-15.4	-1.1	Q685
South Africa	-0.2	0	Q258
South Sudan	103.5	18.9	Q958
Sri Lanka	0	-0.1	Q854
St. Kitts and Nevis	1.3	1.8	Q763
St. Lucia	-3.4	1.1	Q760
St. Vincent and the Grenadines	-8.8	-4	Q757
Sudan	12.9	20.7	Q1049
Suriname	1.5	-2	Q730
Sweden	-1.3	0.6	Q34
Switzerland	0.2	0	Q39
Tajikistan	-24.5	1.5	Q863
Tanzania	7.7	-4.4	Q924
Thailand	-1.3	0.3	Q869
Timor-Leste	-46.5	-16.6	Q574
Togo	9.6	-9.5	Q945
Tonga	5.8	-0.6	Q678
Trinidad and Tobago	1.7	4.3	Q754
Tunisia	-2.2	0.5	Q948
Turkey	4	7.4	Q43
Uganda	14.8	11	Q1036
Ukraine	8.4	-4	Q212
United Arab Emirates	2	4.3	Q878
United Kingdom	2.9	0.8	Q145
United States	0.4	2.3	Q30
Uruguay	8.6	3.2	Q77
Vanuatu	2.6	-3.9	Q686
Vietnam	2.3	-2.5	Q881
