Country	Most recent year	Tariff	ID
Albania	2017	0.6	Q222
Angola	2016	7.1	Q916
Antigua and Barbuda	2017	12.5	Q781
Argentina	2017	9.1	Q414
Armenia	2017	2.6	Q399
Australia	2017	1	Q408
Austria	2017	1.9	Q40
Bahrain	2017	3.6	Q398
Bangladesh	2016	12.4	Q902
Barbados	2013	12.5	Q244
Belgium	2017	1.9	Q31
Belize	2017	11.5	Q242
Benin	2017	13.8	Q962
Bolivia	2017	6.1	Q750
Botswana	2017	1.2	Q963
Brazil	2017	10	Q155
Brunei Darussalam	2017	0	Q921
Bulgaria	2017	1.9	Q219
Burkina Faso	2017	8	Q965
Burundi	2016	5.5	Q967
Cabo Verde	2015	10.4	Q1011
Cambodia	2016	9.7	Q424
Cameroon	2014	14.2	Q1009
Canada	2017	1	Q16
Central African Republic	2017	16.7	Q929
Chad	2016	16.1	Q657
Chile	2017	0.5	Q298
China	2017	4.5	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	4.5	Q739
Congo, Dem. Rep.	2014	9.9	Q974
Congo, Rep.	2015	9.9	Q971
Costa Rica	2016	1.5	Q800
Cote d'Ivoire	2017	9.1	Q1008
Croatia	2017	1.9	Q224
Cuba	2017	8.9	Q241
Czech Republic	2017	1.9	Q213
Denmark	2017	1.9	Q35
Djibouti	2014	19.6	Q977
Dominica	2017	9.3	Q784
Dominican Republic	2017	4.5	Q786
Ecuador	2017	9	Q736
Egypt, Arab Rep.	2017	6.7	Q79
El Salvador	2017	2.2	Q792
Estonia	2017	1.9	Q191
Fiji	2017	12.7	Q712
Finland	2017	1.9	Q33
France	2017	1.9	Q142
Gabon	2016	16.8	Q1000
Gambia, The	2013	13.5	Q1005
Georgia	2016	0.4	Q230
Germany	2017	1.9	Q183
Ghana	2017	9.8	Q117
Greece	2017	1.9	Q41
Grenada	2016	11.3	Q769
Guatemala	2015	1.5	Q774
Guinea	2017	9.9	Q1006
Guinea-Bissau	2017	12.8	Q1007
Guyana	2017	7.3	Q734
Haiti	2016	6.1	Q790
Honduras	2015	2.8	Q783
Hungary	2017	1.9	Q28
Iceland	2017	0	Q189
India	2017	6.1	Q668
Indonesia	2017	2	Q252
Ireland	2017	1.9	Q27
Israel	2017	1	Q801
Italy	2017	1.9	Q38
Jamaica	2016	10.5	Q766
Japan	2017	1.2	Q17
Jordan	2017	3.6	Q810
Kazakhstan	2017	2.5	Q232
Kenya	2016	11.8	Q114
Korea, Rep.	2017	2.4	Q884
Kuwait	2017	3.3	Q817
Kyrgyz Republic	2017	3.5	Q813
Lao PDR	2017	1	Q819
Latvia	2017	1.9	Q211
Lesotho	2017	2	Q1013
Lithuania	2017	1.9	Q37
Luxembourg	2017	1.9	Q32
North Macedonia	2017	1.3	Q221
Madagascar	2017	7.7	Q1019
Malawi	2016	5	Q1020
Malaysia	2016	4.3	Q833
Maldives	2017	14.6	Q826
Mali	2017	9.1	Q912
Malta	2017	1.9	Q233
Mauritania	2015	8.6	Q1025
Mauritius	2017	0.9	Q1027
Mexico	2017	1.4	Q96
Moldova	2016	3.7	Q217
Mongolia	2017	4.8	Q711
Montenegro	2017	2.5	Q236
Morocco	2017	2.3	Q1028
Mozambique	2016	3.5	Q1029
Myanmar	2015	1.9	Q836
Namibia	2017	0.8	Q1030
Nepal	2016	12.4	Q837
Netherlands	2017	1.9	Q55
New Zealand	2017	1.6	Q664
Nicaragua	2017	2.1	Q811
Niger	2017	9.4	Q1032
Nigeria	2016	8.7	Q1033
Norway	2017	0.4	Q20
Oman	2017	1.8	Q842
Pakistan	2016	11.7	Q843
Panama	2015	5.1	Q804
Papua New Guinea	2013	1.9	Q691
Paraguay	2017	5.1	Q733
Peru	2017	1	Q419
Philippines	2017	1.4	Q928
Poland	2017	1.9	Q36
Portugal	2017	1.9	Q45
Qatar	2017	3.5	Q846
Romania	2017	1.9	Q218
Russian Federation	2017	3.5	Q159
Rwanda	2016	7.3	Q1037
Samoa	2017	8.8	Q683
Saudi Arabia	2017	3.8	Q851
Senegal	2017	11.8	Q1041
Seychelles	2017	0.3	Q1042
Sierra Leone	2012	9.5	Q1044
Singapore	2017	0	Q334
Slovak Republic	2017	1.9	Q214
Slovenia	2017	1.9	Q215
Solomon Islands	2017	9	Q685
South Africa	2017	5.3	Q258
Spain	2017	1.9	Q29
Sri Lanka	2017	6	Q854
St. Kitts and Nevis	2017	14.2	Q763
St. Lucia	2016	10.2	Q760
St. Vincent and the Grenadines	2017	9.7	Q757
Suriname	2013	8.8	Q730
Eswatini	2017	0.9	Q1050
Sweden	2017	1.9	Q34
Switzerland	2017	0.1	Q39
Tajikistan	2017	6.8	Q863
Tanzania	2016	7.5	Q924
Thailand	2015	2.9	Q869
Togo	2017	12.4	Q945
Tonga	2017	8.6	Q678
Trinidad and Tobago	2013	9.3	Q754
Tunisia	2016	9.5	Q948
Turkey	2017	1.4	Q43
Uganda	2016	6	Q1036
Ukraine	2017	2.4	Q212
United Arab Emirates	2017	3.5	Q878
United Kingdom	2017	1.9	Q145
United States	2017	1.6	Q30
Uruguay	2017	7.4	Q77
Vanuatu	2017	5.9	Q686
Venezuela, RB	2017	10.4	Q717
Vietnam	2017	2.5	Q881
Yemen, Rep.	2017	6	Q805
Zambia	2016	7.4	Q953
Zimbabwe	2016	4.5	Q954
