Country	GDP (2010)	GDP (2019)	ID
Afghanistan	26	21	Q889
Albania	18	19	Q222
Algeria	8	12	Q262
Angola	6	9	Q916
Antigua and Barbuda	2	2	Q781
Argentina	7	7	Q414
Armenia	18	12	Q399
Australia	2	2	Q408
Austria	1	1	Q40
Azerbaijan	6	6	Q227
Bahamas, The	1	1	Q778
Bahrain	0	0	Q398
Bangladesh	17	13	Q902
Belarus	9	7	Q184
Belgium	1	0	Q31
Belize	12	10	Q242
Benin	26	27	Q962
Bhutan	15	16	Q917
Bolivia	10	12	Q750
Bosnia and Herzegovina	7	6	Q225
Botswana	2	2	Q963
Brazil	4	4	Q155
Brunei Darussalam	1	1	Q921
Bulgaria	4	3	Q219
Burkina Faso	24	20	Q965
Burundi	38	29	Q967
Cabo Verde	8	5	Q1011
Cambodia	34	21	Q424
Cameroon	14	15	Q1009
Cayman Islands	0	0	Q5785
Central African Republic	37	32	Q929
Chad	52	43	Q657
Chile	4	4	Q298
China	9	7	Q148
Hong Kong SAR, China	0	0	Q8646
Colombia	6	7	Q739
Comoros	30	33	Q970
Congo, Dem. Rep.	21	20	Q974
Congo, Rep.	4	6	Q971
Costa Rica	7	4	Q800
Cote d'Ivoire	25	16	Q1008
Croatia	4	3	Q224
Cuba	4	4	Q241
Curacao	0	0	Q25279
Cyprus	2	2	Q229
Czech Republic	2	2	Q213
Denmark	1	1	Q35
Dominica	11	13	Q784
Dominican Republic	6	5	Q786
Ecuador	10	9	Q736
Egypt, Arab Rep.	13	11	Q79
El Salvador	7	5	Q792
Equatorial Guinea	1	3	Q983
Estonia	3	3	Q191
Eswatini	10	9	Q1050
Ethiopia	41	34	Q115
Faroe Islands	15	19	Q4628
Fiji	9	11	Q712
Finland	2	2	Q33
France	2	2	Q142
Gabon	4	6	Q1000
Gambia, The	35	17	Q1005
Georgia	8	6	Q230
Germany	1	1	Q183
Ghana	28	17	Q117
Greece	3	4	Q41
Greenland	13	18	Q223
Grenada	5	6	Q769
Guatemala	11	9	Q774
Guinea	17	20	Q1006
Guinea-Bissau	45	53	Q1007
Guyana	16	12	Q734
Haiti	26	19	Q790
Honduras	12	11	Q783
Hungary	3	3	Q28
Iceland	6	4	Q189
India	17	16	Q668
Indonesia	14	13	Q252
Iran, Islamic Rep.	6	9	Q794
Iraq	5	2	Q796
Ireland	1	1	Q27
Isle of Man	1	0	Q9676
Israel	2	1	Q801
Italy	2	2	Q38
Jamaica	5	7	Q766
Japan	1	1	Q17
Jordan	4	6	Q810
Kazakhstan	5	4	Q232
Kenya	25	34	Q114
Kiribati	24	29	Q710
Korea, Rep.	2	2	Q884
Kosovo	14	7	Q1246
Kuwait	0	0	Q817
Kyrgyz Republic	17	12	Q813
Lao PDR	23	15	Q819
Latvia	4	4	Q211
Lebanon	4	5	Q822
Lesotho	5	4	Q1013
Liberia	45	39	Q1014
Lithuania	3	3	Q37
Luxembourg	0	0	Q32
Madagascar	29	23	Q1019
Malawi	30	26	Q1020
Malaysia	10	7	Q833
Maldives	6	6	Q826
Mali	33	37	Q912
Malta	1	1	Q233
Marshall Islands	10	15	Q709
Mauritania	17	19	Q1025
Mauritius	4	3	Q1027
Mexico	3	3	Q96
Micronesia, Fed. Sts.	25	23	Q702
Moldova	11	10	Q217
Mongolia	12	11	Q711
Montenegro	8	7	Q236
Morocco	13	11	Q1028
Mozambique	27	24	Q1029
Myanmar	37	21	Q836
Namibia	9	7	Q1030
Nepal	33	24	Q837
Netherlands	2	2	Q55
New Zealand	7	6	Q664
Nicaragua	17	15	Q811
Niger	36	38	Q1032
Nigeria	24	22	Q1033
North Macedonia	10	9	Q221
Norway	2	2	Q20
Oman	1	3	Q842
Pakistan	23	22	Q843
Palau	4	3	Q695
Panama	4	2	Q804
Papua New Guinea	20	18	Q691
Paraguay	13	10	Q733
Peru	7	7	Q419
Philippines	14	9	Q928
Poland	3	2	Q36
Portugal	2	2	Q45
Puerto Rico	1	1	Q1183
Qatar	0	0	Q846
Romania	5	4	Q218
Russian Federation	3	3	Q159
Rwanda	24	24	Q1037
Samoa	10	10	Q683
Sao Tome and Principe	12	11	Q1039
Saudi Arabia	3	2	Q851
Senegal	16	15	Q1041
Serbia	7	6	Q403
Seychelles	2	2	Q1042
Sierra Leone	53	57	Q1044
Singapore	0	0	Q334
Sint Maarten (Dutch part)	0	0	Q26273
Slovak Republic	2	3	Q214
Slovenia	2	2	Q215
South Africa	2	2	Q258
Spain	2	3	Q29
Sri Lanka	8	7	Q854
St. Kitts and Nevis	1	1	Q763
St. Lucia	3	2	Q760
St. Vincent and the Grenadines	6	7	Q757
Sudan	34	28	Q1049
Suriname	9	10	Q730
Sweden	2	1	Q34
Switzerland	1	1	Q39
Tajikistan	20	19	Q863
Tanzania	26	29	Q924
Thailand	11	8	Q869
Timor-Leste	26	17	Q574
Togo	29	23	Q945
Trinidad and Tobago	1	1	Q754
Tunisia	8	10	Q948
Turkey	9	6	Q43
Turks and Caicos Islands	1	1	Q18221
Uganda	32	22	Q1036
Ukraine	7	9	Q212
United Arab Emirates	1	1	Q878
United Kingdom	1	1	Q145
United States	1	1	Q30
Uruguay	7	6	Q77
Uzbekistan	29	26	Q265
Vietnam	18	14	Q881
Yemen, Rep.	8	4	Q805
Zambia	9	3	Q953
Zimbabwe	10	8	Q954
