Country	GDP (1990)	GDP (2015)	ID
Albania	6.1	14.6	Q222
Algeria	10	8.5	Q262
Angola	11.6	15.1	Q916
Argentina	10	11.6	Q414
Armenia	2.4	10.8	Q399
Australia	6.2	8.8	Q408
Austria	11.6	14	Q40
Azerbaijan	2.5	9.9	Q227
Bahrain	3.7	4.6	Q398
Bangladesh	12.3	15.3	Q902
Belarus	2	6.5	Q184
Belgium	7.4	10.6	Q31
Benin	6.5	7.1	Q962
Bolivia	12.1	9.9	Q750
Botswana	9.6	13.3	Q963
Brazil	11.2	10.5	Q155
Brunei Darussalam	10.7	7.4	Q921
Bulgaria	3.7	7.6	Q219
Cameroon	7.6	10	Q1009
Canada	4.2	6.3	Q16
Chile	9	11.8	Q298
China	1.9	5.3	Q148
Hong Kong SAR, China	19.1	28.6	Q8646
Colombia	11.5	19.3	Q739
Congo, Dem. Rep.	5.3	2.6	Q974
Congo, Rep.	10.6	6.8	Q971
Costa Rica	17.8	17.2	Q800
Cote d'Ivoire	12.3	6.8	Q1008
Cyprus	10.7	14.3	Q229
Czech Republic	4.9	9.4	Q213
Denmark	11.6	18.8	Q35
Dominican Republic	11	19.3	Q786
Ecuador	13.4	13.6	Q736
Egypt, Arab Rep.	10.6	12.5	Q79
El Salvador	11.2	12.4	Q792
Ethiopia	1.6	3.4	Q115
Finland	5.8	7.6	Q33
France	8.8	11.8	Q142
Gabon	14.6	5.7	Q1000
Georgia	4.3	10.4	Q230
Germany	8.3	13.4	Q183
Ghana	6.5	14.1	Q117
Greece	11.6	13.1	Q41
Guatemala	11.4	9.2	Q774
Haiti	9.9	4.5	Q790
Honduras	8.3	8.7	Q783
Hungary	6.3	11.3	Q28
Iceland	3.9	3	Q189
India	5.2	8	Q668
Indonesia	8.3	11.1	Q252
Iran, Islamic Rep.	7	4.3	Q794
Iraq	6.9	7.2	Q796
Ireland	9.4	25.3	Q27
Israel	10	13.5	Q801
Italy	14.2	16.3	Q38
Jamaica	7.5	9.7	Q766
Japan	9	11.6	Q17
Jordan	8.1	11	Q810
Kazakhstan	3	5.5	Q232
Kenya	7.1	7.3	Q114
Korea, Rep.	5.8	7.2	Q884
Kuwait	7.6	6.2	Q817
Kyrgyz Republic	3	7.3	Q813
Lebanon	10.8	14.2	Q822
Luxembourg	7.7	16.9	Q32
North Macedonia	9.1	11.4	Q221
Malaysia	8.5	8	Q833
Malta	9.2	20.1	Q233
Mauritius	12.7	17.3	Q1027
Mexico	10.2	12.5	Q96
Mongolia	3.2	6	Q711
Morocco	12.5	12.6	Q1028
Mozambique	1	2.7	Q1029
Myanmar	2.4	10.9	Q836
Namibia	13.1	12.9	Q1030
Nepal	4.6	6.5	Q837
Netherlands	8.3	12.6	Q55
New Zealand	7.2	9.1	Q664
Nicaragua	7.1	9.1	Q811
Nigeria	4.7	7.2	Q1033
Norway	8.3	10.6	Q20
Oman	11.6	5.1	Q842
Pakistan	7.3	9.1	Q843
Panama	17.8	25.3	Q804
Paraguay	11.6	14.8	Q733
Peru	11.9	15	Q419
Philippines	9.1	14.7	Q928
Poland	4.2	11.2	Q36
Portugal	14	14.6	Q45
Romania	4.9	14.4	Q218
Russian Federation	3.6	5.4	Q159
Saudi Arabia	11.6	7	Q851
Senegal	10.2	10.3	Q1041
Singapore	9.9	17.1	Q334
Slovak Republic	3.5	9.8	Q214
Slovenia	7.7	10.7	Q215
South Africa	4.2	4.8	Q258
Spain	11.9	14.6	Q29
Sri Lanka	12.2	22.2	Q854
Sudan	4.2	10.4	Q1049
Sweden	6.3	10.1	Q34
Switzerland	15.3	22.4	Q39
Tajikistan	3.9	8	Q863
Tanzania	3.5	4.5	Q924
Thailand	9.6	8.1	Q869
Togo	4	3	Q945
Trinidad and Tobago	2.1	2	Q754
Tunisia	9.1	11.1	Q948
Turkey	13	15.8	Q43
Turkmenistan	1.5	2.5	Q874
Ukraine	3.2	5	Q212
United Arab Emirates	10	8.2	Q878
United Kingdom	8.5	16.2	Q145
United States	5.3	8.6	Q30
Uruguay	14	14.8	Q77
Uzbekistan	1.5	3.9	Q265
Vietnam	6.4	8.8	Q881
Zambia	3.2	5.3	Q953
Zimbabwe	3.7	3.5	Q954
