Country	Savings %	ID
Afghanistan	0.1	Q889
Albania	1.3	Q222
Algeria	9.2	Q262
Angola	20	Q916
Antigua and Barbuda	0	Q781
Argentina	1.5	Q414
Armenia	0	Q399
Aruba	0	Q21203
Australia	1.3	Q408
Austria	0.1	Q40
Azerbaijan	18.5	Q227
Bahamas, The	0	Q778
Bahrain	3.8	Q398
Bangladesh	0.5	Q902
Barbados	0	Q244
Belarus	0.4	Q184
Belgium	0	Q31
Belize	0.6	Q242
Benin	0.1	Q962
Bhutan	0	Q917
Bolivia	2.6	Q750
Bosnia and Herzegovina	0	Q225
Botswana	0.3	Q963
Brazil	1.7	Q155
Brunei Darussalam	16	Q921
Bulgaria	0.1	Q219
Burkina Faso	0	Q965
Burundi	0	Q967
Cabo Verde	0	Q1011
Cambodia	0	Q424
Cameroon	2.9	Q1009
Canada	0.5	Q16
Cayman Islands	0	Q5785
Central African Republic	0	Q929
Chad	11.9	Q657
Chile	0	Q298
China	0.7	Q148
Hong Kong SAR, China	0	Q8646
Macao SAR, China	0	Q14773
Colombia	4.3	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0.4	Q974
Congo, Rep.	46.9	Q971
Costa Rica	0	Q800
Cote d'Ivoire	1.8	Q1008
Croatia	0.4	Q224
Cuba	0.2	Q241
Curacao	0	Q25279
Cyprus	0	Q229
Czech Republic	0.1	Q213
Denmark	0.5	Q35
Djibouti	0	Q977
Dominica	0	Q784
Dominican Republic	0	Q786
Ecuador	5.7	Q736
Egypt, Arab Rep.	4.8	Q79
El Salvador	0	Q792
Equatorial Guinea	31.9	Q983
Estonia	0.3	Q191
Eswatini	0	Q1050
Ethiopia	0	Q115
Fiji	0	Q712
Finland	0	Q33
France	0	Q142
Gabon	13.6	Q1000
Gambia, The	0	Q1005
Georgia	0.1	Q230
Germany	0	Q183
Ghana	4.2	Q117
Greece	0	Q41
Grenada	0	Q769
Guatemala	0.1	Q774
Guinea	0	Q1006
Guinea-Bissau	0	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	0	Q783
Hungary	0.3	Q28
Iceland	0	Q189
India	0.6	Q668
Indonesia	2.1	Q252
Iran, Islamic Rep.	4.3	Q794
Iraq	13.4	Q796
Ireland	0.1	Q27
Israel	0.1	Q801
Italy	0.1	Q38
Jamaica	0	Q766
Japan	0	Q17
Jordan	0	Q810
Kazakhstan	9.8	Q232
Kenya	0	Q114
Kiribati	0	Q710
Korea, Rep.	0	Q884
Kosovo	0	Q1246
Kuwait	9.4	Q817
Kyrgyz Republic	0	Q813
Lao PDR	0	Q819
Latvia	0	Q211
Lebanon	0	Q822
Lesotho	0	Q1013
Liberia	0	Q1014
Libya	9.1	Q1016
Lithuania	0	Q37
Luxembourg	0	Q32
Madagascar	0.1	Q1019
Malawi	0	Q1020
Malaysia	4.2	Q833
Maldives	0	Q826
Mali	0	Q912
Malta	0	Q233
Mauritania	0	Q1025
Mauritius	0	Q1027
Mexico	2.2	Q96
Micronesia, Fed. Sts.	0	Q702
Moldova	0	Q217
Mongolia	5.8	Q711
Montenegro	0	Q236
Morocco	0	Q1028
Mozambique	0.7	Q1029
Myanmar	1.4	Q836
Namibia	0	Q1030
Nepal	0	Q837
Netherlands	0.3	Q55
New Zealand	0.5	Q664
Nicaragua	0	Q811
Niger	1	Q1032
Nigeria	4.6	Q1033
North Macedonia	0	Q221
Norway	5.9	Q20
Oman	22.4	Q842
Pakistan	0.9	Q843
Panama	0	Q804
Papua New Guinea	7.5	Q691
Paraguay	0	Q733
Peru	0.3	Q419
Philippines	0.2	Q928
Poland	0.1	Q36
Portugal	0	Q45
Puerto Rico	0	Q1183
Qatar	8.7	Q846
Romania	0.6	Q218
Russian Federation	8.1	Q159
Rwanda	0	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Saudi Arabia	9.3	Q851
Senegal	0	Q1041
Serbia	0.1	Q403
Seychelles	0	Q1042
Sierra Leone	0	Q1044
Singapore	0	Q334
Slovak Republic	0	Q214
Slovenia	0	Q215
Solomon Islands	0	Q685
Somalia	0	Q1045
South Africa	1.3	Q258
Spain	0	Q29
Sri Lanka	0	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	0.8	Q1049
Suriname	5.8	Q730
Sweden	0	Q34
Switzerland	0	Q39
Tajikistan	0.1	Q863
Tanzania	0.3	Q924
Thailand	1.6	Q869
Timor-Leste	18.6	Q574
Togo	0	Q945
Tonga	0	Q678
Trinidad and Tobago	9.2	Q754
Tunisia	1.9	Q948
Turkey	0.1	Q43
Turkmenistan	8.1	Q874
Turks and Caicos Islands	0	Q18221
Tuvalu	0	Q672
Uganda	0	Q1036
Ukraine	0.5	Q212
United Arab Emirates	5.3	Q878
United Kingdom	0.6	Q145
United States	0.3	Q30
Uruguay	0	Q77
Uzbekistan	7.2	Q265
Vanuatu	0	Q686
Vietnam	1.1	Q881
West Bank and Gaza	0	Q407199
Zambia	0	Q953
Zimbabwe	0.1	Q954
