Country	Both sexes	Male	Female	ID
Afghanistan	23.0	23.6	22.4	Q889
Albania	31.6	34.8	28.5	Q222
Algeria	21.7	22.4	20.9	Q262
Andorra	24.5	27.8	21.3	Q228
Angola	22.3	23.0	21.6	Q916
Antigua and Barbuda	24.2	26.7	21.9	Q781
Argentina	24.2	27.9	20.7	Q414
Armenia	27.4	28.1	26.8	Q399
Australia	18.9	21.0	16.9	Q408
Austria	27.4	30.2	24.7	Q40
Azerbaijan	23.0	23.9	22.3	Q227
Bahamas	21.2	24.8	17.9	Q778
Bahrain	16.3	17.6	14.0	Q398
Bangladesh	20.9	21.6	20.2	Q902
Barbados	27.9	29.2	26.7	Q244
Belarus	31.8	35.2	29.1	Q184
Belgium	23.5	27.5	19.8	Q31
Belize	18.3	20.2	16.4	Q242
Benin	21.4	21.4	21.3	Q962
Bhutan	23.3	24.7	21.6	Q917
Bolivia (Plurinational State of)	15.1	16.7	13.6	Q750
Bosnia and Herzegovina	36.7	38.1	35.4	Q225
Botswana	22.6	22.6	22.6	Q963
Brazil	23.1	26.0	20.4	Q155
Brunei Darussalam	17.8	21.2	14.5	Q921
Bulgaria	36.3	39.5	33.3	Q219
Burkina Faso	24.5	23.7	25.2	Q965
Burundi	21.6	21.1	22.1	Q967
Cabo Verde	25.2	25.5	24.8	Q1011
Cambodia	22.6	22.4	22.8	Q424
Cameroon	18.6	19.3	17.9	Q1009
Canada	17.2	18.8	15.7	Q16
Central African Republic	24.8	25.4	24.2	Q929
Chad	24.3	24.2	24.5	Q657
Chile	22.7	26.4	19.2	Q298
China	20.6	22.5	18.6	Q148
Colombia	18.2	20.1	16.4	Q739
Comoros	22.1	22.3	21.9	Q970
Congo	20.8	22.5	19.2	Q971
Cook Islands	21.4	23.7	19.0	Q26988
Costa Rica	18.2	20.3	16.1	Q800
Côte d'Ivoire	21.5	23.3	19.7	Q1008
Croatia	41.0	44.7	37.6	Q224
Cuba	23.0	24.1	21.9	Q241
Cyprus	22.1	25.3	18.8	Q229
