Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	53	70	Q889
Albania	2018	52	49	Q222
Algeria	2013	60	73	Q262
Angola	2016	25	78	Q916
Argentina	2012	92	96	Q414
Armenia	2016	46	67	Q399
Bangladesh	2014	38	60	Q902
Benin	2018	30	74	Q962
Bhutan	2010	64	82	Q917
Bolivia	2008	40	70	Q750
Burkina Faso	2010	36	70	Q965
Burundi	2017	62	67	Q967
Cambodia	2014	68	67	Q424
Cameroon	2014	31	23	Q1009
Central African Republic	2010	20	56	Q929
Chad	2015	16	44	Q657
Colombia	2010	54	67	Q739
Comoros	2012	31	43	Q970
Congo, Dem. Rep.	2014	37	44	Q974
Congo, Rep.	2016	18	61	Q971
Cote d'Ivoire	2016	23	49	Q1008
Dominican Republic	2014	73	77	Q786
Egypt, Arab Rep.	2014	64	66	Q79
Eswatini	2014	62	63	Q1050
Ethiopia	2016	25	40	Q115
Gabon	2012	39	63	Q1000
Gambia, The	2018	53	33	Q1005
Ghana	2014	54	87	Q117
Guatemala	2015	47	68	Q774
Guinea	2018	74	78	Q1006
Guinea-Bissau	2014	40	27	Q1007
Guyana	2014	75	35	Q734
Haiti	2017	25	52	Q790
Honduras	2012	61	73	Q783
India	2016	69	90	Q668
Indonesia	2017	89	92	Q252
Iraq	2018	41	65	Q796
Jordan	2018	68	74	Q810
Kenya	2014	63	74	Q114
Kyrgyz Republic	2018	19	79	Q813
Lao PDR	2017	42	86	Q819
Liberia	2013	48	44	Q1014
Madagascar	2009	33	68	Q1019
Malawi	2016	77	71	Q1020
Maldives	2017	86	43	Q826
Mali	2018	74	86	Q912
Mauritania	2015	18	48	Q1025
Mozambique	2015	49	59	Q1029
Myanmar	2016	45	77	Q836
Namibia	2013	58	73	Q1030
Nepal	2016	73	75	Q837
Niger	2012	47	71	Q1032
Nigeria	2018	72	94	Q1033
Pakistan	2018	74	91	Q843
Papua New Guinea	2018	48	76	Q691
Paraguay	2016	84	95	Q733
Peru	2012	65	68	Q419
Philippines	2017	57	83	Q928
Rwanda	2015	45	65	Q1037
Sao Tome and Principe	2014	86	77	Q1039
Senegal	2017	41	84	Q1041
Serbia	2010	83	96	Q403
Sierra Leone	2017	69	81	Q1044
South Sudan	2010	33	66	Q958
Sudan	2014	27	63	Q1049
Tajikistan	2017	94	49	Q863
Tanzania	2016	37	75	Q924
Thailand	2016	61	74	Q869
Timor-Leste	2016	70	98	Q574
Togo	2014	42	69	Q945
Tunisia	2018	95	100	Q948
Uganda	2016	80	86	Q1036
West Bank and Gaza	2014	78	82	Q407199
Yemen, Rep.	2013	31	42	Q805
Zambia	2014	67	80	Q953
Zimbabwe	2015	43	70	Q954
