Country	Imports (2007)	Imports (2017)	ID
American Samoa	79.1	74.9	Q16641
Cambodia	50.4	32.7	Q424
China	66.8	65.1	Q148
Fiji	87.0	72.0	Q712
Indonesia	62.6	51.7	Q252
Kiribati	85.0	60.0	Q710
Korea, Dem. Peopleâ€™s Rep.	8.2	0.6	Q423
Lao PDR	14.0	8.7	Q819
Malaysia	68.0	54.7	Q833
Marshall Islands	95.3	73.4	Q709
Micronesia, Fed. Sts.	88.8	56.1	Q702
Mongolia	29.4	31.4	Q711
Myanmar	35.8	35.0	Q836
Palau	80.3	78.4	Q695
Papua New Guinea	80.8	60.3	Q691
Philippines	77.4	56.6	Q928
Samoa	81.1	77.5	Q683
Solomon Islands	73.6	56.2	Q685
Thailand	66.1	56.9	Q869
Timor-Leste	25.3	36.2	Q574
Tonga	81.3	80.9	Q678
Tuvalu	80.2	82.3	Q672
Vanuatu	81.2	43.3	Q686
Vietnam	60.8	50.1	Q881
Albania	68.4	64.9	Q222
Armenia	43.0	34.2	Q399
Azerbaijan	44.1	36.7	Q227
Belarus	25.8	23.0	Q184
Bosnia and Herzegovina	70.5	64.9	Q225
Bulgaria	60.3	60.4	Q219
Georgia	36.8	35.0	Q230
Kazakhstan	38.6	29.1	Q232
Kosovo	53.4	43.2	Q1246
Kyrgyz Republic	14.6	12.6	Q813
Lithuania	72.8	75.6	Q37
North Macedonia	51.9	61.9	Q221
Moldova	37.5	37.9	Q217
Montenegro	58.9	49.9	Q236
Romania	75.5	76.9	Q218
Russian Federation	62.4	53.9	Q159
Serbia	58.8	62.3	Q403
Tajikistan	18.0	14.5	Q863
Turkey	55.5	54.8	Q43
Turkmenistan	34.3	41.8	Q874
Ukraine	45.0	54.0	Q212
Uzbekistan	39.2	31.0	Q265
Antigua and Barbuda	70.8	67.9	Q781
Argentina	38.5	37.9	Q414
Belize	56.9	60.1	Q242
Bolivia	40.0	31.2	Q750
Brazil	57.8	55.5	Q155
Chile	45.8	44.2	Q298
Colombia	53.6	51.8	Q739
Costa Rica	67.5	60.6	Q800
Cuba	58.9	45.8	Q241
Dominica	80.4	81.6	Q784
Dominican Republic	67.2	65.4	Q786
Ecuador	49.6	54.6	Q736
El Salvador	55.1	54.1	Q792
Grenada	86.1	71.6	Q769
Guatemala	59.7	57.7	Q774
Guyana	73.9	73.6	Q734
Haiti	45.6	30.5	Q790
Honduras	58.1	55.3	Q783
Jamaica	71.6	72.2	Q766
Mexico	80.3	71.8	Q96
Nicaragua	36.2	33.7	Q811
Panama	60.5	44.8	Q804
Paraguay	21.4	25.3	Q733
Peru	45.3	46.8	Q419
St. Kitts and Nevis	89.0	87.4	Q763
St. Lucia	89.0	80.3	Q760
St. Vincent and the Grenadines	84.6	81.0	Q757
Suriname	79.1	75.3	Q730
Uruguay	24.1	33.0	Q77
Venezuela, RB	46.1	40.7	Q717
Algeria	71.8	38.7	Q262
Djibouti	77.8	66.2	Q977
Egypt, Arab Rep.	52.9	56.6	Q79
Iran, Islamic Rep.	73.4	54.5	Q794
Iraq	36.3	27.9	Q796
Jordan	65.5	60.7	Q810
Lebanon	64.4	60.8	Q822
Libya	53.1	36.7	Q1016
Morocco	69.6	70.8	Q1028
Syrian Arab Republic	39.5	12.7	Q858
Tunisia	73.7	63.2	Q948
West Bank and Gaza	87.5	74.6	Q407199
Yemen, Rep.	59.6	37.5	Q805
Afghanistan	15.5	15.0	Q889
Bangladesh	48.1	34.4	Q902
Bhutan	14.1	6.6	Q917
India	61.7	50.7	Q668
Maldives	61.8	50.6	Q826
Nepal	17.7	11.5	Q837
Pakistan	63.7	49.5	Q843
Sri Lanka	51.3	42.3	Q854
Angola	49.5	57.7	Q916
Benin	49.7	32.4	Q962
Botswana	10.8	21.2	Q963
Burkina Faso	38.3	45.6	Q965
Burundi	51.9	39.2	Q967
Cabo Verde	85.4	81.5	Q1011
Cameroon	62.3	43.8	Q1009
Central African Republic	48.4	64.6	Q929
Chad	59.7	43.4	Q657
Comoros	54.9	52.7	Q970
Congo, Dem. Rep.	23.9	23.9	Q974
Congo, Rep.	34.9	39.8	Q971
Cote d'Ivoire	44.0	49.4	Q1008
Eritrea	60.9	58.0	Q986
Ethiopia	48.2	42.7	Q115
Gabon	78.0	64.0	Q1000
Gambia, The	68.9	22.9	Q1005
Ghana	53.7	54.7	Q117
Guinea	69.0	55.1	Q1006
Guinea-Bissau	60.6	60.6	Q1007
Kenya	61.0	40.3	Q114
Lesotho	5.6	10.6	Q1013
Liberia	32.7	32.7	Q1014
Madagascar	50.8	39.9	Q1019
Malawi	30.9	38.8	Q1020
Mali	33.9	31.8	Q912
Mauritania	53.8	76.1	Q1025
Mauritius	46.7	43.9	Q1027
Mozambique	35.6	41.9	Q1029
Namibia	15.9	13.7	Q1030
Niger	51.7	48.4	Q1032
Nigeria	55.1	49.4	Q1033
Rwanda	39.0	28.4	Q1037
Sao Tome and Principe	74.8	66.4	Q1039
Senegal	53.8	45.8	Q1041
Seychelles	80.5	75.7	Q1042
Sierra Leone	48.8	44.4	Q1044
Somalia	25.7	24.9	Q1045
South Africa	66.6	54.3	Q258
Sudan	71.1	61.4	Q1049
Eswatini	43.0	9.3	Q1050
Tanzania	58.7	59.0	Q924
Togo	55.8	45.9	Q945
Uganda	52.0	39.3	Q1036
Zambia	29.3	23.8	Q953
Zimbabwe	17.9	12.8	Q954
