Country	Reference Year	Most recen year	Bottom 40% (Baseline)	Bottom 40% (Recent)	Total population (Baseline)	Total population (Recent)	ID
Albania	2014	2017	3.7	3.9	7.9	8.1	Q222
Argentina	2013	2018	8.8	8.1	23.5	21.7	Q414
Armenia	2013	2018	3.3	3.5	6.2	6.9	Q399
Austria	2012	2017	28.3	30.4	53.7	57	Q40
Bangladesh	2010	2016	1.9	2	3.5	3.9	Q902
Belarus	2013	2018	12	12.5	20.4	20.4	Q184
Belgium	2012	2017	27.3	27.9	47.9	48.9	Q31
Benin	2011	2015	1.1	0.9	2.7	2.7	Q962
Bhutan	2012	2017	3.5	3.8	8.1	8.8	Q917
Bolivia	2013	2018	4.4	4.8	14.2	13.1	Q750
Botswana	2009	2015	2	2.1	9.6	7.7	Q963
Brazil	2013	2018	5.6	5.4	20.2	20.9	Q155
Chile	2013	2017	8	9.7	21.7	25.2	Q298
China	2013	2016	3.9	5	9.5	11.6	Q148
Colombia	2013	2018	3.9	4.4	14.1	14.4	Q739
Costa Rica	2013	2018	7	7.5	22.8	23.5	Q800
Croatia	2012	2017	8.5	11	17.3	21.3	Q224
Cyprus	2012	2017	23.9	24.3	47.6	45.8	Q229
Czech Republic	2012	2017	15.8	18.8	26.3	30.2	Q213
Denmark	2012	2017	28.4	30.3	49.7	54.1	Q35
Dominican Republic	2011	2016	4.2	5.4	12.6	15.5	Q786
Ecuador	2013	2018	4.5	4.8	13.5	13.8	Q736
Egypt, Arab Rep.	2012	2017	3.3	2.9	5.6	5.2	Q79
El Salvador	2013	2018	3.9	4.7	10.1	11.1	Q792
Estonia	2012	2017	11.6	17	23.1	32.7	Q191
Ethiopia	2010	2015	1.5	1.5	2.9	3.1	Q115
Finland	2012	2017	28.9	29.7	49.4	51	Q33
France	2012	2017	26.7	27.6	52.5	53	Q142
Georgia	2013	2018	3	3.4	7.1	7.7	Q230
Germany	2011	2016	28.2	27.9	52.5	54.7	Q183
Ghana	2012	2016	2.4	2.3	6.2	6.6	Q117
Greece	2012	2017	9.6	10.5	22.4	22.5	Q41
Honduras	2013	2018	2.1	2.3	8	8.7	Q783
Hungary	2012	2017	9.8	12.4	18.7	23.5	Q28
Iceland	2010	2015	27.1	31.6	45.5	53.6	Q189
Indonesia	2014	2018	2.4	2.9	5.4	6.5	Q252
Iran, Islamic Rep.	2014	2017	7	7	16.3	17.3	Q794
Ireland	2011	2016	21.4	25.3	42.6	49.5	Q27
