Country	Overall mean 	Female mean 	Male mean 	ID
Nauru	32.5	32.8	32.1	Q697
Tonga	31.9	33.5	30.4	Q678
Samoa	31.7	33.5	29.9	Q683
Kuwait	30.0	30.8	29.5	Q817
Saint Kitts and Nevis	29.7	30.9	28.4	Q763
Saint Lucia	29.6	30.2	28.9	Q760
Kiribati	29.6	30.5	28.7	Q710
Palau	29.4	29.5	29.4	Q695
Federated States of Micronesia	29.4	31.0	27.8	Q702
Tuvalu	29.3	29.9	28.7	Q672
Qatar	29.2	30.1	29.0	Q846
Marshall Islands	29.2	30.0	28.4	Q709
Egypt	29.2	30.7	27.6	Q79
United Arab Emirates	29.0	29.7	28.6	Q878
Jordan	28.9	29.7	28.2	Q810
Belize	28.9	30.2	27.6	Q242
Bahamas	28.8	29.6	28.0	Q778
Trinidad and Tobago	28.7	29.4	27.9	Q754
Barbados	28.7	30.0	27.4	Q244
United States	28.5	28.5	28.5	Q30
Saudi Arabia	28.5	28.7	28.03	Q851
Libya	28.4	29.6	27.02	Q1016
Bahrain	28.2	28.6	28.0	Q398
Mexico	28.1	28.7	27.5	Q96
Antigua and Barbuda	28.1	29.5	27.3	Q781
Syria	28.1	29.0	27.2	Q858
Iraq	28.0	28.8	27.02	Q796
New Zealand	27.9	27.8	28.0	Q664
Lebanon	27.8	27.6	28.0	Q822
Chile	27.8	28.0	27.6	Q298
Turkey	27.8	28.5	27.1	Q43
Argentina	27.7	27.5	27.8	Q414
Ireland	27.5	27.1	27.9	Q27
Andorra	27.5	27.1	27.8	Q228
Kazakhstan	27.4	27.5	27.4	Q232
El Salvador	27.4	28.0	26.8	Q792
Azerbaijan	27.4	28.1	26.6	Q227
Suriname	27.4	28.2	26.5	Q730
Jamaica	27.4	29.2	25.5	Q766
United Kingdom	27.3	27.1	27.5	Q145
Greece	27.3	27.2	27.4	Q41
Saint Vincent and the Grenadines	27.3	28.1	26.5	Q757
South Africa	27.3	29.1	25.4	Q258
Australia	27.2	26.8	27.6	Q408
Canada	27.2	26.8	27.6	Q16
Malta	27.2	26.8	27.5	Q233
Venezuela	27.2	27.1	27.4	Q717
Georgia	27.2	27.3	27.02	Q230
Fiji	27.2	28.4	26.01	Q712
Panama	27.1	27.7	26.4	Q804
Cyprus	27.0	26.3	27.6	Q229
Ecuador	27.0	27.7	26.4	Q736
Grenada	27.0	28.7	25.2	Q769
Dominica	27.0	29.0	25.1	Q784
Czech Republic	26.9	26.0	27.8	Q213
Slovenia	26.9	26.3	27.5	Q215
Oman	26.9	27.1	26.8	Q842
Costa Rica	26.9	27.1	26.7	Q800
Nicaragua	26.9	27.8	26.0	Q811
Uruguay	26.8	26.9	26.7	Q77
Tunisia	26.8	27.5	26.0	Q948
Seychelles	26.8	28.0	25.6	Q1042
Spain	26.7	26.0	27.4	Q29
Moldova	26.7	27.1	26.3	Q217
Dominican Republic	26.7	27.4	26.0	Q786
Armenia	26.7	27.4	25.9	Q399
Lithuania	26.6	26.0	27.3	Q37
Belarus	26.6	26.2	27.1	Q184
Swaziland	26.5	28.9	24.1	Q1050
