Country	Both sexes	Male	Female	ID
Afghanistan	30.6	30.4	30.7	Q889
Albania	29.0	33.0	25.0	Q222
Algeria	25.1	25.4	24.6	Q262
Andorra	18.7	23.2	14.2	Q228
Angola	29.7	29.6	29.6	Q916
Antigua and Barbuda	23.4	26.4	20.4	Q781
Argentina	22.6	27.6	17.6	Q414
Armenia	25.5	27.8	22.9	Q399
Australia	15.2	18.0	12.3	Q408
Austria	21.0	25.2	16.8	Q40
Azerbaijan	24.5	25.8	23.0	Q227
Bahamas	20.9	25.2	16.8	Q778
Bahrain	21.4	22.5	19.1	Q398
Bangladesh	24.7	24.5	24.9	Q902
Barbados	24.4	27.0	21.7	Q244
Belarus	27.1	33.0	21.6	Q184
Belgium	17.5	22.4	12.6	Q31
Belize	22.7	24.4	21.0	Q242
Benin	27.7	27.1	28.1	Q962
Bhutan	28.1	28.5	27.6	Q917
Bolivia (Plurinational State of)	17.9	19.7	16.1	Q750
Bosnia and Herzegovina	30.8	34.0	27.6	Q225
Botswana	29.6	29.3	29.5	Q963
Brazil	23.3	26.7	19.9	Q155
Brunei Darussalam	18.9	22.0	15.8	Q921
Bulgaria	28.4	33.6	23.0	Q219
Burkina Faso	32.6	31.3	33.2	Q965
Burundi	29.2	27.3	31.1	Q967
Cabo Verde	29.5	30.5	28.1	Q1011
Cambodia	26.1	26.3	25.5	Q424
Cameroon	24.8	24.9	24.6	Q1009
Canada	13.2	15.6	10.8	Q16
Central African Republic	31.2	31.4	30.8	Q929
Chad	32.9	31.6	33.8	Q657
Chile	20.9	25.4	16.5	Q298
China	19.2	21.5	16.8	Q148
Colombia	19.2	21.5	16.9	Q739
Comoros	27.9	27.4	28.2	Q970
Congo	26.2	27.5	24.9	Q971
Cook Islands	22.3	24.9	19.5	Q26988
Costa Rica	18.7	21.0	16.3	Q800
Côte d'Ivoire	27.2	27.8	26.8	Q1008
Croatia	32.4	38.4	26.3	Q224
Cuba	19.0	20.9	16.9	Q241
Cyprus	19.8	23.9	15.5	Q229
Czechia	27.9	34.4	21.2	Q213
Democratic People's Republic of Korea	18.2	19.1	16.9	Q423
Democratic Republic of the Congo	28.5	29.3	27.6	Q974
Denmark	20.6	26.5	14.8	Q35
Djibouti	26.8	28.0	25.5	Q977
Dominica	22.5	25.7	19.4	Q784
Dominican Republic	21.5	23.8	19.1	Q786
