Country	% GDP	% of total government expenditure	ID
Afghanistan	4.1	15.7	Q889
Albania	2.5	8.4	Q222
Andorra	3.2	19.3	Q228
Argentina	5.5	13.3	Q414
Armenia	2.7	10.4	Q399
Aruba	6.2	21.4	Q21203
Australia	5.3	13.8	Q408
Austria	5.5	11	Q40
Azerbaijan	2.5	7	Q227
Bahrain	2.3	7.2	Q398
Bangladesh	2	14.6	Q902
Barbados	4.7	12.9	Q244
Belarus	4.8	12.3	Q184
Belgium	6.5	12.3	Q31
Belize	7.4	21.3	Q242
Benin	4	17.7	Q962
Bermuda	1.5	7.8	Q23635
Bhutan	6.6	22.8	Q917
Brunei Darussalam	4.4	11.4	Q921
Burkina Faso	6	22.7	Q965
Burundi	5	19.9	Q967
Cabo Verde	5.2	16.4	Q1011
Cambodia	2.2	8.8	Q424
Cameroon	3.1	16.9	Q1009
Chad	2.2	17.2	Q657
Chile	5.4	21.3	Q298
Hong Kong SAR, China	3.3	18.8	Q8646
Macao SAR, China	2.7	13.5	Q14773
Colombia	4.5	16	Q739
Congo, Dem. Rep.	1.5	14	Q974
Congo, Rep.	3.6	15.6	Q971
Costa Rica	7	26.1	Q800
Cote d'Ivoire	4.4	18.3	Q1008
Cyprus	6.3	16.7	Q229
Czech Republic	5.6	14.2	Q213
Djibouti	5.6	14	Q977
El Salvador	3.6	14.9	Q792
Estonia	5.2	13.1	Q191
Finland	6.9	12.3	Q33
Gambia, The	2.4	11.2	Q1005
Georgia	3.8	13	Q230
Germany	4.8	10.9	Q183
Ghana	4	18.6	Q117
Grenada	3.2	14	Q769
Guatemala	2.9	23.7	Q774
Guinea	2.6	14.9	Q1006
Guyana	5.9	16	Q734
Haiti	2.8	14.4	Q790
Honduras	6.1	23	Q783
Hungary	4.7	10.1	Q28
Iceland	7.5	16.8	Q189
Iran, Islamic Rep.	4	21.1	Q794
Ireland	3.7	13.4	Q27
Israel	5.8	15.5	Q801
Italy	3.8	7.8	Q38
Jamaica	5.4	18.6	Q766
Japan	3.2	8.4	Q17
Jordan	3.6	11.6	Q810
Kazakhstan	2.8	13.9	Q232
Kenya	5.3	19.1	Q114
Kyrgyz Republic	6	15.7	Q813
Latvia	4.7	12.9	Q211
Lesotho	6.5	13.9	Q1013
Liberia	2.6	8.1	Q1014
Lithuania	4	12	Q37
Madagascar	3.2	19.8	Q1019
Malawi	4.7	15.8	Q1020
Malaysia	4.5	19.7	Q833
Maldives	4.1	11.3	Q826
Mali	3.8	16.5	Q912
Mauritania	2.6	9.3	Q1025
Mauritius	4.8	19.6	Q1027
Mexico	4.9	17.9	Q96
Moldova	5.5	17.5	Q217
Monaco	1.5	7	Q235
Mongolia	4.1	12.6	Q711
Mozambique	5.6	17.9	Q1029
Myanmar	2	10.3	Q836
Nepal	5.2	14.1	Q837
Netherlands	5.5	12.8	Q55
New Zealand	6.4	16.8	Q664
Nicaragua	4.3	17.9	Q811
Niger	4.9	16.8	Q1032
Norway	8	16	Q20
Pakistan	2.9	14.5	Q843
Papua New Guinea	1.9	8.7	Q691
Paraguay	3.4	18.2	Q733
Peru	3.7	17.1	Q419
Poland	4.6	11.3	Q36
Qatar	2.9	8.6	Q846
Romania	3	9.5	Q218
Russian Federation	3.7	11	Q159
Rwanda	3.1	10.8	Q1037
Samoa	4.1	10.5	Q683
San Marino	3.1	13.1	Q238
Sao Tome and Principe	5.1	20.1	Q1039
Senegal	4.7	21.5	Q1041
Serbia	3.7	9.3	Q403
Seychelles	4.4	11.7	Q1042
Sierra Leone	7.1	32.5	Q1044
Slovak Republic	3.9	9.4	Q214
Slovenia	4.8	11.7	Q215
South Africa	6.2	18.9	Q258
South Sudan	1	0.9	Q958
Spain	4.2	10	Q29
Sri Lanka	2.1	11.3	Q854
St. Lucia	3.7	14.4	Q760
St. Vincent and the Grenadines	5.7	18.8	Q757
Sweden	7.7	15.7	Q34
Switzerland	5.1	15.5	Q39
Tanzania	3.7	20.6	Q924
Timor-Leste	4.1	7.9	Q574
Togo	5.4	21.8	Q945
Turks and Caicos Islands	2.9	12.1	Q18221
Uganda	2.5	10.9	Q1036
Ukraine	5.4	13.1	Q212
United Kingdom	5.5	13.8	Q145
Uruguay	4.8	14.9	Q77
Uzbekistan	5.3	23	Q265
Vanuatu	4.7	12.7	Q686
Vietnam	4.2	14.5	Q881
Zambia	4.7	17	Q953
Zimbabwe	4.6	19	Q954
