Country	Total	Women's share of population ages 15+ living with HIV	Youth, Male	Youth, Female	ID
Afghanistan	0.1	29	0.1	0.1	Q889
Albania	0.1	23	0.1	0.1	Q222
Algeria	0.1	46	0.1	0.1	Q262
Angola	1.9	70	0.4	1.2	Q916
Argentina	0.4	32	0.1	0.1	Q414
Armenia	0.2	35	0.1	0.1	Q399
Australia	0.1	12	0.1	0.1	Q408
Azerbaijan	0.1	34	0.1	0.1	Q227
Barbados	0.8	43	0.1	0.1	Q244
Belarus	0.5	45	0.1	0.1	Q184
Benin	1	61	0.2	0.4	Q962
Bolivia	0.2	31	0.1	0.1	Q750
Botswana	20.7	57	5	9.3	Q963
Bulgaria	0.1	20	0.1	0.1	Q219
Burkina Faso	0.7	61	0.3	0.4	Q965
Burundi	1	60	0.4	0.6	Q967
Cabo Verde	0.6	54	0.1	0.2	Q1011
Cambodia	0.5	52	0.1	0.1	Q424
Cameroon	3.1	67	0.6	1.4	Q1009
Central African Republic	3.5	60	0.9	1.4	Q929
Chad	1.2	61	0.4	0.6	Q657
Chile	0.5	18	0.2	0.1	Q298
Colombia	0.5	25	0.1	0.1	Q739
Comoros	0.1	43	0.1	0.1	Q970
Congo, Dem. Rep.	0.8	73	0.2	0.5	Q974
Congo, Rep.	3.1	68	0.6	2.2	Q971
Costa Rica	0.4	28	0.1	0.1	Q800
Cote d'Ivoire	2.4	66	0.6	1.1	Q1008
Cuba	0.4	18	0.1	0.1	Q241
Djibouti	0.8	56	0.4	0.4	Q977
Dominican Republic	0.9	48	0.3	0.3	Q786
Ecuador	0.4	31	0.1	0.1	Q736
Egypt, Arab Rep.	0.1	30	0.1	0.1	Q79
El Salvador	0.5	37	0.1	0.1	Q792
Equatorial Guinea	7.2	52	1.6	3.1	Q983
Eritrea	0.6	59	0.2	0.3	Q986
Eswatini	27	63	4.1	12.3	Q1050
Ethiopia	0.9	63	0.3	0.4	Q115
Fiji	0.2	32	0.1	0.1	Q712
Gabon	03.05	68	0.5	01.05	Q1000
Gambia, The	1.9	61	0.2	0.6	Q1005
Georgia	0.4	32	0.1	0.1	Q230
Ghana	1.7	66	0.3	1	Q117
Guatemala	0.3	41	0.1	0.1	Q774
Guinea	1.4	67	0.4	0.8	Q1006
Guinea-Bissau	3.4	63	0.7	1.2	Q1007
Guyana	1.4	49	0.2	0.3	Q734
Haiti	1.9	58	0.4	0.9	Q790
Honduras	0.3	39	0.1	0.1	Q783
Iran, Islamic Rep.	0.1	27	0.1	0.1	Q794
Ireland	0.2	29	0.1	0.1	Q27
Italy	0.2	29	0.1	0.1	Q38
Jamaica	1.4	36	0.4	0.3	Q766
Kazakhstan	0.3	33	0.1	0.1	Q232
Kenya	4.5	63	1.3	2.4	Q114
Kyrgyz Republic	0.2	34	0.1	0.1	Q813
Lao PDR	0.3	44	0.1	0.1	Q819
Latvia	0.5	31	0.1	0.1	Q211
Lebanon	0.1	15	0.1	0.1	Q822
Lesotho	22.8	59	4.5	10.1	Q1013
Liberia	1.5	59	0.6	1	Q1014
Libya	0.2	30	0.1	0.1	Q1016
Lithuania	0.2	25	0.1	0.1	Q37
Madagascar	0.3	47	0.1	0.1	Q1019
Malawi	8.9	60	2.1	4.2	Q1020
Malaysia	0.4	17	0.3	0.1	Q833
Mali	1.2	64	0.4	0.8	Q912
Mauritania	0.2	51	0.1	0.1	Q1025
Mauritius	1.2	30	0.3	0.2	Q1027
Moldova	0.7	38	0.2	0.1	Q217
Mongolia	0.1	19	0.1	0.1	Q711
Montenegro	0.1	12	0.1	0.1	Q236
Morocco	0.1	43	0.1	0.1	Q1028
Mozambique	12.4	62	2.8	7.1	Q1029
Myanmar	0.7	38	0.3	0.3	Q836
Namibia	11.5	63	2.7	4.8	Q1030
Nepal	0.1	40	0.1	0.1	Q837
Netherlands	0.2	17	0.1	0.1	Q55
New Zealand	0.1	16	0.1	0.1	Q664
