Country	average annual	ID
Afghanistan	1.1	Q889
Albania	5.3	Q222
Algeria	0	Q262
American Samoa	0	Q16641
Angola	1	Q916
Argentina	0.2	Q414
Armenia	0.5	Q399
Australia	3	Q408
Austria	0	Q40
Azerbaijan	1.1	Q227
Bangladesh	4.6	Q902
Belarus	0	Q184
Belgium	0	Q31
Belize	0.8	Q242
Benin	0.9	Q962
Bhutan	0	Q917
Bolivia	1.3	Q750
Bosnia and Herzegovina	0.5	Q225
Botswana	0.7	Q963
Brazil	0.5	Q155
Bulgaria	0	Q219
Burkina Faso	1.3	Q965
Burundi	2.4	Q967
Cambodia	6.6	Q424
Cameroon	0.1	Q1009
Canada	0	Q16
Cabo Verde	0	Q1011
Central African Republic	0.2	Q929
Chad	2.7	Q657
Chile	0.3	Q298
China	8	Q148
Hong Kong SAR, China	0	Q8646
Colombia	0.7	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0	Q974
Congo, Rep.	0.3	Q971
Costa Rica	0.7	Q800
Cote d'Ivoire	0	Q1008
Croatia	0	Q224
Cuba	0.7	Q241
Cyprus	0	Q229
Czech Republic	0.2	Q213
Denmark	0	Q35
Djibouti	6.8	Q977
Dominican Republic	0.1	Q786
Ecuador	0.3	Q736
Egypt, Arab Rep.	0	Q79
El Salvador	0.4	Q792
Eritrea	7.3	Q986
Estonia	0	Q191
Eswatini	9.2	Q1050
Ethiopia	3.3	Q115
Fiji	1.7	Q712
Finland	0	Q33
France	0	Q142
Gambia, The	0.2	Q1005
Georgia	0.8	Q230
Germany	0	Q183
Ghana	1	Q117
Greece	0	Q41
Guatemala	1.3	Q774
Guinea	0.2	Q1006
Guinea-Bissau	0.5	Q1007
Guyana	7.2	Q734
Haiti	0.8	Q790
Honduras	1.3	Q783
Hungary	0.1	Q28
India	4.4	Q668
Indonesia	0.2	Q252
Iran, Islamic Rep.	3.1	Q794
Iraq	0	Q796
Ireland	0	Q27
Israel	0	Q801
Italy	0	Q38
Jamaica	1.1	Q766
Japan	0	Q17
Jordan	0.4	Q810
Kazakhstan	0.2	Q232
Kenya	6.5	Q114
Kiribati	5	Q710
Korea, Dem. Peopleâ€™s Rep.	2.5	Q423
Korea, Rep.	0.1	Q884
Kuwait	0	Q817
Kyrgyz Republic	2.1	Q813
Lao PDR	2.7	Q819
Latvia	0	Q211
Lebanon	0	Q822
Lesotho	3.4	Q1013
Liberia	1.9	Q1014
Libya	0	Q1016
Lithuania	0	Q37
Luxembourg	0	Q32
North Macedonia	0.3	Q221
Madagascar	0.9	Q1019
Malawi	8.8	Q1020
Malaysia	0.1	Q833
Maldives	0	Q826
Mali	0.7	Q912
Marshall Islands	0.1	Q709
Mauritania	3.1	Q1025
Mauritius	0	Q1027
Mexico	0.1	Q96
Micronesia, Fed. Sts.	1.3	Q702
Moldova	0.3	Q217
Mongolia	2.6	Q711
Montenegro	0	Q236
Morocco	0.1	Q1028
Mozambique	3.7	Q1029
Myanmar	0.1	Q836
Namibia	3.4	Q1030
Nepal	0.7	Q837
Netherlands	0	Q55
New Zealand	0	Q664
Nicaragua	0.8	Q811
Niger	7.5	Q1032
Nigeria	0.1	Q1033
Norway	0	Q20
Pakistan	1.1	Q843
Panama	0.2	Q804
Papua New Guinea	0.7	Q691
Paraguay	0.7	Q733
Peru	2	Q419
Philippines	0.8	Q928
Poland	0	Q36
Portugal	0	Q45
Puerto Rico	0	Q1183
Romania	0.1	Q218
Russian Federation	0.1	Q159
Rwanda	1.3	Q1037
Samoa	0	Q683
Saudi Arabia	0	Q851
Senegal	0.6	Q1041
Serbia	0	Q403
Seychelles	0.1	Q1042
Sierra Leone	0.2	Q1044
Slovak Republic	0	Q214
Slovenia	0	Q215
Solomon Islands	0.1	Q685
Somalia	4.6	Q1045
South Africa	1.8	Q258
Spain	0.7	Q29
Sri Lanka	2.2	Q854
St. Vincent and the Grenadines	0	Q757
Sudan	2.8	Q1049
Suriname	0.3	Q730
Sweden	0	Q34
Switzerland	0	Q39
Syrian Arab Republic	0.5	Q858
Tajikistan	5.4	Q863
Tanzania	1.5	Q924
Thailand	3.8	Q869
Timor-Leste	0	Q574
Togo	0.5	Q945
Trinidad and Tobago	0	Q754
Tunisia	0.1	Q948
Turkey	0.1	Q43
Turkmenistan	0	Q874
Uganda	0.9	Q1036
Ukraine	0.3	Q212
United Kingdom	0	Q145
United States	0.2	Q30
Uruguay	0.3	Q77
Uzbekistan	0.1	Q265
Vanuatu	0.1	Q686
Venezuela, RB	0.2	Q717
Vietnam	1.6	Q881
Yemen, Rep.	0.1	Q805
Zambia	4.2	Q953
