Country	% 1990	% 2014	ID
Albania	37.7	22.1	Q222
Algeria	11.1	8.3	Q262
Angola	44.9	2020.8	Q916
Argentina	14.7	16.9	Q414
Armenia	19.2	11.1	Q399
Australia	16.5	11.5	Q408
Austria	17.1	17.7	Q40
Azerbaijan	30.4	7.5	Q227
Bahrain	0.3	7.3	Q398
Bangladesh	20.2	16.3	Q902
Belarus	8.4	9.4	Q184
Belgium	26.5	20.7	Q31
Benin	11.5	6.1	Q962
Bolivia	15	11.5	Q750
Bosnia and Herzegovina	24.6	9.8	Q225
Botswana	17.8	10	Q963
Brazil	25.3	20.6	Q155
Brunei Darussalam	3.7	5.1	Q921
Bulgaria	16.2	8.1	Q219
Cameroon	6.4	7.1	Q1009
Canada	18.2	12	Q16
Chile	21.7	18.7	Q298
China	35.9	31.7	Q148
Colombia	26.3	18.3	Q739
Congo, Dem. Rep.	28.8	2.8	Q974
Congo, Rep.	6.3	2.7	Q971
Costa Rica	26.2	13.7	Q800
Cote d'Ivoire	14.8	14.9	Q1008
Croatia	26.1	14.9	Q224
Cuba	31.6	29.9	Q241
Curacao	20.3	8.4	Q25279
Cyprus	20.3	11.6	Q229
Czech Republic	31.1	14	Q213
Denmark	10.7	10	Q35
Dominican Republic	10.8	11.6	Q786
Ecuador	18.1	13.3	Q736
Egypt, Arab Rep.	34.2	15.2	Q79
El Salvador	23.7	11.9	Q792
Eritrea	4.5	3.6	Q986
Estonia	12	4.9	Q191
Ethiopia	25.3	34.2	Q115
Finland	25.3	16.7	Q33
France	20.7	15.7	Q142
Gabon	15.4	33.5	Q1000
Georgia	22.1	21	Q230
Germany	16.6	12.4	Q183
Ghana	11.8	12.6	Q117
Gibraltar	0	0	Q1410
Greece	13.8	9.1	Q41
Guatemala	22.1	34.2	Q774
Haiti	19.4	2020.6	Q790
Honduras	34.9	9.7	Q783
Hong Kong SAR, China	9	16.7	Q8646
Hungary	21.4	15.6	Q28
Iceland	28.9	29.4	Q189
India	27.9	26.4	Q668
Indonesia	22.9	18.4	Q252
Iran, Islamic Rep.	21.8	16.7	Q794
Iraq	14.9	7.9	Q796
Ireland	13.3	10.6	Q27
Israel	9.7	4.5	Q801
Italy	19	11.2	Q38
Jamaica	51.7	35.7	Q766
Japan	25.8	19.2	Q17
Jordan	14	9.8	Q810
Kazakhstan	34.1	18.7	Q232
Kenya	25.5	23.8	Q114
Korea, Dem. Peopleâ€™s Rep.	67.6	61.5	Q423
Korea, Rep.	22.2	13.7	Q884
Kuwait	14.6	16.7	Q817
Kyrgyz Republic	37.1	19.6	Q813
Latvia	13.6	12.6	Q211
Lebanon	6	4.9	Q822
Libya	8.1	4.1	Q1016
Lithuania	19	11.2	Q37
Luxembourg	47.3	9.3	Q32
North Macedonia	19	15.1	Q221
Malaysia	28.3	13	Q833
Malta	0	1.3	Q233
Mauritius	13.8	8.3	Q1027
Mexico	20.7	13.4	Q96
Moldova	6.7	12.7	Q217
Mongolia	21.9	11.8	Q711
Morocco	27.4	13.6	Q1028
Mozambique	12	15.5	Q1029
Myanmar	24.8	2020.5	Q836
Namibia	0.9	9.2	Q1030
Nepal	22.5	32.7	Q837
Netherlands	16	14.7	Q55
New Zealand	27.2	21.7	Q664
Nicaragua	17.4	12.3	Q811
Nigeria	13.6	12.2	Q1033
Norway	22.7	16.1	Q20
Oman	21.3	37.4	Q842
Pakistan	29.8	23.8	Q843
Panama	19.9	24.4	Q804
Paraguay	7.8	2.9	Q733
Peru	21.3	17.5	Q419
Philippines	27.3	14.5	Q928
Poland	12.4	10.3	Q36
Portugal	21.3	12.9	Q45
Qatar	25.2	17.8	Q846
Romania	35.9	18.2	Q218
Russian Federation	11.6	12.3	Q159
Saudi Arabia	18.6	24.1	Q851
Senegal	11.3	18.3	Q1041
Serbia	15.8	9.3	Q403
Singapore	1.5	24.9	Q334
Slovak Republic	28.9	24.6	Q214
Slovenia	19.4	13.2	Q215
South Africa	22.2	12.6	Q258
Spain	20.3	14.3	Q29
Sri Lanka	10.9	5.9	Q854
Sudan	12.7	13.1	Q1049
Sweden	22.8	17.4	Q34
Switzerland	16	13.6	Q39
Syrian Arab Republic	10.9	13.5	Q858
Tajikistan	0	1.5	Q863
Tanzania	20.4	15.5	Q924
Thailand	18.2	20.9	Q869
Togo	3.4	9.3	Q945
Trinidad and Tobago	21.6	22.4	Q754
Tunisia	27.8	21.3	Q948
Turkey	25.7	14.6	Q43
Turkmenistan	1.6	3.5	Q874
Ukraine	28.3	23.5	Q212
United Arab Emirates	51.3	36.9	Q878
United Kingdom	14	9.6	Q145
United States	12.6	8.7	Q30
Uruguay	15.6	12.8	Q77
Uzbekistan	0	13.7	Q265
Venezuela, RB	25.1	27.6	Q717
Vietnam	32.6	33.8	Q881
Yemen, Rep.	0	2020.8	Q805
Zambia	50.4	46.7	Q953
Zimbabwe	29.2	9	Q954
