Country	Most recent year	Tariff	ID
Albania	2017	0.9	Q222
Angola	2016	9.4	Q916
Antigua and Barbuda	2017	12.7	Q781
Argentina	2017	7.9	Q414
Armenia	2017	2.2	Q399
Australia	2017	0.9	Q408
Austria	2017	1.8	Q40
Bahrain	2017	7.8	Q398
Bangladesh	2016	10.7	Q902
Barbados	2013	14.2	Q244
Belgium	2017	1.8	Q31
Belize	2017	10.4	Q242
Benin	2017	17.8	Q962
Bolivia	2017	6.1	Q750
Botswana	2017	1.1	Q963
Brazil	2017	8.6	Q155
Brunei Darussalam	2017	0	Q921
Bulgaria	2017	1.8	Q219
Burkina Faso	2017	9.1	Q965
Burundi	2016	5.9	Q967
Cabo Verde	2015	10.9	Q1011
Cambodia	2016	9.8	Q424
Cameroon	2014	12.7	Q1009
Canada	2017	1.5	Q16
Central African Republic	2017	16.4	Q929
Chad	2016	16.4	Q657
Chile	2017	0.5	Q298
China	2017	3.8	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	4.4	Q739
Congo, Dem. Rep.	2014	10.2	Q974
Congo, Rep.	2015	11.6	Q971
Costa Rica	2016	1.8	Q800
Cote d'Ivoire	2017	10.3	Q1008
Croatia	2017	1.8	Q224
Cuba	2017	7.2	Q241
Czech Republic	2017	1.8	Q213
Denmark	2017	1.8	Q35
Djibouti	2014	17.6	Q977
Dominica	2017	8.3	Q784
Dominican Republic	2017	4.2	Q786
Ecuador	2017	7	Q736
Egypt, Arab Rep.	2017	7.4	Q79
El Salvador	2017	2.1	Q792
Estonia	2017	1.8	Q191
Fiji	2017	16.1	Q712
Finland	2017	1.8	Q33
France	2017	1.8	Q142
Gabon	2016	16.9	Q1000
Gambia, The	2013	12.7	Q1005
Georgia	2016	0.7	Q230
Germany	2017	1.8	Q183
Ghana	2017	10.6	Q117
Greece	2017	1.8	Q41
Grenada	2016	12.4	Q769
Guatemala	2015	1.4	Q774
Guinea	2017	12.3	Q1006
Guinea-Bissau	2017	15.5	Q1007
Guyana	2017	6.6	Q734
Haiti	2016	6.5	Q790
Honduras	2015	2.8	Q783
Hungary	2017	1.8	Q28
Iceland	2017	1.6	Q189
India	2017	5.8	Q668
Indonesia	2017	2.1	Q252
Ireland	2017	1.8	Q27
Israel	2017	1.9	Q801
Italy	2017	1.8	Q38
Jamaica	2016	10.8	Q766
Japan	2017	2.5	Q17
Jordan	2017	4.4	Q810
Kazakhstan	2017	2.4	Q232
Kenya	2016	12.3	Q114
Korea, Rep.	2017	5.1	Q884
Kuwait	2017	4.3	Q817
Kyrgyz Republic	2017	2.9	Q813
Lao PDR	2017	1.5	Q819
Latvia	2017	1.8	Q211
Lesotho	2017	1.4	Q1013
Lithuania	2017	1.8	Q37
Luxembourg	2017	1.8	Q32
North Macedonia	2017	1.9	Q221
Madagascar	2017	6.8	Q1019
Malawi	2016	4.8	Q1020
Malaysia	2016	4	Q833
Maldives	2017	12	Q826
Mali	2017	10	Q912
Malta	2017	1.8	Q233
Mauritania	2015	8.7	Q1025
Mauritius	2017	0.9	Q1027
Mexico	2017	1.2	Q96
Moldova	2016	3.5	Q217
Mongolia	2017	5.5	Q711
Montenegro	2017	3.1	Q236
Morocco	2017	3.9	Q1028
Mozambique	2016	3.6	Q1029
Myanmar	2015	1.7	Q836
Namibia	2017	0.9	Q1030
Nepal	2016	12.4	Q837
Netherlands	2017	1.8	Q55
New Zealand	2017	1.4	Q664
Nicaragua	2017	2.3	Q811
Niger	2017	11.9	Q1032
Nigeria	2016	8.5	Q1033
Norway	2017	3.1	Q20
Oman	2017	1.7	Q842
Pakistan	2016	10.1	Q843
Panama	2015	5.4	Q804
Papua New Guinea	2013	2.6	Q691
Paraguay	2017	4.8	Q733
Peru	2017	0.8	Q419
Philippines	2017	1.7	Q928
Poland	2017	1.8	Q36
Portugal	2017	1.8	Q45
Qatar	2017	4.2	Q846
Romania	2017	1.8	Q218
Russian Federation	2017	3.6	Q159
Rwanda	2016	7.3	Q1037
Samoa	2017	10.2	Q683
Saudi Arabia	2017	4.9	Q851
Senegal	2017	12.3	Q1041
Seychelles	2017	3.7	Q1042
Sierra Leone	2012	10.3	Q1044
Singapore	2017	0.1	Q334
Slovak Republic	2017	1.8	Q214
Slovenia	2017	1.8	Q215
Solomon Islands	2017	18.5	Q685
South Africa	2017	4.6	Q258
Spain	2017	1.8	Q29
Sri Lanka	2017	8.7	Q854
St. Kitts and Nevis	2017	21.1	Q763
St. Lucia	2016	9.3	Q760
St. Vincent and the Grenadines	2017	8.9	Q757
Suriname	2013	7.6	Q730
Eswatini	2017	0.7	Q1050
Sweden	2017	1.8	Q34
Switzerland	2017	1.7	Q39
Tajikistan	2017	5	Q863
Tanzania	2016	8.6	Q924
Thailand	2015	3.5	Q869
Togo	2017	13.4	Q945
Tonga	2017	5.5	Q678
Trinidad and Tobago	2013	8.6	Q754
Tunisia	2016	9.4	Q948
Turkey	2017	3.5	Q43
Uganda	2016	7.3	Q1036
Ukraine	2017	1.9	Q212
United Arab Emirates	2017	4.8	Q878
United Kingdom	2017	1.8	Q145
United States	2017	1.7	Q30
Uruguay	2017	6.3	Q77
Vanuatu	2017	8.3	Q686
Venezuela, RB	2017	11	Q717
Vietnam	2017	2.7	Q881
Yemen, Rep.	2017	5	Q805
Zambia	2016	6.2	Q953
Zimbabwe	2016	5	Q954
