Country	Capacity (2004)	Capacity (2019)	ID
Afghanistan	24.4	50	Q889
Albania	76.7	78.9	Q222
Algeria	54.4	52.2	Q262
Angola	41.1	48.9	Q916
Antigua and Barbuda	36.7	47.8	Q781
Argentina	92.2	80	Q414
Armenia	77.8	93.3	Q399
Azerbaijan	76.7	76.7	Q227
Bangladesh	70	62.2	Q902
Belarus	80	86.7	Q184
Belize	66.7	63.3	Q242
Benin	53.3	68.9	Q962
Bhutan	57.8	63.3	Q917
Bolivia	68.9	66.7	Q750
Bosnia and Herzegovina	50	64.4	Q225
Botswana	72.2	51.1	Q963
Brazil	83.3	84.4	Q155
Bulgaria	86.7	84.4	Q219
Burkina Faso	67.8	62.2	Q965
Burundi	43.3	67.8	Q967
Cambodia	64.4	60	Q424
Cameroon	51.1	56.7	Q1009
Cabo Verde	68.9	64.4	Q1011
Central African Republic	40	35.6	Q929
Chad	60	50	Q657
Chile	91.1	90	Q298
China	64.4	80	Q148
Colombia	86.7	81.1	Q739
Comoros	56.7	47.8	Q970
Congo, Dem. Rep.	32.2	41.1	Q974
Congo, Rep.	42.2	45.6	Q971
Costa Rica	82.2	91.1	Q800
Cote d'Ivoire	80	70	Q1008
Croatia	95.6	81.1	Q224
Djibouti	50	58.9	Q977
Dominica	60	50	Q784
Dominican Republic	71.1	70	Q786
Ecuador	82.2	66.7	Q736
Egypt, Arab Rep.	77.8	85.6	Q79
El Salvador	74.4	88.9	Q792
Equatorial Guinea	34.4	36.7	Q983
Eritrea	37.8	27.8	Q986
Ethiopia	66.7	61.1	Q115
Fiji	53.3	57.8	Q712
Gabon	44.4	43.3	Q1000
Gambia, The	63.3	71.1	Q1005
Georgia	76.7	87.8	Q230
Ghana	51.1	77.8	Q117
Grenada	52.2	57.8	Q769
Guatemala	80	67.8	Q774
Guinea	66.7	58.9	Q1006
Guinea-Bissau	37.8	57.8	Q1007
Guyana	55.6	50	Q734
Haiti	37.8	46.7	Q790
Honduras	62.2	56.7	Q783
Hungary	90	50	Q28
India	78.9	75.6	Q668
Indonesia	86.7	88.9	Q252
Iran, Islamic Rep.	64.4	78.9	Q794
Iraq	32.2	34.4	Q796
Jamaica	76.7	61.1	Q766
Jordan	68.9	82.2	Q810
Kazakhstan	86.7	86.7	Q232
Kenya	64.4	57.8	Q114
Kiribati	32.2	40	Q710
Kyrgyz Republic	87.8	96.7	Q813
Lao PDR	68.9	67.8	Q819
Lebanon	42.2	44.4	Q822
Lesotho	71.1	67.8	Q1013
Liberia	16.7	54.4	Q1014
Libya	28.9	27.8	Q1016
North Macedonia	76.7	75.6	Q221
Madagascar	63.3	55.6	Q1019
Malawi	67.8	73.3	Q1020
Malaysia	75.6	78.9	Q833
Maldives	71.1	64.4	Q826
Mali	55.6	67.8	Q912
Marshall Islands	32.2	32.2	Q709
Mauritania	55.6	54.4	Q1025
Mauritius	70	85.6	Q1027
Mexico	74.4	93.3	Q96
Micronesia, Fed. Sts.	30	41.1	Q702
Moldova	74.4	91.1	Q217
Mongolia	72.2	91.1	Q711
Montenegro	53.3	85.6	Q236
Morocco	80	66.7	Q1028
Mozambique	67.8	64.4	Q1029
Myanmar	60	74.4	Q836
Namibia	58.9	50	Q1030
Nepal	72.2	74.4	Q837
Nicaragua	78.9	51.1	Q811
Niger	64.4	67.8	Q1032
Nigeria	44.4	56.7	Q1033
Pakistan	73.3	71.1	Q843
Palau	36.7	48.9	Q695
Panama	75.6	73.3	Q804
Papua New Guinea	46.7	52.2	Q691
Paraguay	58.9	65.6	Q733
Peru	93.3	80	Q419
Philippines	81.1	81.1	Q928
Poland	83.3	82.2	Q36
Romania	88.9	78.9	Q218
Russian Federation	75.6	82.2	Q159
Rwanda	61.1	65.6	Q1037
Samoa	55.6	60	Q683
Sao Tome and Principe	51.1	63.3	Q1039
Senegal	78.9	80	Q1041
Serbia	53.3	88.9	Q403
Seychelles	61.1	72.2	Q1042
Sierra Leone	30	55.6	Q1044
Slovak Republic	88.9	50	Q214
Solomon Islands	31.1	48.9	Q685
Somalia	22.2	26.7	Q1045
South Africa	86.7	75.6	Q258
Sri Lanka	75.6	81.1	Q854
St. Kitts and Nevis	54.4	44.4	Q763
St. Lucia	60	58.9	Q760
St. Vincent and the Grenadines	60	60	Q757
Sudan	35.6	71.1	Q1049
Suriname	50	71.1	Q730
Eswatini	65.6	66.7	Q1050
Syrian Arab Republic	57.8	26.7	Q858
Tajikistan	72.2	73.3	Q863
Tanzania	67.8	62.2	Q924
Thailand	82.2	80	Q869
Timor-Leste	32.2	67.8	Q574
Togo	52.2	74.4	Q945
Tonga	53.3	56.7	Q678
Trinidad and Tobago	63.3	47.8	Q754
Tunisia	72.2	71.1	Q948
Turkey	82.2	81.1	Q43
Turkmenistan	48.9	34.4	Q874
Uganda	60	67.8	Q1036
Ukraine	83.3	72.2	Q212
Uruguay	82.2	77.8	Q77
Uzbekistan	57.8	64.4	Q265
Vanuatu	44.4	48.9	Q686
Venezuela, RB	80	57.8	Q717
Vietnam	71.1	78.9	Q881
Yemen, Rep.	56.7	38.9	Q805
Zambia	65.6	55.6	Q953
Zimbabwe	57.8	56.7	Q954
