Country	Exports (2007)	Exports (2017)	ID
American Samoa	32.3	35.3	Q16641
Cambodia	1.1	2.6	Q424
China	15.3	19.3	Q148
Fiji	1.2	2.5	Q712
Indonesia	12.2	17.9	Q252
Korea, Dem. Peopleâ€™s Rep.	72.3	12.4	Q423
Lao PDR	0.5	5.3	Q819
Malaysia	9.4	11.3	Q833
Marshall Islands	2	5.0	Q709
Micronesia, Fed. Sts.	9.7	4.0	Q702
Mongolia	3.8	1.4	Q711
Myanmar	17.8	8.9	Q836
Palau	12.2	9.2	Q695
Papua New Guinea	0.7	4.4	Q691
Philippines	2.1	3.1	Q928
Samoa	0.3	1.8	Q683
Solomon Islands	2.9	4.4	Q685
Thailand	10.3	11.5	Q869
Timor-Leste	23.2	1.7	Q574
Tonga	1.4	0.3	Q678
Tuvalu	74.9	50.5	Q672
Vanuatu	10.1	26.3	Q686
Vietnam	5.3	9.0	Q881
Albania	3.9	4.1	Q222
Armenia	4.9	17.2	Q399
Azerbaijan	19.4	11.7	Q227
Belarus	6.6	8.1	Q184
Bosnia and Herzegovina	1.2	1.9	Q225
Bulgaria	5.5	9.3	Q219
Georgia	5	13.7	Q230
Kazakhstan	18.5	16.9	Q232
Kosovo	10	16.1	Q1246
Kyrgyz Republic	18.9	7.0	Q813
Lithuania	27.7	29.8	Q37
North Macedonia	0.4	1.8	Q221
Moldova	1.2	3.3	Q217
Montenegro	0.3	3.0	Q236
Romania	5.5	8.3	Q218
Russian Federation	10.4	21.5	Q159
Serbia	1.7	2.5	Q403
Tajikistan	8	39.4	Q863
Turkey	14.1	22.5	Q43
Turkmenistan	5.1	83.9	Q874
Ukraine	16	27.5	Q212
Uzbekistan	54.9	24.6	Q265
Antigua and Barbuda	17	28.2	Q781
Argentina	25.8	33.2	Q414
Belize	0.2	3.8	Q242
Bolivia	1.8	13.6	Q750
Brazil	20.1	37.7	Q155
Chile	40.1	50.7	Q298
Colombia	4.5	10.6	Q739
Costa Rica	11.6	3.0	Q800
Cuba	15.9	26.0	Q241
Dominica	14	2.7	Q784
Dominican Republic	3.5	8.1	Q786
Ecuador	4.6	20.2	Q736
El Salvador	1.4	2.6	Q792
Grenada	1.8	5.5	Q769
Guatemala	2.7	6.1	Q774
Guyana	5.9	5.5	Q734
Haiti	3.1	2.4	Q790
Honduras	1	2.3	Q783
Jamaica	10.7	9.9	Q766
Mexico	1.6	3.3	Q96
Nicaragua	1.2	1.2	Q811
Panama	21.4	38.7	Q804
Paraguay	8.8	14.7	Q733
Peru	14.2	34.2	Q419
St. Kitts and Nevis	13	15.6	Q763
St. Lucia	1.2	4.8	Q760
St. Vincent and the Grenadines	9.8	48.0	Q757
Suriname	1.9	2.9	Q730
Uruguay	54.3	59.9	Q77
Venezuela, RB	6.6	33.6	Q717
Algeria	12.4	17.6	Q262
Djibouti	67.9	63.1	Q977
Egypt, Arab Rep.	19.9	14.1	Q79
Iran, Islamic Rep.	44.8	60.6	Q794
Iraq	22.5	46.6	Q796
Jordan	15.3	18.8	Q810
Lebanon	19.2	33.4	Q822
Libya	11.5	12.4	Q1016
Morocco	16.1	22.9	Q1028
Syrian Arab Republic	7.9	14.7	Q858
Tunisia	5.6	7.4	Q948
West Bank and Gaza	0.2	1.1	Q407199
Yemen, Rep.	62.9	33.0	Q805
Afghanistan	40.8	12.8	Q889
Bangladesh	5	8.2	Q902
Bhutan	4.1	0.4	Q917
India	29.1	28.8	Q668
Maldives	43.4	50.0	Q826
Nepal	1.8	10.8	Q837
Pakistan	18.1	23.3	Q843
Sri Lanka	12.2	19.0	Q854
Angola	67.9	72.6	Q916
Benin	50.7	65.5	Q962
Botswana	2	19.5	Q963
Burkina Faso	0.9	12.0	Q965
Burundi	9.3	16.1	Q967
Cabo Verde	15.2	1.7	Q1011
Cameroon	9.9	30.7	Q1009
Central African Republic	15.8	17.8	Q929
Chad	4.7	32.8	Q657
Comoros	17	27.2	Q970
Congo, Dem. Rep.	44.7	44.7	Q974
Congo, Rep.	56.2	40.5	Q971
Cote d'Ivoire	9.5	20.4	Q1008
Eritrea	34.3	69.4	Q986
Ethiopia	20.9	18.3	Q115
Gabon	17.6	41.6	Q1000
Gambia, The	3.4	48.3	Q1005
Ghana	8.9	43.5	Q117
Guinea	10.7	48.2	Q1006
Guinea-Bissau	14.8	89.4	Q1007
Kenya	17.6	24.1	Q114
Lesotho	0.6	0.2	Q1013
Liberia	2.1	2.1	Q1014
Madagascar	5.5	14.4	Q1019
Malawi	14.1	20.5	Q1020
Mali	12.1	14.1	Q912
Mauritania	9.4	43.5	Q1025
Mauritius	2.7	7.6	Q1027
Mozambique	3.4	42.6	Q1029
Namibia	3.3	5.7	Q1030
Niger	3.7	31.9	Q1032
Nigeria	21.1	44.5	Q1033
Rwanda	1.2	1.4	Q1037
Sao Tome and Principe	23.9	3.7	Q1039
Senegal	9.6	12.8	Q1041
Seychelles	1.6	8.5	Q1042
Sierra Leone	17.6	28.4	Q1044
Somalia	50.4	20.8	Q1045
South Africa	15.1	20.8	Q258
Sudan	2.1	19.7	Q1049
Eswatini	2.3	13.4	Q1050
Tanzania	15.9	38.0	Q924
Togo	18.9	14.7	Q945
Uganda	3.4	7.8	Q1036
Zambia	18.4	18.3	Q953
Zimbabwe	5.4	0.1	Q954
