Country	Male	Female	ID
Afghanistan	103	67	Q889
Albania	99	105	Q222
Algeria	105	106	Q262
Antigua and Barbuda	93	99	Q781
Argentina	100	100	Q414
Armenia	90	90	Q399
Austria	99	100	Q40
Azerbaijan	100	101	Q227
Bahamas, The	78	75	Q778
Bahrain	97	99	Q398
Barbados	88	90	Q244
Belarus	105	105	Q184
Belize	105	104	Q242
Benin	85	76	Q962
Bhutan	96	104	Q917
Bolivia	95	94	Q750
Brunei Darussalam	108	108	Q921
Bulgaria	90	89	Q219
Burkina Faso	63	68	Q965
Burundi	58	68	Q967
Cabo Verde	85	89	Q1011
Cambodia	86	90	Q424
Cameroon	68	61	Q1009
Central African Republic	49	33	Q929
Chad	50	33	Q657
Chile	95	94	Q298
Hong Kong SAR, China	103	106	Q8646
Macao SAR, China	99	103	Q14773
Colombia	107	106	Q739
Comoros	76	77	Q970
Congo, Dem. Rep.	69	70	Q974
Costa Rica	98	99	Q800
Cote d'Ivoire	78	65	Q1008
Croatia	97	95	Q224
Cuba	84	85	Q241
Cyprus	101	101	Q229
Czech Republic	98	98	Q213
Denmark	105	103	Q35
Djibouti	64	70	Q977
Dominica	112	116	Q784
Dominican Republic	94	93	Q786
Ecuador	104	105	Q736
Egypt, Arab Rep.	100	102	Q79
El Salvador	87	86	Q792
Equatorial Guinea	40	42	Q983
Eritrea	64	56	Q986
Estonia	97	97	Q191
Eswatini	95	97	Q1050
Ethiopia	55	53	Q115
Fiji	108	106	Q712
Finland	102	101	Q33
Gambia, The	67	72	Q1005
Georgia	95	96	Q230
Germany	99	99	Q183
Ghana	93	95	Q117
Greece	98	96	Q41
Grenada	125	121	Q769
Guatemala	80	79	Q774
Guinea	68	51	Q1006
Honduras	81	83	Q783
Hungary	105	105	Q28
India	90	93	Q668
Indonesia	103	102	Q252
Iran, Islamic Rep.	100	99	Q794
Israel	105	106	Q801
Italy	99	99	Q38
Jamaica	86	85	Q766
Jordan	73	72	Q810
Kazakhstan	109	112	Q232
Kenya	99	100	Q114
Kiribati	99	103	Q710
Korea, Dem. Peopleâ€™s Rep.	101	102	Q423
Korea, Rep.	92	91	Q884
Kuwait	87	98	Q817
Kyrgyz Republic	105	104	Q813
Lao PDR	99	97	Q819
Latvia	100	99	Q211
Lesotho	78	94	Q1013
Liberia	63	58	Q1014
Liechtenstein	96	85	Q347
Lithuania	102	102	Q37
Luxembourg	79	82	Q32
Madagascar	63	68	Q1019
Malaysia	98	101	Q833
Maldives	102	92	Q826
Mali	52	47	Q912
Malta	104	100	Q233
Marshall Islands	69	73	Q709
Mauritania	73	80	Q1025
Mauritius	100	102	Q1027
Mexico	104	104	Q96
Moldova	90	89	Q217
Mongolia	102	102	Q711
Montenegro	95	94	Q236
Morocco	93	94	Q1028
Mozambique	55	49	Q1029
Myanmar	96	95	Q836
Namibia	91	97	Q1030
Nepal	118	123	Q837
Niger	78	65	Q1032
North Macedonia	91	91	Q221
Norway	101	101	Q20
Oman	98	103	Q842
Pakistan	77	64	Q843
Panama	91	89	Q804
Papua New Guinea	82	72	Q691
Peru	98	94	Q419
Philippines	108	110	Q928
Poland	105	108	Q36
Puerto Rico	76	82	Q1183
Qatar	97	94	Q846
Romania	92	92	Q218
Russian Federation	96	97	Q159
Rwanda	79	94	Q1037
Samoa	106	104	Q683
San Marino	92	125	Q238
Sao Tome and Principe	82	87	Q1039
Saudi Arabia	97	97	Q851
Senegal	52	62	Q1041
Serbia	99	99	Q403
Seychelles	99	105	Q1042
Sierra Leone	81	83	Q1044
Singapore	99	99	Q334
Slovak Republic	92	92	Q214
Slovenia	96	95	Q215
Solomon Islands	84	90	Q685
South Africa	86	88	Q258
Spain	100	101	Q29
Sri Lanka	104	102	Q854
St. Kitts and Nevis	97	99	Q763
St. Lucia	97	92	Q760
St. Vincent and the Grenadines	100	111	Q757
Sudan	63	60	Q1049
Suriname	80	90	Q730
Sweden	106	104	Q34
Switzerland	96	99	Q39
Tajikistan	95	95	Q863
Tanzania	65	73	Q924
Thailand	93	94	Q869
Timor-Leste	101	106	Q574
Togo	92	87	Q945
Tunisia	90	100	Q948
Turkey	90	90	Q43
Tuvalu	88	69	Q672
Uganda	52	54	Q1036
United Arab Emirates	103	104	Q878
United Kingdom	100	100	Q145
United States	100	97	Q30
Uruguay	105	104	Q77
Uzbekistan	104	102	Q265
Venezuela, RB	92	93	Q717
Vietnam	109	112	Q881
West Bank and Gaza	96	97	Q407199
Yemen, Rep.	80	65	Q805
