Country	Rents %	ID
Afghanistan	0.2	Q889
Albania	0	Q222
Algeria	0	Q262
American Samoa	0	Q16641
Angola	0	Q916
Antigua and Barbuda	0	Q781
Argentina	0	Q414
Armenia	0	Q399
Aruba	0	Q21203
Australia	0.6	Q408
Austria	0	Q40
Azerbaijan	0	Q227
Bahamas, The	0	Q778
Bahrain	0	Q398
Bangladesh	0	Q902
Barbados	0	Q244
Belarus	0	Q184
Belgium	0	Q31
Belize	0	Q242
Benin	0	Q962
Bermuda	0	Q23635
Bhutan	0	Q917
Bolivia	0	Q750
Bosnia and Herzegovina	0.2	Q225
Botswana	0.3	Q963
Brazil	0	Q155
Brunei Darussalam	0	Q921
Bulgaria	0.1	Q219
Burkina Faso	0	Q965
Burundi	0	Q967
Cambodia	0	Q424
Cameroon	0	Q1009
Canada	0.1	Q16
Cabo Verde	0	Q1011
Central African Republic	0	Q929
Chad	0	Q657
Chile	0	Q298
China	0.4	Q148
Hong Kong SAR, China	0	Q8646
Macao SAR, China	0	Q14773
Colombia	0.6	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0	Q974
Congo, Rep.	0	Q971
Costa Rica	0	Q800
Cote d'Ivoire	0	Q1008
Croatia	0	Q224
Cuba	0	Q241
Cyprus	0	Q229
Czech Republic	0.1	Q213
Denmark	0	Q35
Djibouti	0	Q977
Dominica	0	Q784
Dominican Republic	0	Q786
Ecuador	0	Q736
Egypt, Arab Rep.	0	Q79
El Salvador	0	Q792
Equatorial Guinea	0	Q983
Estonia	0	Q191
Eswatini	0.1	Q1050
Ethiopia	0	Q115
Faroe Islands	0	Q4628
Fiji	0	Q712
Finland	0	Q33
France	0	Q142
Gabon	0	Q1000
Gambia, The	0	Q1005
Georgia	0	Q230
Germany	0	Q183
Ghana	0	Q117
Greece	0	Q41
Greenland	0	Q223
Grenada	0	Q769
Guam	0	Q16635
Guatemala	0	Q774
Guinea	0	Q1006
Guinea-Bissau	0	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	0	Q783
Hungary	0	Q28
Iceland	0	Q189
India	0.8	Q668
Indonesia	0.6	Q252
Iran, Islamic Rep.	0	Q794
Iraq	0	Q796
Ireland	0	Q27
Israel	0	Q801
Italy	0	Q38
Jamaica	0	Q766
Japan	0	Q17
Jordan	0	Q810
Kazakhstan	0.8	Q232
Kenya	0	Q114
Kiribati	0	Q710
Korea, Rep.	0	Q884
Kosovo	0.3	Q1246
Kuwait	0	Q817
Kyrgyz Republic	0.1	Q813
Lao PDR	0.2	Q819
Latvia	0	Q211
Lebanon	0	Q822
Lesotho	0	Q1013
Liberia	0	Q1014
Libya	0	Q1016
Lithuania	0	Q37
Luxembourg	0	Q32
North Macedonia	0.1	Q221
Madagascar	0	Q1019
Malawi	0	Q1020
Malaysia	0	Q833
Maldives	0	Q826
Mali	0	Q912
Malta	0	Q233
Mauritania	0	Q1025
Mauritius	0	Q1027
Mexico	0	Q96
Moldova	0	Q217
Mongolia	4.4	Q711
Montenegro	0.1	Q236
Morocco	0	Q1028
Mozambique	1.9	Q1029
Myanmar	0	Q836
Namibia	0	Q1030
Nepal	0	Q837
Netherlands	0	Q55
New Zealand	0	Q664
Nicaragua	0	Q811
Niger	0	Q1032
Nigeria	0	Q1033
Norway	0	Q20
Oman	0	Q842
Pakistan	0	Q843
Panama	0	Q804
Papua New Guinea	0	Q691
Paraguay	0	Q733
Peru	0	Q419
Philippines	0	Q928
Poland	0.2	Q36
Portugal	0	Q45
Puerto Rico	0	Q1183
Qatar	0	Q846
Romania	0	Q218
Russian Federation	0.4	Q159
Rwanda	0	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Saudi Arabia	0	Q851
Senegal	0	Q1041
Serbia	0.2	Q403
Seychelles	0	Q1042
Sierra Leone	0	Q1044
Singapore	0	Q334
Slovak Republic	0	Q214
Slovenia	0	Q215
Solomon Islands	0	Q685
Somalia	0	Q1045
South Africa	1.9	Q258
South Sudan	0	Q958
Spain	0	Q29
Sri Lanka	0	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	0	Q1049
Suriname	0	Q730
Sweden	0	Q34
Switzerland	0	Q39
Tajikistan	0.2	Q863
Tanzania	0	Q924
Thailand	0	Q869
Timor-Leste	0	Q574
Togo	0	Q945
Tonga	0	Q678
Trinidad and Tobago	0	Q754
Tunisia	0	Q948
Turkey	0	Q43
Turkmenistan	0	Q874
Uganda	0	Q1036
Ukraine	0.5	Q212
United Arab Emirates	0	Q878
United Kingdom	0	Q145
United States	0.1	Q30
Uruguay	0	Q77
Uzbekistan	0	Q265
Vanuatu	0	Q686
Venezuela, RB	0	Q717
Vietnam	0.3	Q881
Virgin Islands (U.S.)	0	Q11703
West Bank and Gaza	0	Q407199
Yemen, Rep.	0	Q805
Zambia	0	Q953
Zimbabwe	0.2	Q954
