Country	Measles	DTP3	ID
Afghanistan	64	66	Q889
Albania	95	99	Q222
Algeria	80	91	Q262
Andorra	99	99	Q228
Angola	51	57	Q916
Antigua and Barbuda	93	95	Q781
Argentina	94	86	Q414
Armenia	95	92	Q399
Australia	95	95	Q408
Austria	94	85	Q40
Azerbaijan	98	94	Q227
Bahamas, The	85	86	Q778
Bahrain	99	99	Q398
Bangladesh	97	98	Q902
Barbados	92	90	Q244
Belarus	98	98	Q184
Belgium	96	98	Q31
Belize	96	98	Q242
Benin	71	76	Q962
Bhutan	97	97	Q917
Bolivia	79	75	Q750
Bosnia and Herzegovina	68	73	Q225
Botswana	97	95	Q963
Brazil	91	73	Q155
Brunei Darussalam	97	99	Q921
Bulgaria	93	92	Q219
Burkina Faso	88	91	Q965
Burundi	92	93	Q967
Cabo Verde	98	96	Q1011
Cambodia	84	92	Q424
Cameroon	60	67	Q1009
Canada	90	91	Q16
Central African Republic	49	47	Q929
Chad	41	50	Q657
Chile	95	96	Q298
China	99	99	Q148
Colombia	95	92	Q739
Comoros	90	91	Q970
Congo, Dem. Rep.	57	57	Q974
Congo, Rep.	73	79	Q971
Costa Rica	95	95	Q800
Cote d'Ivoire	76	84	Q1008
Croatia	93	94	Q224
Cuba	99	99	Q241
Cyprus	86	96	Q229
Czech Republic	92	97	Q213
Denmark	96	97	Q35
Djibouti	83	85	Q977
Dominica	92	99	Q784
Dominican Republic	96	89	Q786
Ecuador	83	85	Q736
Egypt, Arab Rep.	95	95	Q79
El Salvador	82	81	Q792
Equatorial Guinea	53	53	Q983
Eritrea	99	95	Q986
Estonia	88	91	Q191
Eswatini	81	90	Q1050
Ethiopia	58	69	Q115
Fiji	96	99	Q712
Finland	96	91	Q33
France	90	96	Q142
Gabon	62	70	Q1000
Gambia, The	85	88	Q1005
Georgia	99	94	Q230
Germany	97	93	Q183
Ghana	92	97	Q117
Greece	97	99	Q41
Grenada	94	92	Q769
Guatemala	90	85	Q774
Guinea	47	47	Q1006
Guinea-Bissau	86	84	Q1007
Guyana	98	99	Q734
Haiti	65	51	Q790
Honduras	87	87	Q783
Hungary	99	99	Q28
Iceland	93	91	Q189
India	95	91	Q668
Indonesia	88	85	Q252
Iran, Islamic Rep.	99	99	Q794
Iraq	82	84	Q796
Ireland	91	94	Q27
Israel	98	98	Q801
Italy	94	95	Q38
Jamaica	94	96	Q766
Japan	96	98	Q17
Jordan	87	89	Q810
Kazakhstan	99	97	Q232
Kenya	89	92	Q114
Kiribati	94	97	Q710
Korea, Dem. Peopleâ€™s Rep.	98	97	Q423
Korea, Rep.	98	98	Q884
Kuwait	98	91	Q817
Kyrgyz Republic	96	95	Q813
Lao PDR	69	68	Q819
Latvia	99	99	Q211
Lebanon	82	83	Q822
Lesotho	90	87	Q1013
Liberia	85	74	Q1014
Libya	73	73	Q1016
Lithuania	93	92	Q37
Luxembourg	99	99	Q32
Madagascar	69	79	Q1019
Malawi	92	95	Q1020
Malaysia	97	98	Q833
Maldives	99	99	Q826
Mali	70	77	Q912
Malta	96	98	Q233
Marshall Islands	85	79	Q709
Mauritania	78	81	Q1025
Mauritius	99	96	Q1027
Mexico	73	82	Q96
Micronesia, Fed. Sts.	78	78	Q702
Moldova	97	91	Q217
Monaco	88	99	Q235
Mongolia	98	98	Q711
Montenegro	42	86	Q236
Morocco	99	99	Q1028
Mozambique	87	88	Q1029
Myanmar	84	90	Q836
Namibia	80	87	Q1030
Nepal	92	93	Q837
Netherlands	94	94	Q55
New Zealand	92	92	Q664
Nicaragua	99	98	Q811
Niger	79	81	Q1032
Nigeria	54	57	Q1033
North Macedonia	75	92	Q221
Norway	97	97	Q20
Oman	99	99	Q842
Pakistan	75	75	Q843
Palau	97	97	Q695
Panama	97	88	Q804
Papua New Guinea	37	35	Q691
Paraguay	87	86	Q733
Peru	85	88	Q419
Philippines	67	65	Q928
Poland	93	95	Q36
Portugal	99	99	Q45
Qatar	99	98	Q846
Romania	90	88	Q218
Russian Federation	98	97	Q159
Rwanda	96	98	Q1037
Samoa	87	58	Q683
San Marino	86	88	Q238
Sao Tome and Principe	95	95	Q1039
Saudi Arabia	95	96	Q851
Senegal	90	93	Q1041
Serbia	87	97	Q403
Seychelles	99	99	Q1042
Sierra Leone	93	95	Q1044
Singapore	95	96	Q334
Slovak Republic	96	97	Q214
Slovenia	94	95	Q215
Solomon Islands	81	94	Q685
Somalia	46	42	Q1045
South Africa	72	77	Q258
South Sudan	49	49	Q958
Spain	98	96	Q29
Sri Lanka	99	99	Q854
St. Kitts and Nevis	97	96	Q763
St. Lucia	96	92	Q760
St. Vincent and the Grenadines	99	97	Q757
Sudan	90	93	Q1049
Suriname	64	77	Q730
Sweden	97	98	Q34
Switzerland	95	96	Q39
Syrian Arab Republic	59	54	Q858
Tajikistan	98	97	Q863
Tanzania	88	89	Q924
Thailand	96	97	Q869
Timor-Leste	85	83	Q574
Togo	75	84	Q945
Tonga	99	99	Q678
Trinidad and Tobago	99	93	Q754
Tunisia	95	92	Q948
Turkey	97	99	Q43
Turkmenistan	99	99	Q874
Tuvalu	96	92	Q672
Uganda	87	93	Q1036
Ukraine	93	80	Q212
United Arab Emirates	99	99	Q878
United Kingdom	91	93	Q145
United States	90	94	Q30
Uruguay	96	94	Q77
Uzbekistan	98	96	Q265
Vanuatu	80	90	Q686
Venezuela, RB	93	64	Q717
Vietnam	95	89	Q881
Yemen, Rep.	67	73	Q805
Zambia	93	88	Q953
Zimbabwe	85	90	Q954
