Country	Total (1990)	Total (2014)	Per Capita (1990)	Per Capita (2014)	Fossil fuel (1990)	Fossil fuel (2014)	Combustible renewable and waste (1990)	Combustible renewable and waste (2014)	Alternative and nuclear energy (1990)	Alternative and nuclear energy (2014)	ID
Albania	2.7	2.3	813	808	76.6	61.4	13.6	9.4	4.7	24.5	Q222
Algeria	22.2	51.7	861	1328	99.9	100	0	0	0	0	Q262
Angola	5.9	14.7	497	545	25.5	48.3	54.2	36.4	0.7	2.5	Q916
Argentina	46.1	86.6	1412	2030	88.7	87.7	2.8	3.2	6.8	5.5	Q414
Armenia	7.7	3	2179	1016	97	74.6	0.2	1.1	1.5	25.7	Q399
Australia	86.4	125.2	5062	5335	93.9	93.4	3.6	3.3	1.3	2.4	Q408
Austria	24.9	32.2	3240	3763	79.1	64.8	8.8	13.8	9.6	13.2	Q40
Azerbaijan	22.7	14.3	3165	1502	99.9	98.4	0.1	0.6	0.4	0.6	Q227
Bahrain	5.2	14.2	10555	10597	99.8	99.4	0	0	0	0	Q398
Bangladesh	12.7	35.4	123	229	45.5	73.8	53.1	25.6	0.4	0.2	Q902
Belarus	45.5	27.7	4465	2929	95.6	92.4	0.4	4	0	0.1	Q184
Belgium	47.9	52.8	4810	4708	75.8	72.7	0.7	3.5	23.3	18.6	Q31
Benin	1.7	4.3	334	417	4.8	36.7	81	41.3	0	0	Q962
Bolivia	2.6	8.3	380	778	67.2	84.2	27.7	11.1	3	2	Q750
Bosnia and Herzegovina	7	7.8	1572	2247	93.9	77.5	2.3	17.8	2.6	4.3	Q225
Botswana	1.2	2.7	947	1301	64.8	74.7	34.5	20	0	0	Q963
Brazil	140.2	303.2	941	1496	51.2	59.1	24.2	20.4	12.4	10.8	Q155
Brunei Darussalam	1.7	3.6	6675	8673	99.9	100	0.1	0	0	0	Q921
Bulgaria	28.2	17.9	3237	2478	84.1	71	0.6	6	14	25.8	Q219
Cameroon	5	7.6	423	335	18.7	38.3	73.2	61.9	4	4.6	Q1009
Canada	211.3	279.9	7630	7898	73.6	73.2	4.8	4.1	19.7	19.7	Q16
Chile	14	36.1	1055	2033	72.2	73.3	20.1	12.3	4.6	5.6	Q298
China	870.7	3051.5	767	2237	75.7	87.7	23	2020.9	0.9	2020.1	Q148
Colombia	24.2	34	732	724	67.4	76.7	22.2	8.9	7.2	9.2	Q739
Congo, Dem. Rep.	11.8	28.7	341	389	11.2	5.4	80.9	67.2	1.5	2.4	Q974
Congo, Rep.	0.8	2.6	334	555	34.3	40.5	46.4	45.7	3.8	1.4	Q971
Costa Rica	1.7	4.9	538	1023	58.5	49.9	23	12.8	16.5	14.2	Q800
Cote d'Ivoire	4.3	13.9	364	613	23.7	26.5	45.8	38.5	2.4	0.8	Q1008
Croatia	9.5	8	1981	1898	81.1	70.7	9.1	13.6	5.5	11.9	Q224
Cuba	17.4	11.7	1643	1035	61.7	85.6	33.4	11.4	0	0.1	Q241
Cyprus	1.4	2	1781	1712	99.6	92.9	0.3	1.3	0	5.2	Q229
Czech Republic	49.6	41.2	4797	3915	91.6	75.3	2.1	6.6	6.8	20.8	Q213
Denmark	17.4	16.2	3377	2873	89.6	67.7	4	13.7	1.3	9.9	Q35
Dominican Republic	4	7.6	563	752	76.5	86.6	15.1	10	0.6	2.3	Q786
Ecuador	6.3	14.2	619	889	78.2	86.9	15	4.1	5.1	6.2	Q736
Egypt, Arab Rep.	32.3	74.8	575	827	94.1	97.9	3.3	2.3	2.3	1.5	Q79
El Salvador	2.5	4.1	468	646	31.4	48.4	47.9	9.5	5.9	6.3	Q792
Estonia	9.8	6	6233	4593	43.7	14.5	1.9	11	0	0.6	Q191
Ethiopia	22.9	48.4	479	493	3.6	6.6	77.2	74.4	0.3	1.2	Q115
Finland	28.4	33.9	5692	6213	55.5	42.2	14.4	23.5	21.2	23.2	Q33
France	224	242.6	3847	3659	58.2	46.2	4.3	4.6	38.3	49.6	Q142
Gabon	1.2	5.1	1244	2694	32	22.8	62.7	73.7	4.1	1.2	Q1000
Georgia	12.4	4.4	2585	1180	88.8	72.2	3.7	10.6	5.2	15.7	Q230
Germany	351.2	306.1	4421	3779	86.8	79.7	0.8	4	11.8	13	Q183
Ghana	5.3	9	358	332	18.2	52.5	57.4	26.9	7.3	5.9	Q117
Greece	21.4	23.1	2103	2124	94.6	86	4.2	4.9	0.9	5.4	Q41
Guatemala	4.4	13.2	487	864	27.9	37.4	65.1	44.6	3	2.6	Q774
Haiti	1.6	4.2	222	394	19.7	22	62.2	59	1.7	0.1	Q790
Honduras	2.4	5.4	480	598	30	52.5	62.4	39.4	6.4	3.3	Q783
Hungary	28.8	22.8	2774	2314	81.6	68.2	2.2	9.7	12.8	19	Q28
Iceland	2.3	5.9	8908	17916	28.6	10.9	0	0	32.1	35.4	Q189
India	305.7	824.7	350	637	53.8	73.6	42.6	21.4	2	2.7	Q668
Indonesia	98.6	225.5	544	884	53.4	66.1	42.6	24.8	0.5	0.8	Q252
Iran, Islamic Rep.	69.3	237.1	1230	3060	98.9	99	0.2	0.2	0.6	0.9	Q794
Iraq	20	49.5	1151	1438	98.8	96	0.1	0.1	1.1	0.3	Q796
Ireland	9.9	12.8	2820	2742	85.1	84.4	1.1	2.4	0.5	4.2	Q27
Israel	11.5	22.7	2460	2763	97	91.7	0	0	3.1	5.2	Q801
Italy	146.6	146.8	2584	2414	93.4	78.6	0.5	5.7	2.2	7.1	Q38
Jamaica	2.8	2.8	1151	977	82.6	81	5.1	11.1	0.2	0.6	Q766
Japan	438.7	441.7	3551	3471	84.6	94.4	0.8	1.1	13.9	2.2	Q17
Jordan	3.3	8.2	918	917	98.1	97.6	0.1	0.1	1.8	1.9	Q810
Kazakhstan	73.4	76.7	4493	4435	97	99.2	0.2	0	1	0.6	Q232
Kenya	10.7	23.6	452	506	17.8	17.4	51.3	44.5	2	2.2	Q114
Korea, Dem. Peopleâ€™s Rep.	33.2	11.9	1637	475	93.1	62.1	2.4	7.4	3.4	7	Q423
Korea, Rep.	92.9	268.4	2167	5289	83.8	82.4	0.5	0.9	15.4	15.6	Q884
Kuwait	9.1	33.9	4347	9179	99.9	93.7	0.1	0	0	0	Q817
Kyrgyz Republic	7.5	3.8	1705	650	93.5	75.5	0.1	0.1	7.2	22.7	Q813
Latvia	7.9	4.3	2949	2177	81.8	56.7	8	28.2	6.2	6.8	Q211
Lebanon	2	7.5	697	1197	92.5	97.6	4.6	1.5	2	0.5	Q822
Libya	11.2	17.9	2517	2809	98.9	99.1	1.1	0.8	0	0	Q1016
Lithuania	16.1	7	4344	2387	75.8	68	1.7	15	28.1	3.8	Q37
Luxembourg	3.4	3.8	8874	6861	89.2	83.3	0	3.6	1.4	2.5	Q32
North Macedonia	2.5	2.6	1241	1262	98	79.4	0	9	1.4	5.5	Q221
Malaysia	21.8	89.7	1211	3003	89.9	96.6	5.8	1.3	1.4	1.2	Q833
Malta	0.7	0.8	1962	1782	100	97.8	0	0.8	0	1.5	Q233
Mauritius	0.7	1.4	629	1111	55.5	84.5	36.4	5.1	1	0.8	Q1027
Mexico	123.7	188	1473	1562	87.4	90.3	6.9	3.8	2.4	3.4	Q96
Moldova	9.9	3.3	3332	1156	99.7	88.7	0.6	8.3	0.1	0.8	Q217
Mongolia	3.4	5.4	1560	1828	97.2	93.2	1.5	1.7	0	0.3	Q711
Morocco	7.6	19	307	555	85.5	88.5	12.7	7.2	1.2	1.6	Q1028
Mozambique	5.9	11.6	456	443	5.5	12.6	74.2	69.1	0.5	9.2	Q1029
Myanmar	10.7	19.3	258	369	14.6	44.3	78.6	52.1	0.7	3.1	Q836
Namibia	0.7	1.8	470	794	54.3	66.7	21.4	7.2	18.1	17.8	Q1030
Nepal	5.8	11.7	306	434	5.1	15.5	93.7	77.9	0.9	5.2	Q837
Netherlands	65.7	72.9	4395	4326	98	90.9	0.6	1.6	1.6	3.1	Q55
New Zealand	12.8	20.6	3854	4560	66.7	59.8	5	5	16.3	13.5	Q664
Nicaragua	2	3.7	484	596	29.3	40.7	46.9	29.4	2.5	3.3	Q811
Nigeria	66.4	134.7	698	764	20.5	18.9	77.6	74.3	0.3	0.3	Q1033
Norway	21.1	28.7	4967	5596	52.1	58	4.3	3.1	39.5	32.3	Q20
Oman	4.2	24.3	2328	6041	100	100	0	0	0	0	Q842
Pakistan	42.9	89.9	399	460	52.7	61.6	43	35	2.8	4	Q843
Panama	1.5	4.2	603	1080	58.4	80.7	26.1	7	9.8	8.9	Q804
Paraguay	3.1	5.2	728	783	21.3	33.7	69	40.4	5.5	16.3	Q733
Peru	9.7	23.8	441	790	63.3	79.6	26.5	11.2	7.9	7.2	Q419
Philippines	28.7	47.7	464	474	43.1	62.4	31.7	13	2.8	2.9	Q928
Poland	103.1	94	2706	2473	97.8	90.1	1.3	6.4	0.1	0.9	Q36
Portugal	16.8	21.2	1681	2035	80.4	72.8	14.2	10.6	4	10.7	Q45
Qatar	6.5	44.1	13703	17923	100	100	0	0	0	0	Q846
Romania	62.3	31.7	2683	1592	96.1	72.5	0.9	11.6	1.3	14.5	Q218
Russian Federation	879.2	710.9	5942	4943	93.4	92.1	2020.3	0.4	2020.8	2020.2	Q159
Saudi Arabia	58	213.5	3573	6906	100	99.9	0	0	0	0	Q851
Senegal	1.7	4	224	279	43.3	53.9	35.2	27.9	0	0.6	Q1041
Serbia	19.7	13.3	2599	1859	90.8	83.9	5.9	7.8	3.3	5.7	Q403
Singapore	11.5	28	3783	5122	99.4	90.6	0	0	0.1	0.2	Q334
Slovak Republic	21.3	15.9	4025	2943	81.6	63.9	0.8	4.1	15.4	28.3	Q214
Slovenia	5.7	6.7	2858	3236	71.3	59.7	4.7	8.4	24.4	31.9	Q215
South Africa	91	147	2472	2695	86.2	86.8	8.5	7.7	2.5	2.7	Q258
Spain	90.1	114.6	2317	2465	77.4	71.5	4.4	4.4	17.7	21.6	Q29
Sri Lanka	5.5	10.7	318	516	24.1	50.5	70.6	45.2	4.1	3.4	Q854
Sudan	10.6	15	412	381	17.4	31.7	40.4	38	0.6	4.4	Q1049
Sweden	47.2	48.2	5515	4966	37.3	29.8	10.6	18.5	48.8	47.5	Q34
Switzerland	24.4	25.1	3628	3060	58.5	48.7	2.8	3.4	35	42.4	Q39
Syrian Arab Republic	10.5	10.8	841	577	97.7	97.8	0	0	1.6	1.4	Q858
Tajikistan	5.3	2.8	1005	340	71.3	46	0	0	26.1	37.5	Q863
Tanzania	9.7	24.8	386	497	6.9	14.4	83.9	74	1.1	0.7	Q924
Thailand	41.9	134.8	742	1969	63.8	79.8	21.9	12.1	0.9	1.1	Q869
Togo	1.3	3.3	335	462	15.1	17.8	51.3	44.1	1.4	2.4	Q945
Trinidad and Tobago	6	19.6	4903	14364	98.9	99.9	0.3	0.1	0	0	Q754
Tunisia	4.9	10.5	600	950	87	88.9	10.6	8.3	0.1	0.8	Q948
Turkey	52.7	121.5	978	1574	81.8	89.5	13.7	2.7	3.7	5	Q43
Ukraine	252	105.7	4857	2334	91.8	75.3	0.1	1.3	8.1	22.5	Q212
United Arab Emirates	20.4	70.5	11170	7648	100	86.1	0	0.1	0	0.1	Q878
United Kingdom	205.9	179.4	3597	2777	90.7	82.7	0.1	2.5	8.6	11.6	Q145
United States	1915.1	2216.2	7672	6963	86.4	83.1	1.4	3.7	9.5	11.7	Q30
Uruguay	2.3	4.7	724	1386	58.7	46.3	23.7	33.7	13.6	14.8	Q77
Uzbekistan	46.4	42.9	2261	1419	99.2	97.7	0	0	0.9	1.9	Q265
Venezuela, RB	39.6	68.8	2016	2309	90.5	88.4	1.5	1.1	6.1	8.2	Q717
Vietnam	17.9	59.9	263	660	27.6	69.8	66.4	23.8	1.8	6.9	Q881
Yemen, Rep.	2.5	8.3	215	329	96.9	98.5	1.5	0.7	0	0	Q805
Zambia	5.4	9.6	678	645	15.5	10.6	55.9	61.5	9.3	9.7	Q953
Zimbabwe	9.3	11.3	891	845	44.8	29.1	50.7	62.6	3.9	3.3	Q954
