Country	% 1990	% 2014	ID
Albania	12.5	60	Q222
Algeria	30.9	35.3	Q262
Angola	26	44	Q916
Argentina	28.6	24.2	Q414
Armenia	14.9	27.8	Q399
Australia	23.9	24.7	Q408
Austria	24.2	36.6	Q40
Azerbaijan	11.6	24.5	Q227
Bahrain	9.4	11.5	Q398
Bangladesh	14.6	14.2	Q902
Belarus	11.5	20.5	Q184
Belgium	19.1	28.6	Q31
Benin	65.4	67.6	Q962
Bolivia	43.3	40.7	Q750
Bosnia and Herzegovina	9.1	13.7	Q225
Botswana	23.1	32.1	Q963
Brazil	44.6	44.8	Q155
Brunei Darussalam	16.9	20.1	Q921
Bulgaria	8.6	19.5	Q219
Cameroon	66.3	53.8	Q1009
Canada	29.7	31.8	Q16
Chile	30.9	31.1	Q298
China	5.2	8.6	Q148
Colombia	35.6	41.2	Q739
Congo, Dem. Rep.	19.1	96.8	Q974
Congo, Rep.	79.7	76.5	Q971
Costa Rica	61.2	68.6	Q800
Cote d'Ivoire	44.1	31.1	Q1008
Croatia	17.5	36.6	Q224
Cuba	14.9	4.3	Q241
Curacao	33.8	22.9	Q25279
Cyprus	29.8	30.4	Q229
Czech Republic	4.6	17	Q213
Denmark	20.2	32.9	Q35
Dominican Republic	31.2	26.3	Q786
Ecuador	58.7	41.7	Q736
Egypt, Arab Rep.	20.8	22.5	Q79
El Salvador	60.2	48.1	Q792
Eritrea	25	30.4	Q986
Estonia	6.6	12.7	Q191
Ethiopia	42.9	46.9	Q115
Finland	21.8	23.9	Q33
France	32.8	42.4	Q142
Gabon	35.2	23.8	Q1000
Georgia	11.1	42.2	Q230
Germany	16.9	21.4	Q183
Ghana	63.8	55.4	Q117
Gibraltar	57.1	72.2	Q1410
Greece	21.5	24.8	Q41
Guatemala	53.3	40	Q774
Haiti	46.2	42.4	Q790
Honduras	47.7	39.5	Q783
Hong Kong SAR, China	13.8	13.7	Q8646
Hungary	12.8	27.2	Q28
Iceland	33.2	40.2	Q189
India	12.2	11.5	Q668
Indonesia	24	30.8	Q252
Iran, Islamic Rep.	22.9	24.9	Q794
Iraq	41.5	20.6	Q796
Ireland	16.3	32.1	Q27
Israel	24.5	26.1	Q801
Italy	24.7	33	Q38
Jamaica	14.9	24.3	Q766
Japan	19.2	17.5	Q17
Jordan	29.4	29.2	Q810
Kazakhstan	6.1	6.1	Q232
Kenya	48.7	52.9	Q114
Korea, Dem. Peopleâ€™s Rep.	4	3.5	Q423
Korea, Rep.	18.9	16.3	Q884
Kuwait	10.2	15.3	Q817
Kyrgyz Republic	26.4	27.8	Q813
Latvia	16.3	42.9	Q211
Lebanon	33.8	24.4	Q822
Libya	24	39.3	Q1016
Lithuania	17.1	46.2	Q37
Luxembourg	24.4	66.8	Q32
North Macedonia	9	21.5	Q221
Malaysia	29.3	29.7	Q833
Malta	19.5	23.1	Q233
Mauritius	37.9	25.5	Q1027
Mexico	32.5	35.1	Q96
Moldova	7.9	24.7	Q217
Mongolia	12	11.1	Q711
Morocco	19.8	28.8	Q1028
Mozambique	56.5	56.8	Q1029
Myanmar	34.3	36.6	Q836
Namibia	42.5	55.4	Q1030
Nepal	38.2	44	Q837
Netherlands	18	19.9	Q55
New Zealand	39.8	44.9	Q664
Nicaragua	40.2	41.6	Q811
Nigeria	41.9	35.4	Q1033
Norway	36.5	39.8	Q20
Oman	16.5	20.8	Q842
Pakistan	24.6	28.9	Q843
Panama	49.6	36.4	Q804
Paraguay	83.9	93.1	Q733
Peru	37.3	40.3	Q419
Philippines	36.1	27.8	Q928
Poland	5.9	15.7	Q36
Portugal	25.6	36.7	Q45
Qatar	11.8	18.2	Q846
Romania	7	22.4	Q218
Russian Federation	13.8	16.2	Q159
Saudi Arabia	32.7	25.9	Q851
Senegal	34.3	38.9	Q1041
Serbia	7.2	15.5	Q403
Singapore	14.1	15.2	Q334
Slovak Republic	7.5	20.7	Q214
Slovenia	19.4	41.5	Q215
South Africa	12.1	12	Q258
Spain	31.2	35.3	Q29
Sri Lanka	67.8	47.7	Q854
Sudan	74.9	59.2	Q1049
Sweden	38.1	53.3	Q34
Switzerland	35.6	44.8	Q39
Syrian Arab Republic	26.6	24	Q858
Tajikistan	6.6	33.5	Q863
Tanzania	41.9	57.6	Q924
Thailand	33.8	24.7	Q869
Togo	74.1	77.3	Q945
Trinidad and Tobago	17.1	13.8	Q754
Tunisia	20.4	25.3	Q948
Turkey	21.9	19.8	Q43
Turkmenistan	22	17.6	Q874
Ukraine	8	11.4	Q212
United Arab Emirates	21.8	21	Q878
United Kingdom	21	28.5	Q145
United States	29.7	33.4	Q30
Uruguay	42.2	55.3	Q77
Uzbekistan	5	6.8	Q265
Venezuela, RB	30.5	32.3	Q717
Vietnam	24	22.3	Q881
Yemen, Rep.	63.7	34.6	Q805
Zambia	30.1	35.1	Q953
Zimbabwe	12.9	22.3	Q954
