Country	2018	ID
Afghanistan	42.2	Q889
Albania	6	Q222
Algeria	77.2	Q262
Angola	24.3	Q916
Armenia	40.2	Q399
Bangladesh	72.6	Q902
Belize	65.9	Q242
Benin	25.9	Q962
Bolivia	50.3	Q750
Burkina Faso	55.4	Q965
Burundi	39.4	Q967
Cambodia	56.4	Q424
Cameroon	38.1	Q1009
Chad	17.6	Q657
Colombia	86.3	Q739
Congo, Dem. Rep.	16.3	Q974
Congo, Rep.	38.5	Q971
Cote d'Ivoire	39.4	Q1008
Cuba	88.3	Q241
Dominican Republic	84	Q786
Egypt, Arab Rep.	80	Q79
El Salvador	81.5	Q792
Eswatini	80.5	Q1050
Ethiopia	62.3	Q115
Gambia, The	23.8	Q1005
Ghana	46.2	Q117
Guatemala	65.6	Q774
Guinea	32.1	Q1006
Guinea-Bissau	37.5	Q1007
Guyana	52.5	Q734
Haiti	44	Q790
India	71.9	Q668
Indonesia	77.1	Q252
Iraq	54.6	Q796
Jordan	56.7	Q810
Kazakhstan	81.8	Q232
Kenya	78.5	Q114
Korea, Dem. Peopleâ€™s Rep.	89.8	Q423
Kyrgyz Republic	65.4	Q813
Lesotho	76.1	Q1013
Liberia	37.2	Q1014
Libya	24	Q1016
Madagascar	60.5	Q1019
Malawi	74.6	Q1020
Maldives	29.8	Q826
Mali	39.9	Q912
Mauritania	30.4	Q1025
Mauritius	40.8	Q1027
Mexico	81.5	Q96
Mongolia	67	Q711
Montenegro	34	Q236
Morocco	68.6	Q1028
Mozambique	45.2	Q1029
Myanmar	74.9	Q836
Namibia	75	Q1030
Nepal	56	Q837
Niger	45.5	Q1032
Nigeria	33.9	Q1033
Oman	39.6	Q842
Pakistan	48.6	Q843
Panama	74.4	Q804
Papua New Guinea	48.7	Q691
Paraguay	82.5	Q733
Peru	66.6	Q419
Philippines	56.9	Q928
Rwanda	65.8	Q1037
Samoa	39.4	Q683
Sao Tome and Principe	51	Q1039
Senegal	53	Q1041
Serbia	25.1	Q403
Sierra Leone	44.7	Q1044
Solomon Islands	38	Q685
South Africa	77.8	Q258
Sri Lanka	74.3	Q854
Sudan	30.1	Q1049
Tajikistan	52.1	Q863
Tanzania	52.9	Q924
Thailand	89.3	Q869
Timor-Leste	46.9	Q574
Togo	32.3	Q945
Turkey	59.7	Q43
Turkmenistan	75.6	Q874
Uganda	53.5	Q1036
United States	77.2	Q30
Vanuatu	50.7	Q686
Vietnam	69.5	Q881
West Bank and Gaza	64.6	Q407199
Yemen, Rep.	46.9	Q805
Zambia	68.5	Q953
Zimbabwe	85.2	Q954
