Country	Growth % (2017-18)	Growth % (2018-19)	ID
Afghanistan	0.6	2.2	Q889
Albania	1.4	0.4	Q222
Algeria	7.6	-0.7	Q262
Andorra	1	1.5	Q228
Angola	29.1	35.9	Q916
Antigua and Barbuda	2.2	2.5	Q781
Argentina	40.7	51.5	Q414
Armenia	2.8	1.5	Q399
Australia	1.9	3.3	Q408
Austria	1.7	1.7	Q40
Azerbaijan	12.2	-0.2	Q227
Bahamas, The	0.7	1.4	Q778
Bahrain	4.3	0.6	Q398
Bangladesh	5.6	4.5	Q902
Barbados	2.8	2.5	Q244
Belarus	12.1	6.6	Q184
Belgium	1.5	1.5	Q31
Belize	-0.2	0.2	Q242
Benin	0.6	-0.3	Q962
Bolivia	3.1	-0.7	Q750
Bosnia and Herzegovina	2.8	2.1	Q225
Botswana	1.2	0.6	Q963
Brazil	3.3	4.2	Q155
Brunei Darussalam	9.2	-3.3	Q921
Bulgaria	4	4.7	Q219
Burkina Faso	2.4	-3	Q965
Burundi	-2.9	0.8	Q967
Cabo Verde	1.5	0.6	Q1011
Cambodia	3.1	3.2	Q424
Cameroon	1.6	1.6	Q1009
Canada	1.8	1.9	Q16
Central African Republic	-1.2	2.4	Q929
Chad	5	2.9	Q657
Chile	2.4	2.7	Q298
China	3.5	1.6	Q148
Hong Kong SAR, China	3.6	2.4	Q8646
Macao SAR, China	3.5	2.6	Q14773
Colombia	4.5	4.3	Q739
Comoros	1.2	3.3	Q970
Congo, Dem. Rep.	29	-1.7	Q974
Congo, Rep.	21.5	-1.2	Q971
Costa Rica	2.5	1.7	Q800
Cote d'Ivoire	0.2	0.5	Q1008
Croatia	1.8	1.5	Q224
Cyprus	1.4	0.6	Q229
Czech Republic	2.6	3.5	Q213
Denmark	0.8	1	Q35
Djibouti	1	2.5	Q977
Dominica	3.6	2.4	Q784
Dominican Republic	4.1	2.5	Q786
Ecuador	1.8	-0.2	Q736
Egypt, Arab Rep.	21.4	13.6	Q79
El Salvador	2.1	1.1	Q792
Equatorial Guinea	11.2	-7.2	Q983
Estonia	4.5	3.2	Q191
Ethiopia	12.4	13.2	Q115
Fiji	0.9	2.4	Q712
Finland	1.8	1.8	Q33
France	1	1.2	Q142
Gabon	7.1	0.8	Q1000
Gambia, The	5.2	6.4	Q1005
Georgia	4.3	6.6	Q230
Germany	1.5	2.1	Q183
Ghana	10.2	9.2	Q117
Greece	0.5	-0.4	Q41
Grenada	-0.3	1.9	Q769
