Country	Survey Year	Infrastructure	ID
Afghanistan	2014	9.6	Q889
Albania	2019	1.9	Q222
Angola	2010	12.6	Q916
Antigua and Barbuda	2010	0.2	Q781
Argentina	2017	0.8	Q414
Armenia	2013	0.2	Q399
Azerbaijan	2013	1	Q227
Bahamas, The	2010	1.5	Q778
Bangladesh	2013	5.5	Q902
Barbados	2010	0.2	Q244
Belarus	2018	0.3	Q184
Belize	2010	0.1	Q242
Benin	2016	9.4	Q962
Bhutan	2015	3.7	Q917
Bolivia	2017	0.9	Q750
Bosnia and Herzegovina	2019	0.8	Q225
Botswana	2010	3.7	Q963
Brazil	2009	3.4	Q155
Bulgaria	2019	0.9	Q219
Burkina Faso	2009	5.8	Q965
Burundi	2014	3.4	Q967
Cambodia	2016	3.6	Q424
Cameroon	2016	9.9	Q1009
Cabo Verde	2009	5.5	Q1011
Central African Republic	2011	25.1	Q929
Chad	2018	9.8	Q657
Chile	2010	1.3	Q298
China	2012	1.3	Q148
Colombia	2017	1.9	Q739
Congo, Dem. Rep.	2013	7.8	Q974
Congo, Rep.	2009	16.4	Q971
Costa Rica	2010	1.7	Q800
Cote d'Ivoire	2016	4.9	Q1008
Croatia	2019	0.8	Q224
Cyprus	2019	1.7	Q229
Czech Republic	2019	0.3	Q213
Djibouti	2013	4.6	Q977
Dominica	2010	0.1	Q784
Dominican Republic	2016	3.1	Q786
Ecuador	2017	1.1	Q736
Egypt, Arab Rep.	2016	4.3	Q79
El Salvador	2016	1.1	Q792
Eritrea	2009	0.2	Q986
Estonia	2019	0.1	Q191
Ethiopia	2015	6.9	Q115
Fiji	2009	4.9	Q712
Gabon	2009	1.7	Q1000
Gambia, The	2018	14.2	Q1005
Georgia	2019	0.5	Q230
Ghana	2013	15.8	Q117
Greece	2018	0.3	Q41
Grenada	2010	1	Q769
Guatemala	2017	1.4	Q774
Guinea	2016	4.7	Q1006
Guinea-Bissau	2006	5.2	Q1007
Guyana	2010	2.8	Q734
Honduras	2016	3.7	Q783
Hungary	2019	0.2	Q28
India	2014	3.7	Q668
Indonesia	2015	1.9	Q252
Iraq	2011	8.8	Q796
Israel	2013	0.1	Q801
Italy	2019	1.2	Q38
Jamaica	2010	0.2	Q766
Jordan	2019	0.3	Q810
Kazakhstan	2019	1.7	Q232
Kenya	2018	5.4	Q114
Kosovo	2019	3.7	Q1246
Kyrgyz Republic	2019	1.1	Q813
Lao PDR	2018	0.9	Q819
Latvia	2019	0.4	Q211
Lebanon	2019	0.7	Q822
Lesotho	2016	2.5	Q1013
Liberia	2017	6.1	Q1014
Lithuania	2019	1.1	Q37
North Macedonia	2019	1.9	Q221
Madagascar	2013	13.6	Q1019
Malawi	2014	7.2	Q1020
Malaysia	2015	1.8	Q833
Mali	2016	8.8	Q912
Malta	2019	0.5	Q233
Mauritania	2014	2.4	Q1025
Mauritius	2009	2.2	Q1027
Mexico	2010	3.4	Q96
Micronesia, Fed. Sts.	2009	2.6	Q702
Moldova	2019	1.1	Q217
Mongolia	2019	0.2	Q711
Montenegro	2019	2.4	Q236
Morocco	2019	7.9	Q1028
Mozambique	2018	3.2	Q1029
Myanmar	2016	2.5	Q836
Namibia	2014	4.8	Q1030
Nepal	2013	17	Q837
Nicaragua	2016	2.7	Q811
Niger	2017	5.5	Q1032
Nigeria	2014	15.6	Q1033
Pakistan	2013	33.8	Q843
Panama	2010	2.1	Q804
Papua New Guinea	2015	4.7	Q691
Paraguay	2017	2.5	Q733
Peru	2017	2.1	Q419
Philippines	2015	0.8	Q928
Poland	2019	0.5	Q36
Portugal	2019	0.5	Q45
Romania	2013	1.3	Q218
Russian Federation	2019	0.3	Q159
Rwanda	2019	2.4	Q1037
Samoa	2009	6.6	Q683
Senegal	2014	2.8	Q1041
Serbia	2019	0.9	Q403
Sierra Leone	2017	15.8	Q1044
Slovak Republic	2019	0.6	Q214
Slovenia	2019	0.4	Q215
Solomon Islands	2015	4.3	Q685
South Africa	2007	1.6	Q258
South Sudan	2014	13.6	Q958
Sri Lanka	2011	3	Q854
St. Kitts and Nevis	2010	2.1	Q763
St. Lucia	2010	0	Q760
St. Vincent and the Grenadines	2010	0.8	Q757
Sudan	2014	1.2	Q1049
Suriname	2018	1.1	Q730
Eswatini	2016	7	Q1050
Tajikistan	2019	0.6	Q863
Tanzania	2013	15.1	Q924
Thailand	2016	4.1	Q869
Timor-Leste	2015	9.4	Q574
Togo	2016	3.7	Q945
Tonga	2009	1.5	Q678
Trinidad and Tobago	2010	0.4	Q754
Tunisia	2013	2	Q948
Turkey	2019	1.8	Q43
Uganda	2013	11.2	Q1036
Ukraine	2019	0.8	Q212
Uruguay	2017	0.3	Q77
Uzbekistan	2019	3	Q265
Vanuatu	2009	1.1	Q686
Venezuela, RB	2010	8.3	Q717
Vietnam	2015	2.2	Q881
West Bank and Gaza	2019	7.6	Q407199
Yemen, Rep.	2013	19.7	Q805
Zambia	2019	18.8	Q953
Zimbabwe	2016	6.1	Q954
