Country	Index % (2010)	Index % (2019)	ID
Argentina	55.3	32.5	Q414
Australia	12.5	18.3	Q408
Austria	10.9	15.6	Q40
Bahrain	10	37.1	Q398
Bangladesh	37.6	-18.2	Q902
Belgium	0.5	23.1	Q31
Botswana	-6.8	-7.3	Q963
Brazil	6.5	26	Q155
Bulgaria	-15.2	-7.1	Q219
Canada	22	25.3	Q16
Chile	47.2	-18.5	Q298
China	6.9	19.3	Q148
Hong Kong SAR, China	21.3	5.1	Q8646
Colombia	44.1	27.2	Q739
Cote d'Ivoire	19.3	-7.9	Q1008
Croatia	-0.4	13.4	Q224
Cyprus	-71.9	-10.1	Q229
Czech Republic	0.2	-0.8	Q213
Denmark	25.1	25.3	Q35
Ecuador	9.7	22.6	Q736
Egypt, Arab Rep.	11.5	25.4	Q79
Estonia	56	3.4	Q191
Finland	10.7	8	Q33
France	-9.9	26.5	Q142
Germany	7.4	25.5	Q183
Ghana	94.1	-23.6	Q117
Greece	-43.8	46.3	Q41
Hungary	-10.8	13.8	Q28
India	18.7	6.1	Q668
Indonesia	37.9	7.1	Q252
Ireland	-7.7	30	Q27
Israel	7.4	18.4	Q801
Italy	-17.4	24.5	Q38
Jamaica	22.4	26.8	Q766
Japan	9.6	18.2	Q17
Jordan	-8.6	-5.7	Q810
Kazakhstan	-1	0.2	Q232
Kenya	33.8	26.6	Q114
Korea, Rep.	25.3	7.2	Q884
Kuwait	29.1	26.9	Q817
Latvia	39.4	48.6	Q211
Lebanon	-8.7	-18.1	Q822
Lithuania	44	12.1	Q37
Luxembourg	-3.3	-10.9	Q32
Malaysia	35.1	-1	Q833
Mauritius	8.2	-0.4	Q1027
Mexico	26.6	9.9	Q96
Morocco	13.1	8	Q1028
Namibia	2020.2	-2.2	Q1030
Netherlands	1.2	30.6	Q55
New Zealand	5.2	30.7	Q664
Nigeria	20.3	-19.7	Q1033
Norway	13.7	10	Q20
Oman	12.2	-5.3	Q842
Pakistan	15.3	-6.6	Q843
Panama	12.8	15.8	Q804
Peru	51.3	2.2	Q419
Philippines	56.7	7.7	Q928
Poland	11.3	-5.6	Q36
Portugal	-16.6	13.4	Q45
Qatar	27.7	-1.9	Q846
Romania	-6.6	29.3	Q218
Russian Federation	21.7	41.8	Q159
Saudi Arabia	9	6.6	Q851
Singapore	18.4	13.5	Q334
Slovak Republic	5.4	13.4	Q214
Slovenia	-20.3	15.2	Q215
South Africa	32.1	8.6	Q258
Spain	-24.5	8.6	Q29
Sri Lanka	84.6	-4	Q854
Sweden	32.6	23.1	Q34
Switzerland	11	29.2	Q39
Thailand	52.1	11.9	Q869
Trinidad and Tobago	0.8	11.2	Q754
Tunisia	11.7	3	Q948
Turkey	21.4	12	Q43
Ukraine	53.8	-12	Q212
United Arab Emirates	-6.8	0.8	Q878
United Kingdom	5.2	12.8	Q145
United States	12.8	28.5	Q30
Vietnam	0.5	3.6	Q881
Zambia	17.4	-37.4	Q953
