Country	%	ID
Afghanistan	19.4	Q889
Algeria	0	Q262
Andorra	0	Q228
Angola	3.1	Q916
Antigua and Barbuda	0	Q781
Argentina	0.5	Q414
Armenia	1.3	Q399
Australia	0	Q408
Austria	0	Q40
Azerbaijan	0.4	Q227
Bahamas, The	0.6	Q778
Bahrain	0	Q398
Bangladesh	6.8	Q902
Barbados	2	Q244
Belarus	0.4	Q184
Belgium	0	Q31
Belize	1.6	Q242
Benin	19.3	Q962
Bhutan	11.2	Q917
Bolivia	2.3	Q750
Bosnia and Herzegovina	0	Q225
Botswana	9.6	Q963
Brazil	0.1	Q155
Brunei Darussalam	0	Q921
Bulgaria	0	Q219
Burkina Faso	18	Q965
Burundi	31	Q967
Cabo Verde	8.3	Q1011
Cambodia	15.1	Q424
Cameroon	7.7	Q1009
Canada	0	Q16
Central African Republic	55.2	Q929
Chad	21.1	Q657
Chile	0	Q298
China	0	Q148
Colombia	0	Q739
Comoros	11.1	Q970
Congo, Dem. Rep.	42.5	Q974
Congo, Rep.	7.5	Q971
Costa Rica	0.1	Q800
Cote d'Ivoire	13.1	Q1008
Croatia	0	Q224
Cuba	0.1	Q241
Cyprus	0.4	Q229
Czech Republic	0	Q213
Denmark	0	Q35
Djibouti	25.8	Q977
Dominica	3.2	Q784
Dominican Republic	0.7	Q786
Ecuador	0.5	Q736
Egypt, Arab Rep.	0.3	Q79
El Salvador	0.1	Q792
Equatorial Guinea	2	Q983
Eritrea	13.6	Q986
Estonia	0	Q191
Eswatini	23.7	Q1050
Ethiopia	22.1	Q115
Fiji	2.3	Q712
Finland	0	Q33
France	0	Q142
Gabon	0.6	Q1000
Gambia, The	42	Q1005
Georgia	2.4	Q230
Germany	0	Q183
Ghana	14.5	Q117
Greece	0.2	Q41
Grenada	0.9	Q769
Guatemala	1.1	Q774
Guinea	13.9	Q1006
Guinea-Bissau	16	Q1007
Guyana	4.9	Q734
Haiti	43.1	Q790
Honduras	5.4	Q783
Hungary	0	Q28
Iceland	0	Q189
India	0.8	Q668
Indonesia	0.5	Q252
Iran, Islamic Rep.	0	Q794
Iraq	0.1	Q796
Ireland	0	Q27
Israel	1.8	Q801
Italy	0	Q38
Jamaica	2	Q766
Japan	0	Q17
Jordan	9.3	Q810
Kazakhstan	0.1	Q232
Kenya	17.9	Q114
Kiribati	21.1	Q710
Korea, Rep.	0	Q884
Kuwait	0	Q817
Kyrgyz Republic	5.6	Q813
Lao PDR	16.7	Q819
Latvia	0.2	Q211
Lebanon	1	Q822
Lesotho	20.4	Q1013
Liberia	28.8	Q1014
Lithuania	0.2	Q37
Luxembourg	1.4	Q32
Madagascar	23	Q1019
Malawi	52.4	Q1020
Malaysia	0	Q833
Maldives	0.1	Q826
Mali	28	Q912
Malta	0	Q233
Marshall Islands	45.6	Q709
Mauritania	7	Q1025
Mauritius	0.8	Q1027
Mexico	0	Q96
Micronesia, Fed. Sts.	71.5	Q702
Moldova	4.7	Q217
Monaco	0	Q235
Mongolia	2.8	Q711
Morocco	0.2	Q1028
Mozambique	61.2	Q1029
Myanmar	9	Q836
Namibia	4	Q1030
Nepal	15.3	Q837
Netherlands	0	Q55
New Zealand	0	Q664
Nicaragua	7.5	Q811
Niger	16.5	Q1032
Nigeria	7.9	Q1033
North Macedonia	0.4	Q221
Norway	0	Q20
Oman	0	Q842
Pakistan	1.7	Q843
Palau	14.4	Q695
Panama	0.5	Q804
Papua New Guinea	15.6	Q691
Paraguay	0.3	Q733
Peru	0.2	Q419
Philippines	2.6	Q928
Poland	0	Q36
Portugal	0	Q45
Qatar	0	Q846
Romania	0	Q218
Russian Federation	0	Q159
Rwanda	50.4	Q1037
Samoa	13.1	Q683
San Marino	0	Q238
Sao Tome and Principe	38.9	Q1039
Saudi Arabia	0	Q851
Senegal	16.7	Q1041
Serbia	0.2	Q403
Seychelles	0.6	Q1042
Sierra Leone	18.7	Q1044
Singapore	0	Q334
Slovak Republic	0	Q214
Slovenia	0	Q215
Solomon Islands	23.4	Q685
South Africa	2	Q258
South Sudan	68.1	Q958
Spain	0	Q29
Sri Lanka	1.3	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	0.2	Q760
St. Vincent and the Grenadines	1.2	Q757
Sudan	5.4	Q1049
Suriname	0.3	Q730
Sweden	0	Q34
Switzerland	0	Q39
Tajikistan	7.7	Q863
Tanzania	31.8	Q924
Thailand	0.2	Q869
Timor-Leste	22.4	Q574
Togo	13.7	Q945
Tonga	27.4	Q678
Trinidad and Tobago	0	Q754
Tunisia	0.4	Q948
Turkey	0	Q43
Turkmenistan	0.1	Q874
Tuvalu	26.8	Q672
Uganda	42.5	Q1036
Ukraine	1.7	Q212
United Arab Emirates	0	Q878
United Kingdom	0	Q145
United States	0	Q30
Uruguay	0	Q77
Uzbekistan	2.6	Q265
Vanuatu	26.2	Q686
Venezuela, RB	0	Q717
Vietnam	2	Q881
Yemen, Rep.	7.8	Q805
Zambia	42.6	Q953
Zimbabwe	14.7	Q954
