Country	Political Rights (2015)	Civil Liberties (2015)	Political Rights  (2016)	Civil Liberties  (2016)	Political Rights (2017)	Civil Liberties (2017)	Political Rights (2018)	Civil Liberties (2018)	Political Rights (2019)	Civil Liberties (2019)	Political Rights (2020)	Civil Liberties (2020)	ID
Chad	7	6	7	6	7	6	7	6	7	6	7	6	Q657
Chile	1	1	1	1	1	1	1	1	1	1	1	1	Q298
China	7	6	7	6	7	6	7	6	7	6	7	6	Q148
Colombia	3	4	3	4	3	3	3	3	3	3	3	3	Q739
Comoros	3	4	3	4	3	4	3	4	4	4	4	5	Q970
Congo, Democratic Republic of	6	6	6	6	7	6	7	6	7	6	7	5	Q974
Congo, Republic of	6	5	6	5	7	5	7	5	7	5	7	5	Q971
Costa Rica	1	1	1	1	1	1	1	1	1	1	1	1	Q800
Croatia	1	2	1	2	1	2	1	2	1	2	1	2	Q224
Cuba	7	6	7	6	7	6	7	6	7	6	7	6	Q241
CyPolitical Rightsus	1	1	1	1	1	1	1	1	1	1	1	1	Q229
Czech Republic	1	1	1	1	1	1	1	1	1	1	1	1	Q213
Denmark	1	1	1	1	1	1	1	1	1	1	1	1	Q35
Djibouti	6	5	6	5	6	5	6	5	6	5	7	5	Q977
Dominica	1	1	1	1	1	1	1	1	1	1	1	1	Q784
Dominican Republic	2	3	3	3	3	3	3	3	3	3	3	3	Q786
East Timor	3	3	3	3	3	3	2	3	2	3	2	3	Q574
Ecuador	3	3	3	3	3	4	3	3	3	3	3	3	Q736
Egypt	6	5	6	5	6	5	6	6	6	6	6	6	Q79
El Salvador	2	3	2	3	2	3	2	3	2	3	3	3	Q792
Equatorial Guinea	7	7	7	7	7	7	7	7	7	7	7	7	Q983
Eritrea	7	7	7	7	7	7	7	7	7	7	7	7	Q986
Estonia	1	1	1	1	1	1	1	1	1	1	1	1	Q191
Ethiopia	6	6	7	6	7	6	7	6	6	6	6	6	Q115
Eswatini	7	5	7	5	7	5	7	6	7	6	7	5	Q1050
Fiji	3	4	3	3	3	4	3	3	3	3	3	3	Q712
Finland	1	1	1	1	1	1	1	1	1	1	1	1	Q33
France	1	1	1	1	1	2	1	2	1	2	1	2	Q142
Gabon	6	5	6	5	6	5	7	5	7	5	7	5	Q1000
Gambia	6	6	7	6	6	6	4	5	4	5	4	4	Q1005
Georgia	3	3	3	3	3	3	3	3	3	3	3	3	Q230
Germany	1	1	1	1	1	1	1	1	1	1	1	1	Q183
Ghana	1	2	1	2	1	2	1	2	1	2	2	2	Q117
Greece	2	2	2	2	2	2	2	2	1	2	1	2	Q41
Grenada	1	2	1	2	1	2	1	2	1	2	1	2	Q769
Guatemala	3	4	4	4	4	4	4	4	4	4	4	4	Q774
Guinea	5	5	5	5	5	5	5	5	5	4	5	5	Q1006
Guinea-Bissau	5	5	5	5	5	5	5	5	5	4	5	4	Q1007
Guyana	2	3	2	3	2	3	2	3	2	3	2	3	Q734
Haiti	5	5	5	5	5	5	5	5	5	5	5	5	Q790
Honduras	4	4	4	4	4	4	4	4	4	4	4	4	Q783
Hungary	2	2	2	2	3	2	3	2	3	3	3	3	Q28
Iceland	1	1	1	1	1	1	1	1	1	1	1	1	Q189
India	2	3	2	3	2	3	2	3	2	3	2	3	Q668
Indonesia	2	4	2	4	2	4	2	4	2	4	2	4	Q252
Iran	6	6	6	6	6	6	6	6	6	6	6	6	Q794
Iraq	6	6	5	6	5	6	5	6	5	6	5	6	Q796
Ireland	1	1	1	1	1	1	1	1	1	1	1	1	Q27
Israel	1	2	1	2	1	2	1	3	2	3	2	3	Q801
Italy	1	1	1	1	1	1	1	1	1	1	1	1	Q38
Ivory Coast	5	4	4	4	4	4	4	4	4	4	4	4	Q1008
Jamaica	2	3	2	3	2	3	2	3	2	2	2	2	Q766
Japan	1	1	1	1	1	1	1	1	1	1	1	1	Q17
Jordan	6	5	6	5	5	5	5	5	5	5	5	5	Q810
Kazakhstan	6	5	6	5	7	5	7	5	7	5	7	5	Q232
Kenya	4	4	4	4	4	4	4	4	4	4	4	4	Q114
Kiribati	1	1	1	1	1	1	1	1	1	1	1	1	Q710
Kosovo	4	4	3	4	3	4	3	4	3	4	3	4	Q1246
Kuwait	5	5	5	5	5	5	5	5	5	5	5	5	Q817
Kyrgyzstan	5	5	5	5	5	5	5	5	5	4	5	4	Q813
Laos	7	6	7	6	7	6	7	6	7	6	7	6	Q819
Latvia	2	2	2	2	1	2	2	2	2	2	1	2	Q211
Lebanon	5	4	5	4	5	4	6	4	5	4	5	4	Q822
Lesotho	2	3	3	3	3	3	3	3	3	3	3	3	Q1013
Liberia	3	4	3	4	3	4	3	3	3	3	3	4	Q1014
Libya	6	6	6	6	7	6	7	6	7	6	7	6	Q1016
Liechtenstein	1	1	1	1	2	1	2	1	2	1	2	1	Q347
Lithuania	1	1	1	1	1	1	1	1	1	1	1	1	Q37
Luxembourg	1	1	1	1	1	1	1	1	1	1	1	1	Q32
Madagascar	4	4	3	4	3	4	3	4	3	4	3	3	Q1019
Malawi	3	4	3	3	3	3	3	3	3	3	3	3	Q1020
Malaysia	4	4	4	4	4	4	4	4	4	4	4	4	Q833
Maldives	4	4	4	5	5	5	5	5	5	5	4	5	Q826
Mali	5	4	5	4	5	4	5	4	4	4	5	5	Q912
Malta	1	1	1	1	1	1	1	1	2	1	2	1	Q233
Marshall Islands	1	1	1	1	1	1	1	1	1	1	1	1	Q709
Mauritania	6	5	6	5	6	5	6	5	6	5	5	5	Q1025
Mauritius	1	2	1	2	1	2	1	2	1	2	1	2	Q1027
Mexico	3	3	3	3	3	3	3	3	3	3	3	3	Q96
Micronesia	1	1	1	1	1	1	1	1	1	1	1	1	Q702
Moldova	3	3	3	3	3	3	3	3	3	4	3	4	Q217
Monaco	2	1	2	1	3	1	3	1	3	1	3	1	Q235
Mongolia	1	2	1	2	1	2	1	2	1	2	1	2	Q711
Montenegro	3	2	3	3	3	3	3	3	4	3	4	3	Q236
Morocco	5	4	5	4	5	4	5	5	5	5	5	5	Q1028
Mozambique	4	3	4	4	4	4	4	4	4	4	5	4	Q1029
Myanmar	6	6	6	5	5	5	5	5	5	5	5	6	Q836
Namibia	2	2	2	2	2	2	2	2	3	2	2	2	Q1030
Nauru	1	2	2	2	2	2	2	2	2	2	2	3	Q697
Nepal	3	4	3	4	3	4	3	4	3	4	3	4	Q837
Netherlands	1	1	1	1	1	1	1	1	1	1	1	1	Q55
New Zealand	1	1	1	1	1	1	1	1	1	1	1	1	Q664
Nicaragua	4	3	4	3	5	4	5	4	6	5	6	5	Q811
Niger	3	4	3	4	4	4	4	4	4	4	4	4	Q1032
Nigeria	4	5	4	5	3	5	3	5	3	5	4	5	Q1033
North Korea	7	7	7	7	7	7	7	7	7	7	7	7	Q423
North Macedonia	4	3	4	3	4	3	4	3	4	3	3	3	Q221
Norway	1	1	1	1	1	1	1	1	1	1	1	1	Q20
Oman	6	5	6	5	6	5	6	5	6	5	6	5	Q842
Pakistan	4	5	4	5	4	5	4	5	5	5	5	5	Q843
Palau	1	1	1	1	1	1	1	1	1	1	1	1	Q695
Panama	2	2	2	2	2	2	2	2	1	2	1	2	Q804
Papua New Guinea	4	3	4	3	3	3	3	3	4	3	4	3	Q691
Paraguay	3	3	3	3	3	3	3	3	3	3	3	3	Q733
Peru	2	3	2	3	2	3	2	3	2	3	2	3	Q419
Philippines	3	3	3	3	3	3	3	3	3	3	3	4	Q928
Poland	1	1	1	1	1	2	1	2	2	2	2	2	Q36
Portugal	1	1	1	1	1	1	1	1	1	1	1	1	Q45
Qatar	6	5	6	5	6	5	6	5	6	5	6	5	Q846
Romania	2	2	2	2	2	2	2	2	2	2	2	2	Q218
Russia	6	6	6	6	7	6	7	6	7	6	7	6	Q159
Rwanda	6	6	6	6	6	6	6	6	6	6	6	6	Q1037
Saint Kitts and Nevis	1	1	2	1	1	1	1	1	1	1	1	1	Q763
Saint Lucia	1	1	1	1	1	1	1	1	1	1	1	1	Q760
Saint Vincent and the Grenadines	1	1	1	1	1	1	1	1	1	1	1	1	Q757
Samoa	2	2	2	2	2	2	2	2	2	2	2	2	Q683
San Marino	1	1	1	1	1	1	1	1	1	1	1	1	Q238
São Tomé and Political Rightsíncipe	2	2	2	2	2	2	2	2	2	2	2	2	Q1039
Saudi Arabia	7	7	7	7	7	7	7	7	7	7	7	7	Q851
Senegal	2	2	2	2	2	2	2	2	2	3	3	3	Q1041
Serbia	2	2	2	2	3	2	3	2	3	3	4	3	Q403
Seychelles	3	3	3	3	3	3	3	3	3	3	3	3	Q1042
Sierra Leone	3	3	3	3	3	3	3	3	3	3	3	3	Q1044
Singapore	4	4	4	4	4	4	4	4	4	4	4	4	Q334
Slovakia	1	1	1	1	1	1	1	1	1	2	1	2	Q214
Slovenia	1	1	1	1	1	1	1	1	1	1	1	1	Q215
Solomon Islands	3	3	3	3	3	2	3	2	2	2	2	2	Q685
Somalia	7	7	7	7	7	7	7	7	7	7	7	7	Q1045
South Africa	2	2	2	2	2	2	2	2	2	2	2	2	Q258
South Korea	2	2	2	2	2	2	2	2	2	2	2	2	Q884
South Sudan	7	6	7	6	7	7	7	7	7	7	7	7	Q958
Spain	1	1	1	1	1	1	1	1	1	1	1	1	Q29
Sri Lanka	5	5	4	4	3	4	3	4	3	4	4	4	Q854
Sudan	7	7	7	7	7	7	7	7	7	7	7	6	Q1049
Suriname	2	2	2	3	2	3	2	2	2	3	2	3	Q730
Sweden	1	1	1	1	1	1	1	1	1	1	1	1	Q34
Switzerland	1	1	1	1	1	1	1	1	1	1	1	1	Q39
Syria	7	7	7	7	7	7	7	7	7	7	7	7	Q858
Taiwan	1	2	1	2	1	1	1	1	1	1	1	1	Q865
Tajikistan	6	6	7	6	7	6	7	6	7	6	7	6	Q863
Tanzania	3	3	3	4	3	4	4	4	4	5	5	5	Q924
Thailand	6	5	6	5	6	5	6	5	7	5	6	4	Q869
Togo	4	4	4	4	4	4	4	4	5	4	5	4	Q945
Tonga	2	2	2	2	2	2	2	2	2	2	2	2	Q678
Trinidad and Tobago	2	2	2	2	2	2	2	2	2	2	2	2	Q754
Tunisia	1	3	1	3	1	3	2	3	2	3	2	3	Q948
Turkey	3	4	3	4	4	5	5	6	5	6	5	6	Q43
Turkmenistan	7	7	7	7	7	7	7	7	7	7	7	7	Q874
Tuvalu	1	1	1	1	1	1	1	1	1	1	1	1	Q672
Uganda	6	5	6	5	6	5	6	4	6	5	6	5	Q1036
Ukraine	3	3	3	3	3	3	3	3	3	4	3	3	Q212
United Arab Emirates	6	6	6	6	6	6	7	6	7	6	7	6	Q878
United Kingdom	1	1	1	1	1	1	1	1	1	1	1	1	Q145
United States	1	1	1	1	1	1	2	1	2	1	2	1	Q30
Uruguay	1	1	1	1	1	1	1	1	1	1	1	1	Q77
Uzbekistan	7	7	7	7	7	7	7	7	7	6	7	6	Q265
Vanuatu	2	2	2	2	2	2	2	2	2	2	2	2	Q686
Venezuela	5	5	5	5	6	5	6	5	7	6	7	6	Q717
Vietnam	7	5	7	5	7	5	7	5	7	5	7	5	Q881
Yemen	6	6	7	6	7	6	7	6	7	6	7	6	Q805
Zambia	3	4	3	4	4	4	4	4	4	4	4	4	Q953
Zimbabwe	5	6	5	5	5	5	6	5	5	5	5	5	Q954
