Country	Debt	ID
Afghanistan	0	Q889
Albania	340	Q222
Algeria	0	Q262
Angola	3500	Q916
Argentina	26887	Q414
Armenia	0	Q399
Azerbaijan	0	Q227
Bangladesh	0	Q902
Belarus	-200	Q184
Belize	0	Q242
Benin	0	Q962
Bhutan	0	Q917
Bolivia	0	Q750
Bosnia and Herzegovina	176	Q225
Botswana	0	Q963
Brazil	1287	Q155
Bulgaria	-650	Q219
Burkina Faso	0	Q965
Burundi	0	Q967
Cabo Verde	0	Q1011
Cambodia	300	Q424
Cameroon	0	Q1009
Central African Republic	0	Q929
Chad	0	Q657
China	68614	Q148
Colombia	-1934	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0	Q974
Congo, Rep.	-27	Q971
Costa Rica	-500	Q800
Cote d'Ivoire	1928	Q1008
Djibouti	0	Q977
Dominica	0	Q784
Dominican Republic	3108	Q786
Ecuador	2685	Q736
Egypt, Arab Rep.	5868	Q79
El Salvador	0	Q792
Eritrea	0	Q986
Ethiopia	0	Q115
Fiji	0	Q712
Gabon	-14	Q1000
Gambia, The	0	Q1005
Georgia	236	Q230
Ghana	1298	Q117
Grenada	-9	Q769
Guatemala	0	Q774
Guinea	0	Q1006
Guinea-Bissau	0	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	0	Q783
India	-8417	Q668
Indonesia	16496	Q252
Iran, Islamic Rep.	0	Q794
Jamaica	-99	Q766
Jordan	686	Q810
Kazakhstan	2797	Q232
Kenya	2000	Q114
Kosovo	0	Q1246
Kyrgyz Republic	0	Q813
Lao PDR	521	Q819
Lebanon	3504	Q822
Lesotho	0	Q1013
Liberia	0	Q1014
North Macedonia	482	Q221
Madagascar	0	Q1019
Malawi	0	Q1020
Maldives	100	Q826
Mali	0	Q912
Mauritania	0	Q1025
Mauritius	0	Q1027
Mexico	7974	Q96
Moldova	0	Q217
Mongolia	0	Q711
Montenegro	163	Q236
Morocco	0	Q1028
Mozambique	0	Q1029
Myanmar	0	Q836
Nepal	0	Q837
Nicaragua	0	Q811
Niger	0	Q1032
Nigeria	3943	Q1033
Pakistan	0	Q843
Papua New Guinea	500	Q691
Paraguay	530	Q733
Peru	-1077	Q419
Philippines	3344	Q928
Romania	4158	Q218
Russian Federation	-4659	Q159
Rwanda	0	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Senegal	2181	Q1041
Serbia	-1000	Q403
Sierra Leone	0	Q1044
Solomon Islands	0	Q685
Somalia	0	Q1045
South Africa	-2125	Q258
Sri Lanka	1150	Q854
St. Lucia	0	Q760
St. Vincent and the Grenadines	-1	Q757
Sudan	0	Q1049
Eswatini	0	Q1050
Syrian Arab Republic	0	Q858
Tajikistan	0	Q863
Tanzania	0	Q924
Thailand	9356	Q869
Timor-Leste	0	Q574
Togo	0	Q945
Tonga	0	Q678
Tunisia	591	Q948
Turkey	1798	Q43
Turkmenistan	0	Q874
Uganda	0	Q1036
Ukraine	-275	Q212
Uzbekistan	0	Q265
Vanuatu	0	Q686
Venezuela, RB	-2478	Q717
Vietnam	-205	Q881
Yemen, Rep.	0	Q805
Zambia	0	Q953
Zimbabwe	0	Q954
