Country	Institution	ID
Afghanistan	0,00	Q889
Albania	109.5	Q222
Algeria	0,00	Q262
Angola	7.1	Q916
Argentina	542.7	Q414
Armenia	75.8	Q399
Azerbaijan	454.6	Q227
Bangladesh	461,00	Q902
Belarus	14.3	Q184
Belize	4.7	Q242
Benin	0	Q962
Bhutan	5.9	Q917
Bolivia	395,00	Q750
Bosnia and Herzegovina	-0.2	Q225
Botswana	-93.4	Q963
Brazil	610.3	Q155
Bulgaria	0,00	Q219
Burkina Faso	0	Q965
Burundi	0,00	Q967
Cabo Verde	33.9	Q1011
Cambodia	0,00	Q424
Cameroon	460.7	Q1009
Central African Republic	0,00	Q929
Chad	0	Q657
China	742.3	Q148
Colombia	475.3	Q739
Comoros	0,00	Q970
Congo, Dem. Rep.	-79.1	Q974
Congo, Rep.	32.8	Q971
Costa Rica	201.7	Q800
Cote d'Ivoire	79.4	Q1008
Djibouti	0,00	Q977
Dominica	0,00	Q784
Dominican Republic	222.7	Q786
Ecuador	285.4	Q736
Egypt, Arab Rep.	539.2	Q79
El Salvador	254.1	Q792
Eritrea	0,00	Q986
Ethiopia	-13.4	Q115
Fiji	9.6	Q712
Gabon	-27.8	Q1000
Gambia, The	0	Q1005
Georgia	94	Q230
Ghana	0	Q117
Grenada	0,00	Q769
Guatemala	-52.7	Q774
Guinea	0	Q1006
Guinea-Bissau	0,00	Q1007
Guyana	33.3	Q734
Haiti	0.5	Q790
Honduras	222.5	Q783
India	1401.4	Q668
Indonesia	1099.4	Q252
Iran, Islamic Rep.	0,00	Q794
Jamaica	53.5	Q766
Jordan	106.2	Q810
Kazakhstan	-63.7	Q232
Kenya	79.7	Q114
Kosovo	6.6	Q1246
Kyrgyz Republic	2,00	Q813
Lao PDR	-0.4	Q819
Lebanon	0,00	Q822
Lesotho	0	Q1013
Liberia	0	Q1014
North Macedonia	10.7	Q221
Madagascar	0	Q1019
Malawi	0,00	Q1020
Maldives	0,00	Q826
Mali	0	Q912
Mauritania	-15.8	Q1025
Mauritius	-7.6	Q1027
Mexico	548.3	Q96
Moldova	12,00	Q217
Mongolia	216.4	Q711
Montenegro	-1.4	Q236
Morocco	27.5	Q1028
Mozambique	0,00	Q1029
Myanmar	0,00	Q836
Nepal	0,00	Q837
Nicaragua	90.7	Q811
Niger	0	Q1032
Nigeria	100.4	Q1033
Pakistan	253.9	Q843
Papua New Guinea	187.3	Q691
Paraguay	179,00	Q733
Peru	-69.6	Q419
Philippines	401.2	Q928
Romania	-4.6	Q218
Russian Federation	0,00	Q159
Rwanda	59.2	Q1037
Samoa	0,00	Q683
Sao Tome and Principe	0	Q1039
Senegal	90.6	Q1041
Serbia	-166.5	Q403
Sierra Leone	0	Q1044
Solomon Islands	0,00	Q685
Somalia	0,00	Q1045
South Africa	-122,00	Q258
Sri Lanka	345.2	Q854
St. Lucia	0,00	Q760
St. Vincent and the Grenadines	0,00	Q757
Sudan	0,00	Q1049
Eswatini	22.5	Q1050
Syrian Arab Republic	0,00	Q858
Tajikistan	36.6	Q863
Tanzania	50.2	Q924
Thailand	58.7	Q869
Timor-Leste	14.7	Q574
Togo	0	Q945
Tonga	0	Q678
Tunisia	36.2	Q948
Turkey	44.3	Q43
Turkmenistan	-5.8	Q874
Uganda	36.7	Q1036
Ukraine	-332.1	Q212
Uzbekistan	506.5	Q265
Vanuatu	0,00	Q686
Venezuela, RB	-65.8	Q717
Vietnam	75,00	Q881
Yemen, Rep.	0,00	Q805
Zambia	54.5	Q953
Zimbabwe	0,00	Q954
